of 1 of 1
a an 1 1
a better 3 3
a bit 1 1
a body 2 1
a city 6 2
a common 2 2
a community 1 7
a complicated 1 1
a couple 1 3
a court 1 1
a crime 11 1
a daily 2 2
a day 2 1
a decade 2 4
a deep 1 1
a difference 1 2
a different 1 1
a division 9 1
a dramatic 1 1
a federal 1 1
a few 5 13
a fist 1 1
a five 2 1
a free 2 1
a full 1 1
a good 3 2
a great 1 4
a group 1 3
a growing 1 7
a hand 1 1
a haphazard 1 1
a high 1 5
a higher 1 2
a highly 2 7
a host 1 5
a hunch 1 1
a hurricane 1 1
a key 1 1
a known 2 1
a large 2 5
a larger 1 3
a law 1 1
a lawsuit 1 1
a length 16 1
a long 4 4
a lot 12 2
a major 1 5
a man 5 1
a metro 1 1
a million 1 1
a model 1 4
a month 4 1
a more 1 13
a national 2 8
a new 5 4
a ninth 1 1
a number 1 10
a part 1 1
a pattern 1 2
a percent 7 1
a performance 1 1
a police 8 8
a powerful 1 4
a prominent 1 1
a public 1 1
a punch 1 1
a recent 1 3
a recession 1 1
a result 4 2
a sea 2 1
a second 3 1
a sense 1 2
a series 3 2
a set 1 1
a significant 1 5
a similar 4 1
a single 3 4
a slow 1 1
a small 1 4
a software 1 1
a special 1 2
a story 1 1
a suspect 2 1
a this 1 1
a time 2 3
a traditional 2 2
a trend 1 3
a variety 1 8
a very 2 2
a way 2 5
a while 1 1
a whim 1 1
a world 1 1
a year 15 2
a young 1 1
a zero 1 1
ability to 3 5
able to 4 6
about crime 2 2
about half 2 1
about it 2 1
about paul 1 1
about percent 2 1
about peter 2 2
about police 1 3
about previous 1 2
about some 1 1
about strawberry 1 1
about the 15 25
about their 3 1
about this 1 1
about to 1 1
about two 1 1
about what 2 6
abroad scientists 1 1
abuse of 1 3
academy of 2 8
according to 40 8
acknowledged that 3 1
acre kremlin 1 1
across the 10 5
activities that 1 2
actually do 1 1
addition to 3 2
address the 1 2
adhere to 1 2
administration and 1 1
after descendants 1 1
after the 12 4
against a 1 1
against the 5 2
agencies and 1 3
agencies are 1 7
agencies in 1 7
agencies to 1 8
aggressive and 1 1
ago the 1 1
ahead of 1 1
air force 1 1
alert to 1 1
alexander the 1 1
alexis de 1 1
all of 8 3
all related 2 1
all rights 487 1
all seeing 1 1
all that 3 1
all three 3 3
allow people 1 1
allowed to 1 1
allowing the 1 1
allows police 1 1
along with 7 1
also be 1 1
also have 1 1
also lists 1 1
alternatives to 1 2
although it 1 1
always getting 2 2
america is 1 2
america s 2 17
american communities 1 2
among the 1 1
amounts of 2 2
an all 2 2
an american 1 2
an annual 1 1
an area 3 1
an article 1 1
an effective 1 1
an electrical 1 1
an even 1 1
an important 1 2
an officer 3 3
an ongoing 1 1
an organization 1 5
an unusual 1 1
analysis of 1 7
ancestors built 1 1
and a 14 7
and abroad 1 1
and also 1 3
and always 1 1
and an 2 4
and another 1 3
and as 1 1
and australia 1 2
and being 1 1
and brown 3 2
and by 3 1
and charles 1 2
and circumstance 1 1
and college 1 1
and court 1 1
and crime 6 2
and criminal 1 1
and dated 1 1
and developing 1 1
and diverse 1 1
and early 1 4
and education 1 6
and elected 1 1
and even 1 3
and federal 3 5
and found 2 3
and get 1 1
and has 3 2
and homeland 1 4
and how 1 21
and in 8 7
and it 3 5
and its 3 9
and james 1 6
and justice 2 11
and later 3 1
and law 6 5
and lived 1 1
and local 2 15
and long 1 2
and los 23 1
and m 2 1
and mail 2 2
and manufacturing 2 1
and members 1 1
and middle 1 1
and more 2 4
and most 1 3
and much 1 1
and new 2 2
and not 1 5
and of 2 2
and officers 1 1
and one 3 3
and other 16 10
and police 3 19
and possibly 3 2
and prevents 1 1
and private 1 7
and profound 1 2
and public 3 7
and r 2 1
and recovery 1 1
and regional 11 1
and researchers 1 2
and robert 4 2
and search 1 1
and smith 2 2
and so 1 2
and solve 1 1
and some 1 5
and st 2 1
and state 1 1
and stephen 2 6
and strengthen 1 1
and susan 1 1
and tactics 1 2
and technology 1 2
and that 12 11
and the 32 65
and their 3 11
and there 1 2
and they 5 4
and this 1 3
and those 4 1
and to 1 16
and two 2 2
and use 1 2
and vibrant 1 1
and wal 1 1
and was 15 1
and were 2 2
and when 1 2
and where 2 2
and whether 2 3
and while 1 2
and white 1 1
and with 1 8
and witnesses 1 1
and women 3 1
and would 1 1
anecdote to 1 1
angeles police 28 1
angeles times 6 1
anger management 3 1
angry people 1 1
another is 1 2
answer is 1 1
answer the 1 1
answers you 1 1
anticipate and 1 2
anyone anywhere 1 1
anywhere on 1 1
appeared in 5 1
appeared to 2 1
appears to 1 4
applications to 1 1
approach to 1 6
are a 4 3
are able 1 1
are affected 1 1
are all 1 1
are already 1 2
are also 2 3
are at 2 2
are available 1 1
are being 3 1
are building 1 1
are expected 3 3
are exposed 1 1
are grateful 1 1
are in 4 1
are left 1 1
are members 1 1
are not 5 15
are now 1 1
are only 1 1
are other 1 1
are renowned 1 1
are still 1 2
are the 3 8
are using 1 1
are willing 1 2
are working 3 1
are worth 1 1
are you 1 1
area and 1 1
area of 2 1
areas in 1 2
argued that 1 8
arguments pg 1 1
around the 3 5
article by 1 1
as a 22 30
as an 2 8
as in 1 3
as it 1 2
as law 1 1
as many 3 2
as of 1 1
as part 6 1
as the 17 22
as these 1 1
as they 3 2
as to 2 5
as we 1 2
as well 7 13
as were 1 1
aside from 1 1
ask their 1 1
assigned to 3 7
association of 2 4
at a 10 3
at all 1 5
at any 1 1
at its 1 1
at large 1 1
at least 10 18
at risk 1 3
at the 48 19
at their 1 1
at universities 1 1
at various 1 1
attacks and 2 1
attempt to 3 5
attempted to 2 3
attempting to 2 4
attempts to 2 5
attention to 1 2
august friday 1 1
august language 5 1
august the 1 1
author also 1 1
available technology 1 1
available to 2 4
avoid the 1 1
aware of 1 1
away from 2 2
awkward questions 1 1
b p 1 2
back our 2 1
bad tempered 1 1
bad weather 1 1
banal and 1 1
baruch spinoza 1 1
based in 1 1
based on 8 6
be a 6 6
be alert 1 1
be easy 2 1
be employed 1 1
be held 2 1
be important 1 1
be in 4 2
be made 1 2
be more 3 3
be no 2 1
be returned 3 1
be slid 1 1
be that 1 7
be the 4 8
be treated 1 1
be unleashed 1 1
be useful 1 1
bearing down 1 1
because it 3 2
because of 14 7
because the 3 3
because they 3 3
become a 2 1
becoming an 1 1
been a 3 2
been given 1 1
been going 1 1
been growing 1 1
been in 3 1
been made 2 2
been reported 2 1
been the 2 5
been under 1 2
been used 1 4
before attempting 1 1
before he 2 1
before the 3 3
before they 4 1
before throwing 1 1
before we 1 1
began to 1 4
begins with 1 1
begun to 1 1
being a 5 1
believe elves 1 1
best your 1 1
better off 1 1
between and 2 4
between police 1 3
between the 6 14
beverly hills 2 1
birds were 1 1
black and 1 1
blocking each 1 1
blue line 3 1
bolts blocking 1 1
bolts the 1 1
boston globe 1 1
both banal 1 1
boxes of 1 1
break it 1 1
budget and 1 1
building a 1 1
building applications 1 1
built and 1 1
bureau of 1 10
businesses to 1 1
but a 1 2
but also 1 5
but as 1 2
but at 2 1
but by 2 3
but can 1 1
but far 1 1
but he 2 1
but in 2 1
but is 1 2
but it 5 7
but only 1 1
but police 1 1
but some 2 1
but that 2 4
but the 8 15
but there 1 4
but they 3 6
but this 1 2
but undeniable 1 1
but was 3 1
but we 1 7
buzzy jackson 1 1
by a 10 11
by brian 4 2
by comparing 1 3
by geography 1 1
by local 1 2
by people 2 1
by police 1 5
by ted 1 1
by the 34 29
by what 1 1
byline michael 2 1
c the 1 2
call for 1 3
called face 1 1
called for 3 2
calls for 1 11
can be 6 14
can have 2 2
can identify 1 1
can learn 1 1
can offer 1 1
can program 1 1
can t 7 2
canada august 1 1
cannot afford 1 2
career and 2 1
carried out 2 1
case of 2 3
cases involving 1 1
catching criminals 1 1
caught and 1 1
cause of 2 1
center for 4 2
centimetres long 1 1
central lesson 1 1
century prince 1 1
challenging setup 1 1
change in 1 17
change the 1 3
changing the 1 7
changle fujian 1 1
character and 1 1
charleston gazette 1 1
charleston newspapers 1 1
chief of 3 1
chiefs and 1 1
chiefs of 1 4
china has 1 1
chris gourlay 1 1
circumstance predictive 1 1
circumstances in 1 1
city and 9 2
city hall 1 1
city is 2 1
city s 9 1
claim to 2 2
claimed to 1 1
claims that 1 1
clear and 1 1
clear that 1 3
coast several 1 1
collection of 1 1
com can 1 1
com is 1 1
commitment to 3 10
committed to 1 4
communities police 1 1
communities to 1 1
community and 2 8
community involvement 2 1
community partnerships 1 3
community policing 1 88
community safety 3 1
companies in 1 1
company called 2 1
company like 1 1
compared to 6 3
comparing their 1 1
compiled from 1 1
complex and 1 1
complicated idea 1 1
complicated sequence 1 1
computer analysis 1 2
computer programs 1 1
computer that 1 1
concern that 1 1
concerned that 1 1
concerns over 1 1
concerns raised 1 1
conditions and 1 1
confirm the 1 1
continue to 7 2
continued to 3 1
continuing to 1 2
control his 1 1
control my 1 1
control of 2 1
control the 1 2
coordination and 1 1
cops and 3 2
copyright c 11 1
copyright charleston 1 1
copyright the 13 1
corruption and 1 4
cost more 1 1
cost of 3 1
could be 6 3
could enable 1 1
could give 1 1
could revolutionize 1 1
count of 2 2
counts of 5 2
county and 3 1
county by 1 1
county sheriff 20 3
couple of 1 3
course of 7 11
court and 2 2
court system 2 1
court to 2 1
cousins separated 1 1
covered by 1 1
cowgirl all 1 1
cracked this 1 1
creation of 1 5
credible evidence 1 1
crime a 1 1
crime an 1 1
crime and 10 20
crime drop 3 2
crime fighting 4 3
crime in 17 5
crime prevention 3 5
crime rates 10 3
crime snooping 1 1
crime the 3 1
crime was 2 2
crimes and 1 1
crimes in 5 1
crimes to 2 2
crimes will 2 2
criminal activity 2 1
criminal investigation 1 1
criminal justice 5 15
criminal minds 1 1
criminologists and 1 1
criminology and 1 2
crisis in 1 1
crunched reams 1 1
ctvglobemedia publishing 1 1
culture in 1 2
cutting the 1 1
daddy she 1 1
daily miscellany 1 1
daily news 16 1
daily telegraph 2 1
data about 1 1
data analysis 1 1
data and 1 1
data for 1 1
data in 2 1
date august 5 1
date september 14 1
david m 2 1
days of 1 1
de tocqueville 2 2
deal with 3 5
dealing with 2 3
dealt with 1 1
death was 1 1
decade old 2 1
decade the 1 1
decades old 1 1
decided to 2 1
decision to 2 1
decisions that 1 1
decline in 1 2
defense attorneys 1 1
demands for 1 1
democracy in 1 1
department are 1 1
department of 7 9
department s 12 4
department the 4 1
department this 1 1
department to 1 1
departments are 1 2
depending on 1 2
descendants of 1 1
descendents of 1 1
describes how 1 1
designed to 1 11
despite the 1 6
determining that 1 1
develop computer 1 1
develop the 1 1
developers that 1 1
development of 1 2
devised by 1 1
did not 6 2
die why 1 1
die worms 1 1
difficult to 1 12
director of 3 1
distant cousins 1 1
division of 9 2
do more 1 1
do not 1 8
do so 1 6
do this 2 1
do to 2 3
do you 2 2
documents charleston 1 1
documents copyright 421 1
documents the 28 1
does grandpa 1 1
does the 1 1
doesn t 9 4
domestic violence 2 1
don t 20 1
doubt that 2 1
down from 1 1
down on 4 1
down the 1 1
drop in 4 2
du jour 1 1
dude do 1 1
due to 3 3
during a 6 1
during the 11 8
dynasty ruled 1 1
each of 1 4
each other 2 3
easy to 2 3
eat a 1 1
economy and 2 1
education levels 1 2
effectiveness of 1 3
effects on 1 1
effort to 2 1
elected officials 1 3
electrical infrastructure 1 1
elves who 1 1
emergence of 1 6
employees in 1 1
employment and 1 2
enable police 1 2
encouraged to 4 1
end in 1 1
end of 6 6
enforcement agencies 4 6
enforcement leaders 1 1
enforcement officials 2 1
enforcement predictive 1 1
english publication 25 2
eponymous dynasty 1 1
especially for 1 1
especially in 1 5
especially when 1 2
even a 1 1
even if 1 2
even more 1 5
even the 1 2
even though 1 1
even when 1 6
events that 1 2
ever before 1 1
evidence is 2 1
evidence that 3 7
expanded its 1 1
expected to 5 5
experiences that 1 1
experiences with 1 1
experts that 1 1
explain a 1 1
exposed to 1 1
extremely difficult 1 1
eye until 1 1
eyes who 1 1
face com 1 1
facilitated by 1 1
fact when 1 1
facts arguments 1 1
failing to 2 4
failure to 1 2
falling and 1 1
far exceeds 1 1
far from 1 2
far have 1 1
far more 1 3
fashion don 1 1
faster if 1 1
fear of 1 5
federal law 1 3
federal legislators 1 1
federal officials 6 1
feed on 1 1
fell to 2 1
female officers 1 1
few days 1 1
few people 5 1
few years 1 5
fighting begins 1 1
fighting crime 1 3
fighting what 1 1
fights before 1 1
figure out 3 1
filed a 1 1
finder software 1 1
first half 3 2
first presented 1 1
first the 1 2
fist reports 1 1
florida coast 1 1
focus on 3 7
focusing on 1 1
foil them 1 1
food secured 1 1
for a 24 11
for about 1 1
for all 3 1
for and 3 5
for anyone 1 1
for at 1 1
for being 1 2
for community 1 2
for example 6 19
for gathering 2 1
for in 1 1
for information 1 2
for it 1 1
for its 4 3
for more 12 1
for one 3 1
for police 2 16
for small 1 1
for such 1 3
for that 1 1
for the 40 41
for their 5 5
for these 1 1
for this 2 4
for those 3 1
for what 1 1
for years 5 1
force and 1 1
force in 1 2
force to 1 1
forced to 4 1
forget the 1 1
form of 1 4
found an 2 1
found that 3 15
found the 1 1
foundation an 1 1
frank think 1 1
friday social 1 1
from a 12 9
from his 3 1
from its 1 2
from making 1 1
from one 1 2
from other 1 4
from photographs 1 1
from several 1 1
from that 1 2
from the 23 39
from their 2 2
from to 8 2
from two 1 2
from wire 1 1
frosted pink 1 1
fujian province 1 1
full time 1 4
funding for 1 1
further to 1 1
future of 1 3
fuzhou news 1 1
galleries by 1 1
games think 1 1
gathering and 2 7
gazette west 1 1
genealogy is 1 1
generations of 2 1
geography and 1 1
gets angry 1 1
getting into 2 2
giant sent 1 1
give back 3 1
give but 1 1
given a 2 2
given the 1 6
given time 1 2
globe and 2 2
globe life 1 1
globe we 1 1
globeandmail com 1 1
going on 1 2
good faith 1 1
good reason 1 1
gourlay reports 1 1
government and 1 3
grandpa smell 1 1
grateful to 1 1
grew his 1 1
group have 1 1
group that 3 2
groups of 1 3
grow my 1 1
growing the 1 1
h and 2 5
had a 9 2
had been 14 2
had made 1 1
had not 2 3
had purchased 1 1
had taken 1 1
had the 2 1
half of 5 4
hand for 1 1
hand in 2 2
hand into 1 1
haphazard fashion 1 1
happens when 2 2
hard to 2 1
harder the 1 1
has a 4 3
has already 2 1
has argued 1 2
has become 3 2
has been 34 25
has changed 1 2
has limited 2 1
has long 1 1
has made 1 1
has not 5 9
has now 1 1
has reported 1 1
has since 1 1
has worked 1 1
have a 8 3
have already 1 2
have also 2 1
have become 1 2
have been 23 27
have committed 3 2
have done 1 2
have had 2 3
have not 3 10
have proven 1 1
have the 2 4
having a 4 1
having to 1 1
he also 3 1
he and 2 2
he found 1 1
he grew 1 1
he is 7 1
he made 1 1
he says 2 1
he was 32 2
health and 1 1
health care 6 1
help him 1 1
help me 1 1
here is 1 1
hide the 1 1
high level 1 1
high school 4 1
him control 1 1
him from 2 1
hiromitsu miyata 1 1
his hand 1 1
his left 1 1
his longest 1 1
his nails 1 1
