of documents 1 of 1
a court ordered 1 1
a crime is 1 1
a crime of 2 1
a daily basis 1 1
a group of 1 1
a lack of 1 3
a law enforcement 1 1
a los angeles 3 2
a lot of 1 3
a master s 2 11
a number of 2 10
a part of 1 2
a person s 1 28
a person with 1 1
a police officer 2 7
a quarter century 1 1
a range of 1 4
a request to 1 1
a result of 1 3
a search warrant 1 2
a sense of 1 1
a series of 3 5
a statement to 1 1
a substantial role 1 1
a suspect s 1 2
a variety of 1 16
a warrant before 1 1
a weapon the 1 1
a wide range 1 2
a year after 1 1
a year earlier 1 1
ability to make 1 1
according to a 4 1
according to the 14 1
across the city 1 1
across the country 1 5
across the street 1 1
added that the 1 1
after he was 2 1
aftermath of a 1 1
all of the 1 7
all of those 1 1
all rights reserved 498 16
all the time 1 2
allows users to 1 4
along with the 1 4
also collaborate with 1 1
also known as 3 1
an attempt to 1 2
an increase in 1 2
an individual or 1 1
analysis of the 1 2
and as the 1 1
and could not 1 1
and determine the 1 2
and did not 1 1
and domestic violence 1 2
and drug dealing 1 1
and experience to 1 1
and he is 1 1
and he said 1 1
and i ve 1 11
and it is 2 3
and it s 2 1
and los angeles 17 23
and mr bratton 1 1
and on the 1 1
and property crime 1 2
and served as 1 11
and state authorities 1 1
and the city 1 1
and the criminal 2 3
and the number 1 1
and the u 1 1
and those who 1 1
and to the 1 1
and we use 2 1
angeles county district 5 7
angeles county sheriff 18 22
angeles newspaper group 13 10
angeles police department 13 26
apart from the 1 1
are likely to 1 7
are looking for 1 1
are supposed to 1 1
around the world 1 3
as a criminal 2 1
as a model 1 1
as a way 1 1
as it has 1 1
as much as 1 3
as of the 1 1
as one of 1 1
as one year 1 1
as part of 2 9
as possible and 2 1
as well as 6 31
aspect of the 1 2
associated with the 1 2
at least one 1 1
at least three 2 3
at more than 1 1
at the hearing 1 1
at the house 1 1
at the los 5 22
at the time 4 6
at this point 1 1
attorney jackie lacey 3 11
august language english 7 2
available to the 1 1
b length words 4 1
back to the 1 4
based on the 1 13
be confused with 1 1
be subject to 1 2
bear in mind 1 1
because it is 1 1
because of a 2 1
because of the 1 3
because there is 1 1
been charged with 1 1
been convicted of 2 11
been dealing with 1 1
been given the 1 1
been involved in 1 11
being targeted by 1 1
board of supervisors 1 11
bratton said it 1 1
brought back to 1 1
burden on the 1 1
bureau of labor 1 1
but if you 1 1
but it does 1 1
but there are 1 1
but they are 1 1
but we are 1 2
by a federal 1 2
by a third 1 2
by members of 1 2
by percent and 1 2
by syndigate media 1 1
by the los 1 12
california march saturday 1 3
came back to 2 1
can be done 1 1
can be used 1 4
can lead to 1 4
can protect themselves 1 1
cases may be 1 2
certain types of 2 1
challenge to a 1 1
challenge to the 1 3
charlie beck is 1 1
chief executive officer 1 1
chief of police 3 1
chief william bratton 1 11
co ltd all 1 1
code copyright legal 5 1
commissioner bill bratton 2 1
commissioner of new 1 1
common in the 1 1
connected to a 1 1
connection to the 1 1
copyright legal monitor 5 1
copyright medianews group 13 12
copyright orange county 5 1
could be a 1 1
county district attorney 5 11
county register all 5 1
county register california 5 1
county sheriff s 18 22
course of action 1 3
court in recent 1 1
court of appeals 2 3
court of law 3 1
court struck down 2 2
crack down on 2 1
crime data is 1 3
crime in america 1 1
crime in the 5 5
crime in their 1 1
crime is a 1 1
