of 1 of 1
a bank 1 2
a baseball 2 1
a big 2 6
a car 1 3
a case 1 14
a cause 2 4
a child 3 1
a city 2 5
a civil 2 4
a community 2 2
a complaint 1 2
a court 1 13
a crime 5 35
a criminal 5 15
a daily 1 1
a day 2 26
a decision 1 5
a defendant 1 6
a defense 1 1
a difficult 1 1
a division 2 1
a doctor 1 1
a drop 1 1
a drug 1 4
a facebook 2 4
a fair 1 7
a federal 7 7
a few 3 7
a fire 1 1
a first 1 9
a forensic 1 1
a former 8 13
a fourth 1 14
a friend 4 1
a front 1 1
a full 2 3
a gang 2 1
a good 2 15
a great 2 17
a greater 2 6
a ground 1 1
a group 1 1
a heavy 1 1
a in 1 1
a joint 1 1
a judge 2 1
a jury 1 1
a lack 1 3
a large 3 4
a law 3 2
a lawyer 3 19
a local 2 2
a long 2 15
a los 3 2
a lot 2 17
a m 6 1
a man 10 1
a massive 1 1
a master 2 11
a million 1 1
a minimum 1 3
a misdemeanor 1 1
a model 1 3
a more 1 11
a movie 1 1
a multi 1 2
a new 1 36
a newspaper 1 1
a number 2 10
a one 2 1
a parked 2 1
a part 2 2
a partial 1 1
a particular 2 16
a particularly 1 2
a party 1 2
a percent 3 2
a person 3 51
a physical 1 5
a plane 1 2
a police 4 14
a powerful 1 1
a previous 1 1
a prior 1 2
a prison 1 1
a pro 1 1
a public 1 8
a quarter 1 2
a question 1 1
a range 1 5
a recent 3 2
a request 2 2
a result 1 18
a risk 1 5
a s 7 1
a search 1 24
a second 3 2
a sense 1 1
a sentence 1 2
a sentencing 1 1
a series 3 5
a serious 1 1
a sheriff 3 11
a similar 1 5
a single 1 8
a small 1 4
a smartphone 1 1
a special 2 1
a statement 9 2
a statistical 1 2
a string 1 1
a strong 2 9
a study 2 8
a substantial 1 4
a successful 1 2
a sufficiently 1 1
a suspect 3 7
a task 3 1
a team 1 1
a technical 1 2
a telephone 1 1
a terrorist 1 1
a third 3 9
a total 2 2
a truck 1 1
a two 1 3
a unified 1 1
a variety 1 16
a very 1 2
a warrant 3 14
a way 1 5
a weapon 1 2
a west 1 1
a wide 1 3
a woman 3 2
a writer 1 1
a year 10 15
ability of 1 5
ability to 2 47
able to 1 30
about a 6 10
about and 1 1
about his 1 2
about it 3 3
about percent 1 12
about the 6 44
about these 2 1
about this 2 2
abroad in 1 1
abuse and 2 2
accepting that 1 2
access to 5 28
accordance with 1 2
according to 20 6
account that 1 1
accounted for 1 1
accurate and 1 2
accused of 10 2
achieve the 1 1
across the 7 7
action the 1 1
action to 2 6
activity in 3 2
added that 1 13
addition to 3 7
additional cases 1 2
address the 2 6
affect the 1 2
affected by 1 1
afraid of 1 3
african american 1 1
after a 5 6
after an 1 1
after he 3 2
after she 1 1
after the 10 9
aftermath of 1 1
against a 1 2
against crime 1 2
against the 3 11
agencies including 3 1
agency to 1 1
agents and 3 2
agreed to 2 1
aid of 1 1
aimed at 1 3
aims to 1 2
all cities 1 1
all of 4 10
all over 2 1
all rights 498 16
all the 2 7
all these 1 1
allegations that 2 11
allows users 1 4
along with 4 9
already in 3 2
also be 2 2
also collaborate 1 1
also in 1 1
also includes 1 2
also known 3 1
also the 2 1
also used 1 2
always be 1 2
am i 2 1
am really 1 1
amendment privacy 1 4
american street 1 1
among other 1 2
among the 3 9
amount of 3 21
an additional 4 4
an american 1 1
an analyst 1 3
an anonymous 1 5
an area 2 14
an attempt 2 2
an early 1 1
an effective 1 1
an efficient 1 1
an email 2 1
an empty 1 1
an important 1 8
an increase 1 4
an increasingly 1 1
an individual 2 37
an offense 1 1
an officer 1 29
an outreach 1 1
analysis of 1 16
and a 18 21
and addressing 1 1
and also 1 3
and an 1 18
and anti 1 1
and are 1 13
and arrested 5 1
and as 2 6
and at 1 2
and be 3 2
and better 2 3
and can 1 2
and children 1 1
and city 3 1
and come 1 2
and community 1 3
and complex 1 1
and computers 1 1
and could 1 2
and crime 3 3
and criminal 1 6
and deputies 1 11
and detective 1 11
and determine 1 3
and did 1 1
and discuss 1 1
and dna 1 6
and do 1 1
and domestic 1 3
and drug 6 3
and during 1 2
and efficiency 1 2
and even 2 24
and experience 2 4
and false 2 1
and fast 1 1
and federal 2 4
and file 1 1
and fined 1 1
and forced 1 2
and found 1 3
and freedom 1 5
and get 1 1
and graffiti 1 1
and had 1 3
and has 3 4
and have 1 3
and he 3 15
and help 1 1
and helping 3 1
and her 2 1
and high 2 2
and his 5 14
and homicides 1 1
and i 4 24
and in 1 11
and interests 1 1
and internet 1 1
and intimidation 1 1
and is 1 8
and it 6 8
and its 2 9
and june 2 1
and later 1 2
and local 3 3
and los 17 23
and make 1 6
and many 1 2
and million 1 1
and more 1 18
and mr 1 1
and narcotics 2 1
and near 2 1
and needs 1 4
and neglect 2 1
and new 1 4
and no 3 9
and not 1 18
and on 2 3
and one 2 1
and other 4 47
and over 1 1
and people 1 1
and personal 1 2
and place 1 4
and police 3 4
and practice 1 7
and probation 1 1
and professional 1 4
and property 2 3
and report 1 2
and reporting 1 1
and safety 1 4
and seattle 1 1
and see 2 1
and served 1 11
and spread 1 1
and state 3 4
and still 1 1
and street 2 1
and students 1 1
and substance 1 2
and surrounding 1 1
and take 2 1
and that 8 22
and the 45 206
and their 3 15
and they 2 24
and this 1 3
and those 2 4
and thus 1 6
and to 2 35
and victim 1 4
and victims 1 3
and was 2 6
and we 5 13
and were 1 3
and white 1 1
and who 3 12
and will 1 3
and would 1 1
and years 1 11
andrew smith 1 1
angeles and 6 12
angeles county 916 51
angeles for 1 1
angeles has 7 1
angeles newspaper 13 10
angeles on 1 1
angeles police 42 39
angeles was 1 11
anonymous tip 1 2
answers to 1 1
any further 1 1
any general 1 1
any law 1 2
any of 2 2
any physical 1 1
anyone with 4 1
anywhere in 1 1
apart from 2 2
apartment complexes 1 1
appear at 1 1
appear in 2 2
appeared to 2 1
appellate court 1 4
appellate courts 1 1
apply to 1 4
approach to 1 13
are a 1 16
are all 1 1
are already 1 5
are also 1 2
are being 2 4
are charged 1 11
are down 6 1
are encouraged 1 1
are free 2 1
are here 1 1
are known 1 1
are likely 1 7
are looking 2 1
are not 2 21
are now 1 5
are often 1 2
are put 1 1
are quite 1 1
are still 3 1
are supposed 1 1
are the 2 5
area and 1 7
area in 2 5
area is 1 2
area they 1 1
area was 1 5
areas of 2 13
argued that 1 9
around the 1 18
array of 1 1
arrest and 1 13
arrest last 1 1
arrested after 1 1
arrested when 1 1
arrests and 1 2
as a 17 131
as an 2 30
as any 1 1
as big 1 1
as drug 1 1
as former 1 1
as he 3 5
as his 3 1
as in 1 6
as it 2 7
as much 1 6
as of 3 3
as one 2 9
as part 2 9
as possible 3 2
as the 13 82
as they 2 7
as well 7 36
ask for 2 1
ask the 1 1
asked for 1 1
aspect of 1 6
assault and 1 1
assaults and 1 1
assigned to 1 3
assistance from 1 1
associated press 3 3
associated with 2 12
association and 1 2
association of 2 1
assuming that 1 2
at a 8 37
at all 1 11
at an 5 5
at any 1 3
at for 1 2
at his 8 2
at how 1 12
at its 1 3
at least 6 12
at more 1 1
at of 1 2
at one 2 3
at the 36 113
at their 3 1
at this 2 10
at times 2 2
attack on 1 1
attempt to 1 5
attempted to 1 7
attempting to 3 1
attention to 1 5
attorney can 1 1
attorney in 3 2
attorney jackie 3 11
attorney s 15 1
attorney to 1 3
attorneys and 2 1
attorneys to 1 3
attributes of 1 1
august language 7 2
august the 1 1
august thursday 1 2
authorities that 1 1
authority to 1 4
auto theft 2 1
available and 1 1
available for 1 3
available to 2 3
avoid the 1 3
aware of 1 3
awareness about 1 1
away from 3 18
b length 4 1
b u 1 2
back in 1 1
back on 1 1
back to 9 7
barbara and 1 2
barbara j 2 1
bars and 1 1
based in 1 1
based on 1 53
battle against 1 1
be a 5 27
be asking 1 1
be brought 1 4
be confused 1 1
be done 2 13
be granted 1 1
be it 1 1
be known 1 1
be more 1 4
be safe 1 2
be sentenced 1 1
be some 1 1
be subject 1 2
be taken 1 3
be the 2 7
be to 1 1
be used 3 19
bear in 1 3
because it 2 10
because of 3 14
because the 4 13
because there 1 3
beck is 2 1
become the 1 2
been charged 1 1
been convicted 2 11
been dealing 1 1
been described 2 1
been engaged 1 1
been generally 1 1
been given 1 1
been involved 1 11
before his 1 1
before the 4 22
begging and 1 1
beginning in 1 1
beginning to 1 2
behalf of 2 4
behind bars 1 11
behind the 1 13
being targeted 1 1
believe that 1 17
benefit from 1 1
benefits of 2 2
best known 2 1
best we 1 1
between and 3 6
between crime 1 2
between the 2 15
beyond the 1 11
big and 1 11
bill bratton 2 1
blame for 1 1
board of 3 11
both the 1 10
bratton said 4 2
bratton who 1 2
brought back 2 1
building a 1 11
bulk of 1 11
burden on 1 1
bureau of 6 5
burglaries after 1 1
burglaries in 1 1
burglary and 1 1
business and 3 2
business with 2 1
but also 1 12
but does 1 2
but i 3 3
but if 2 3
but it 1 14
but not 1 8
but one 1 2
but the 2 15
but there 3 1
but they 2 1
but to 1 1
but we 2 7
but with 3 3
by a 6 43
by conducting 1 1
by crime 2 7
by his 2 2
by law 1 4
by members 2 2
by mr 1 1
by one 1 1
by percent 4 4
by state 1 3
by such 1 2
by syndigate 6 1
by the 20 152
by violent 1 1
byline by 6 2
c and 2 1
california in 1 1
california june 2 1
