of documents 1 of 1
a bad idea 3 1
a cell phone 1 4
a chance to 2 4
a city council 1 1
a civil rights 1 1
a combination of 1 7
a crime that 1 2
a crime will 1 3
a criminal case 1 1
a crisis of 1 2
a direct result 1 3
a domestic violence 1 1
a drop in 2 1
a federal consent 1 1
a felony charge 3 1
a first step 1 2
a five year 1 3
a good way 1 1
a group of 1 3
a hate crime 1 1
a high rate 1 1
a home in 2 1
a length words 1 3
a letter to 1 3
a long history 1 2
a lot of 3 14
a major role 1 1
a man from 1 1
a man in 1 3
a man the 1 1
a message that 1 2
a myriad of 1 1
a network of 1 3
a new contract 1 1
a news conference 2 1
a number of 3 41
a percent drop 7 1
a percent increase 6 2
a person of 1 3
a person who 1 4
a pg length 12 1
a police officer 1 27
a push to 2 1
a result of 2 23
a result we 4 1
a search warrant 1 11
a second term 1 1
a series of 2 7
a significant role 3 1
a slew of 1 3
a spike in 2 1
a spokesman for 3 1
a state of 2 6
a story about 1 1
a suburb of 1 1
a traffic stop 1 1
a two year 1 1
a warrant for 1 2
a warrant to 1 2
a well known 1 2
a woman with 1 1
a year ago 1 1
a year old 2 6
a year sentence 2 1
able to review 1 1
about crime and 1 1
about of the 1 1
about percent of 1 3
about the case 2 1
about the incident 1 1
about whether the 1 1
abuse of a 1 1
acc no bu 1 1
according to a 3 7
according to police 1 6
according to the 8 26
across the board 1 2
across the city 1 2
across the country 4 15
across the nation 2 7
across the southern 1 1
across the u 1 1
act of a 1 1
addition to the 1 3
african americans in 1 2
after years of 1 4
agency llc load 1 2
agent in charge 1 1
agree on a 2 2
all of a 3 2
all rights reserved 497 24
along with the 1 4
amounts of money 1 1
amounts to a 1 2
an all time 1 2
an alternative to 1 1
an analysis of 1 18
an elderly woman 1 1
an end in 1 1
an environment that 1 2
an estimated million 1 1
an image of 2 4
an impact on 4 1
an increase in 4 4
an indicator of 1 1
an investigation by 1 1
an officer in 1 3
an overall reduction 1 1
and a new 2 1
and ang newspapers 1 1
and created a 2 1
and did not 1 2
and his wife 1 1
and if the 1 2
and if there 1 2
and in one 1 2
and it s 3 12
and local law 1 5
and los angeles 14 9
and make a 1 2
and members of 1 2
and mental health 2 1
and one of 1 5
and property crime 1 3
and property crimes 5 1
and regional news 1 2
and said they 1 2
and share information 1 1
and so the 1 1
and social services 1 3
and some of 1 1
and the black 1 1
and the city 2 5
and the community 2 3
and the department 1 3
and the state 2 1
and they are 1 4
and this is 1 3
and violent crimes 2 1
ang newspapers all 1 1
angeles county sheriff 16 2
angeles international airport 2 2
angeles length words 1 1
angeles police and 2 1
angeles police department 18 26
another woman s 1 1
any member of 1 2
anyone who has 1 1
anywhere in the 1 1
appear to have 1 1
approach to policing 1 3
april language english 5 3
are committed by 1 1
are committed to 1 1
are concerned about 1 1
are down percent 5 1
are filled with 1 2
are going to 2 13
are hard to 1 1
are in the 1 4
are linked to 1 4
are looking for 1 2
are members of 1 5
are no longer 3 5
are off the 1 1
are responsible for 1 2
are rooted in 1 1
are the people 1 2
are up percent 2 1
are working on 1 4
are worried that 1 3
areas where there 1 1
armed with a 2 1
around a m 1 1
around the country 2 8
around the world 2 5
arrest and prosecution 2 1
arrest did not 1 1
arrested on charges 1 1
arrested on suspicion 2 1
as a crime 1 1
as a direct 1 2
as a result 9 55
as a victim 1 3
as an alternative 1 1
as los angeles 3 4
as new york 1 2
as one of 1 13
as part of 5 31
as responsible for 1 1
as the department 1 2
as to what 1 2
as well as 4 68
assigned to the 3 2
assistant u s 1 1
at a news 1 1
at a time 1 7
at an all 1 2
at los angeles 3 4
at the beginning 1 5
at the end 2 4
at the first 1 1
at the intersection 1 1
at the lapd 1 2
at the location 2 5
at the los 4 3
at the lowest 1 1
at the scene 2 1
at the time 1 24
at the university 1 14
at this time 1 1
at www burbankleader 1 1
attempts to find 1 1
attorney s office 5 10
august language english 3 2
available to them 1 1
back in the 1 1
back to the 3 10
be able to 3 37
be found at 1 5
be made to 1 1
be reduced to 2 2
be sentenced to 1 1
be the biggest 2 5
be willing to 1 2
because they are 1 14
been arrested in 1 1
been convicted of 1 2
been seen in 1 1
been working as 1 2
before conducting a 1 1
beginning of the 1 2
being used to 1 6
between and the 1 3
between police officers 1 1
black men in 1 2
board of supervisors 2 1
bringing down the 1 1
bu copyright burbank 1 1
burbank leader glendale 4 4
burbank leader of 1 1
burbankleader com distributed 1 1
burglary motor vehicle 1 1
but even with 1 1
but he was 1 2
but it s 1 8
but that s 1 1
but the police 1 1
but there s 2 4
but this is 1 5
by at least 1 1
by local law 1 1
by members of 1 4
by syndigate media 1 1
by the department 2 2
by the lapd 2 1
by the number 1 1
by the police 1 30
by the time 1 2
by tribune content 2 4
byline by ian 1 1
c the burbank 1 1
calif at www 1 1
calif section state 1 1
calif visit the 1 1
california at irvine 1 1
california distributed by 1 1
called for an 1 1
can be a 1 8
can be found 1 9
can be made 1 2
can do a 1 1
can do to 1 3
can have a 2 2
can learn from 1 1
can t get 1 2
can take many 1 1
category for the 1 1
charges against the 1 3
charges in the 1 5
chicago police department 1 18
chief charlie beck 7 2
cities across the 1 2
city of los 3 15
city s downtown 1 1
city s streets 1 1
city s violent 2 1
code bu copyright 1 1
com distributed by 1 2
com load date 2 6
come out of 2 1
come to be 1 1
coming after you 1 2
comment on the 2 1
commissioner bill bratton 1 1
commissioner ray kelly 1 2
committing a crime 1 1
company of documents 1 2
concern over the 1 1
concerned about the 2 2
connection with the 1 1
contacts with the 1 1
content agency llc 1 2
continued to fall 1 1
convicted of assault 1 2
copyright burbank leader 1 1
copyright medianews group 12 1
copyright plus media 1 5
copyright the new 1 3
copyright toronto star 1 3
corruption and the 1 1
could be a 1 4
could have gone 1 1
could not be 1 2
county s state 2 2
county sheriff s 17 3
coupled with the 1 1
court at a 1 1
creation of a 3 1
crime and a 3 3
crime and has 2 1
crime at the 2 1
crime data in 1 1
crime during the 1 2
crime hot spots 1 4
crime in los 3 4
crime in the 2 15
crime on the 1 3
crime rate in 3 1
crime rate the 1 1
crime rates and 2 1
crime rather than 1 1
crime such as 1 2
crimes against children 7 1
crimes in the 1 2
crimes last year 1 1
crimes reported to 1 1
crimes since then 1 1
crimes such as 2 7
criminal charges in 1 3
data but also 1 1
data in a 1 4
data on the 2 7
date april language 5 3
date august language 3 2
date december language 10 1
date july language 4 1
date june language 4 5
date november language 4 1
date october language 3 4
date september language 1 4
deal with the 2 1
dealing with the 1 1
death of a 1 1
december language english 10 1
declined by percent 1 1
deeply involved in 1 1
department according to 1 2
department and the 1 2
department of homeland 1 2
department of justice 3 27
department s strategic 1 1
department will continue 1 1
departments across the 1 6
described as a 1 1
details about the 1 1
did not come 1 1
did not have 1 4
didn t have 1 1
didn t know 1 1
didn t really 1 1
didn t want 1 1
direct result of 1 3
director of the 2 8
dispute at a 2 1
distributed by tribune 2 4
district attorney s 5 10
district court in 1 2
do a lot 1 1
do have a 1 5
documents burbank leader 1 1
documents the new 2 3
documents the times 1 1
documents us official 1 5
don t get 1 1
don t just 1 1
down to the 1 2
drop in crime 3 5
drop in the 2 3
drug enforcement administration 1 1
drug trafficking and 1 1
drugs in the 1 1
during a traffic 1 1
during the period 1 2
during the s 1 1
during the same 2 2
each other and 1 1
earlier this year 3 2
effect on the 1 4
end in itself 1 1
enforcement agencies the 1 2
english acc no 1 2
english document type 1 4
english publication type 35 18
errors in the 1 1
escape from a 1 1
even with the 1 1
everyone in the 1 1
executive director of 2 6
executive research forum 1 2
expansion of the 2 1
expected to be 1 1
explained that the 1 1
extra pg length 1 2
fair share of 2 1
family and friends 1 1
far this year 6 2
federal consent decree 1 2
federal state and 1 5
file a petition 2 1
first full year 1 4
first half of 5 1
first on the 1 1
five years of 1 3
focused on the 1 1
for a second 1 1
for low level 1 1
for more than 1 5
for public safety 1 2
for robbery and 1 1
for several years 1 2
for the city 4 1
for the department 1 3
for the expansion 2 3
for the first 2 4
for the lapd 1 1
for the same 1 3
for the treatment 1 1
for those who 1 9
for up to 2 5
for victims of 2 1
for ways to 1 2
for which he 2 1
for years the 1 1
forces across the 1 2
former police commissioner 1 2
found in the 2 9
four years in 1 1
from in to 1 4
from the law 1 1
from the los 3 1
from the police 1 6
from the state 1 2
from the united 1 1
gang members are 1 1
gets out of 1 1
getting out of 1 1
give us the 1 1
glendale calif at 1 1
glendale calif section 1 1
glendale calif visit 1 1
glendale california distributed 1 1
go to the 2 1
good way to 1 1
got out of 1 1
grew up in 1 4
group inc all 10 1
group inc and 12 1
had been found 1 1
has been arrested 1 1
has come to 1 5
has worked to 1 2
has written a 1 1
hate crime is 1 4
have been approved 2 3
have been convicted 2 2
have refused to 1 1
have the same 2 2
have to continue 1 1
have to watch 1 1
he did not 2 2
he has been 1 2
he pleaded guilty 1 1
he said in 4 1
he said it 1 2
he said that 1 1
he said the 6 1
he took his 1 1
he wants to 1 1
he was in 1 1
he will be 1 1
help in the 1 1
here are the 1 1
