	of
a	a
a	anonymity
a	authorizes
a	b
a	balance
a	bank
a	baseball
a	basic
a	basis
a	battered
a	batterer
a	bb
a	beating
a	beautiful
a	beck
a	bed
a	beeper
a	belief
a	berman
a	better
a	big
a	billion
a	binder
a	bitter
a	blind
a	block
a	blood
a	bloodhound
a	blueprint
a	book
a	bookcase
a	booking
a	bookseller
a	bookstore
a	boost
a	bore
a	borough
a	boundary
a	braga
a	break
a	brief
a	bright
a	broad
a	broken
a	buccal
a	budget
a	bully
a	burden
a	bus
a	business
a	by
a	cal
a	calendar
a	caliber
a	call
a	candidate
a	capacity
a	car
a	careful
a	carefully
a	case
a	casual
a	catalyst
a	causal
a	cause
a	cautionary
a	cave
a	cbs
a	central
a	century
a	certain
a	certified
a	challenger
a	chandelier
a	change
a	check
a	child
a	choice
a	church
a	citizen
a	city
a	civil
a	claim
a	class
a	classic
a	clearing
a	client
a	clinic
a	clinical
a	close
a	cloud
a	cluster
a	coarsening
a	code
a	codis
a	cognitive
a	cole
a	collaborative
a	colleague
a	collective
a	column
a	commentator
a	common
a	communicative
a	community
a	company
a	comparative
a	comparison
a	compelling
a	complaint
a	complex
a	complicated
a	composite
a	comprehensive
a	computer
a	concept
a	conception
a	concise
a	conclusion
a	concurring
a	condition
a	connecticut
a	consequence
a	conservative
a	conservator
a	conservatorship
a	consideration
a	constitutional
a	consumer
a	container
a	contemporaneous
a	context
a	contingent
a	contract
a	conversation
a	convicted
a	conviction
a	cops
a	copy
a	core
a	cornell
a	correlation
a	cost
a	countryman
a	countywide
a	course
a	court
a	crime
a	criminal
a	critical
a	crowd
a	crystal
a	culture
a	curtilage
a	customer
a	d
a	daily
a	dangerous
a	darkened
a	data
a	database
a	dataset
a	day
a	dd
a	death
a	decade
a	december
a	decision
a	decline
a	defendant
a	defense
a	defiant
a	defined
a	definition
a	degree
a	deluge
a	demonstrated
a	department
a	dependency
a	deprivation
a	description
a	desire
a	desk
a	detective
a	detention
a	determination
a	deterrent
a	device
a	diagnostic
a	different
a	difficult
a	digit
a	digital
a	dimension
a	dining
a	disclosure
a	discussion
a	disease
a	disguise
a	disincentive
a	disparate
a	disproportionate
a	dispute
a	distance
a	distinct
a	distinction
a	distortion
a	diversion
a	divide
a	division
a	divorce
a	dna
a	doctor
a	doctrinal
a	dog
a	domain
a	domestic
a	door
a	dramatic
a	driver
a	driverless
a	driving
a	drop
a	drug
a	duffel
a	dummy
a	e
a	eastbaycitizenbreakingnewspoliticslife
a	even
a	f
a	face
a	facebook
a	faceprint
a	facial
a	fact
a	factor
a	failure
a	fair
a	fairly
a	false
a	familial
a	family
a	famous
a	fantasy
a	far
a	farm
a	fear
a	federal
a	feet
a	fenced
a	few
a	field
a	fifty
a	final
a	financial
a	finding
a	fire
a	first
a	fixation
a	fixture
a	flashlight
a	fleeing
a	for
a	forensic
a	former
a	formidable
a	formulation
a	forward
a	founder
a	founding
a	fourteen
a	fourth
a	fpr
a	fractured
a	framed
a	framework
a	free
a	freedom
a	fresh
a	fretty
a	friend
a	frisk
a	front
a	frontline
a	full
a	fuller
a	fully
a	function
a	fundamental
a	future
a	gang
a	general
a	generalized
a	generation
a	genetic
a	genuinely
a	geographic
a	given
a	global
a	good
a	goodman
a	government
a	governmental
a	gps
a	graphical
a	grassroots
a	great
a	greater
a	grid
a	ground
a	group
a	growing
a	guardian
a	guardianship
a	guide
a	gun
a	gunman
a	hallmark
a	handbill
a	handful
a	hard
a	hca
a	healthy
a	heat
a	heavy
a	heightened
a	helper
a	hickory
a	hidden
a	high
a	higher
a	highly
a	history
a	holistic
a	home
a	host
a	hot
a	hotspot
a	house
a	huge
a	human
a	husband
a	hypothesis
a	hypothetical
a	in
a	index
a	j
a	job
a	joint
a	judge
a	judgment
a	jurisdiction
a	jury
a	justiciable
a	key
a	kind
a	knocker
a	known
a	lack
a	langan
a	large
a	late
a	later
a	law
a	lawyer
a	lawyering
a	leader
a	leading
a	leaf
a	leash
a	legal
a	legislative
a	legislator
a	legitimate
a	lengthy
a	less
a	lesser
a	lethality
a	level
a	liar
a	liberal
a	light
a	limitation
a	linde
a	line
a	lion
a	list
a	litany
a	litigation
a	little
a	local
a	location
a	logan
a	logical
a	logistic
a	long
a	longitudinal
a	look
a	lookout
a	los
a	loss
a	lot
a	low
a	lower
a	luxury
a	lynch
a	m
a	magical
a	magistrate
a	major
a	majority
a	male
a	man
a	mandatory
a	manner
a	many
a	map
a	marketing
a	maryland
a	mason
a	mass
a	massachusetts
a	massive
a	master
a	match
a	matching
a	mathematical
a	matter
a	meaningful
a	means
a	measure
a	mechanism
a	meeting
a	mendez
a	mere
a	metal
a	meter
a	midnight
a	million
a	minimal
a	minimum
a	minnesota
a	misdemeanor
a	misleading
a	mistake
a	mix
a	model
a	modern
a	moment
a	monitored
a	moratorium
a	more
a	mortgage
a	mosaic
a	mostly
a	motion
a	movement
a	movie
a	much
a	mug
a	multi
a	multibillion
a	multidisciplinary
a	multisite
a	murderer
a	mystery
a	n
a	name
a	narcotics
a	narrower
a	natural
a	nearby
a	nearly
a	neat
a	neighbor
a	network
a	networked
a	neutral
a	new
a	newspaper
a	next
a	nexus
a	non
a	number
a	numeric
a	numerical
a	numerically
a	nutter
a	often
a	one
a	p
a	pamphlet
a	paper
a	parent
a	parked
a	parole
a	part
a	partial
a	particular
a	particularized
a	particularly
a	party
a	passerby
a	passive
a	passport
a	past
a	path
a	patronizing
a	pattern
a	pause
a	pdf
a	pedestrian
a	peep
a	penalty
a	percent
a	perception
a	perimeter
a	period
a	permanent
a	permit
a	person
a	personal
a	petition
a	phenomenon
a	photo
a	photograph
a	physical
a	place
a	plane
a	platform
a	plethora
a	point
a	police
a	policeman
a	policy
a	political
a	pompous
a	poor
a	poorly
a	population
a	position
a	positive
a	post
a	potential
a	poverty
a	power
a	powerful
a	practical
a	practically
a	pre
a	precinct
a	precise
a	predetermined
a	predictable
a	predictive
a	predisposition
a	predominant
a	predominating
a	pregnant
a	presidential
a	preventative
a	previous
a	prima
a	primary
a	prime
a	principal
a	printer
a	prior
a	priori
a	prison
a	prisoner
a	privacy
a	private
a	pro
a	probabilistic
a	probability
a	probable
a	probationer
a	problem
a	product
a	profession
a	professional
a	profile
a	program
a	programme
a	prominent
a	property
a	proponent
a	prosecutor
a	prospect
a	protective
a	protector
a	prototype
a	proxy
a	psychological
a	psychologist
a	public
a	publication
a	publick
a	punch
a	purchase
a	purpose
a	push
a	q
a	quagmire
a	quantifiable
a	quantity
a	quarter
a	question
a	questionnaire
a	random
a	range
a	rape
a	rapid
a	rapist
a	rare
a	rate
a	re
a	reaction
a	reactive
a	real
a	reason
a	reasonable
a	reasonableness
a	reasonably
a	recent
a	recess
a	recession
a	reckless
a	recognition
a	reconciliation
a	redress
a	referendum
a	reform
a	reformist
a	region
a	regular
a	regulatory
a	reinvigorated
a	relationship
a	relatively
a	relevant
a	reliable
a	reliance
a	relic
a	remarkably
a	removable
a	renewed
a	reply
a	report
a	reputation
a	request
a	requirement
a	reserve
a	resource
a	response
a	restraining
a	result
a	retailer
a	rethinking
a	reverse
a	review
a	revolution
a	revolutionary
a	revolving
a	rich
a	right
a	risk
a	role
a	rothstein
a	ruling
a	run
a	runoff
a	rutland
a	s
a	safer
a	salary
a	sample
a	school
a	score
a	scout
a	screened
a	search
a	searched
a	second
a	secondary
a	security
a	seizure
a	sender
a	sense
a	sentence
a	sentencing
a	separate
a	series
a	serious
a	service
a	set
a	severe
a	severity
a	sharply
a	sheriff
a	shield
a	shift
a	shopping
a	short
a	shorter
a	shorthand
a	showing
a	signature
a	significant
a	silver
a	similar
a	simple
a	simpler
a	single
a	sip
a	situation
a	six
a	sixty
a	small
a	smartphone
a	sobering
a	social
a	societal
a	socio
a	software
a	solomon
a	source
a	speaker
a	special
a	specific
a	st
a	staggering
a	standing
a	startling
a	startup
a	state
a	statement
a	states
a	statistical
a	statistics
a	status
a	statute
a	steely
a	step
a	stepparent
a	stick
a	stop
a	stranger
a	streetlight
a	string
a	strong
a	study
a	style
a	subject
a	subjective
a	subpoena
a	subsequent
a	subset
a	substantial
a	successful
a	sufficient
a	sufficiently
a	supplement
a	supportive
a	sure
a	surrender
a	surveillance
a	survey
a	survivors
a	suspect
a	suspected
a	suspended
a	suspicionless
a	suspicious
a	sweeping
a	switch
a	sworn
a	tactic
a	task
a	taxonomy
a	team
a	technical
a	technocratic
a	technology
a	telephone
a	temporal
a	temporary
a	ten
a	tension
a	term
a	terrible
a	terrorist
a	terry
a	th
a	the
a	theory
a	therapeutic
a	these
a	third
a	threat
a	threshold
a	time
a	times
a	tip
a	too
a	tool
a	topography
a	total
a	totality
a	tough
a	trace
a	trade
a	tradeoff
a	traditional
a	traditionally
a	traffic
a	train
a	trajectory
a	transgression
a	tremendous
a	trend
a	trespass
a	trial
a	tro
a	troubled
a	trove
a	truck
a	two
a	type
a	typical
a	u
a	ucla
a	uf
a	unified
a	unique
a	user
a	using
a	usual
a	vague
a	valid
a	value
a	variety
a	vast
a	vastly
a	venture
a	very
a	veteran
a	vicious
a	victim
a	violation
a	vision
a	vital
a	voice
a	volunteer
a	voter
a	waiver
a	walk
a	warrant
a	warrantless
a	washington
a	way
a	wealth
a	weapon
a	west
a	wetterstrand
a	while
a	whim
a	whistle
a	whole
a	wholesale
a	wide
a	will
a	willingness
a	winning
a	woman
a	women
a	work
a	working
a	world
a	writer
a	year
a	yet
a	yottabye
aaron	lester
aba	publications
abandoned	it
abandoned	property
abel	speaking
abel	writes
aberration	the
abetting	an
abhorred	the
abide	by
abides	by
abiding	citizens
abilities	must
ability	and
ability	of
ability	to
able	bodied
able	to
abolition	of
abolitionist	literature
abortion	clinic
about	a
about	accountability
about	accounting
about	addressing
about	all
about	an
about	and
about	areas
about	banishing
about	barbara
about	big
about	billion
about	case
about	civil
about	client
about	clinical
about	consumer
about	conventional
about	crimes
about	criminal
about	customers
about	daily
about	death
about	domestic
about	effectively
about	faci
about	facial
about	failing
about	fifty
about	fighting
about	fourth
about	frt
about	future
about	geographic
about	getting
about	government
about	half
about	her
about	his
about	how
about	human
about	immigration
about	in
about	individual
about	individuals
about	it
about	last
about	million
about	mr
about	n
about	noise
about	of
about	one
about	other
about	our
about	people
about	percent
about	predictions
about	predictive
about	prior
about	privacy
about	private
about	prying
about	public
about	race
about	reducing
about	representation
about	risk
about	social
about	some
about	specific
about	supporters
about	teaching
about	technology
about	ten
about	that
about	the
about	their
about	them
about	themselves
about	these
about	this
about	to
about	us
about	what
about	where
about	whether
about	which
about	who
about	why
about	zettabytes
above	a
above	case
above	crime
above	found
above	namely
abridging	the
abroad	in
abroad	n
abrogated	by
absence	load
absence	of
absent	capacity
absent	consent
absent	physical
absent	statutory
absent	the
abstract	and
abstract	or
abstract	the
abstract	these
abuse	among
abuse	and
abuse	at
abuse	but
abuse	by
abuse	can
abuse	during
abuse	fearing
abuse	for
abuse	given
abuse	has
abuse	in
abuse	including
abuse	intervention
abuse	is
abuse	may
abuse	n
abuse	neglect
abuse	of
abuse	or
abuse	philadelphia
abuse	second
abuse	she
abuse	shifts
abuse	that
abuse	the
abuse	to
abuse	was
abuse	while
abuse	with
abused	by
abused	that
abused	to
abused	woman
abused	women
abuser	a
abuser	absent
abuser	after
abuser	and
abuser	are
abuser	back
abuser	being
abuser	can
abuser	continues
abuser	fearing
abuser	for
abuser	from
abuser	geo
abuser	has
abuser	if
abuser	in
abuser	is
abuser	leverages
abuser	may
abuser	n
abuser	often
abuser	or
abuser	part
abuser	personality
abuser	rather
abuser	remains
abuser	s
abuser	some
abuser	that
abuser	the
abuser	through
abuser	to
abuser	uses
abuser	victims
abuser	when
abuser	which
abuser	who
abuser	will
abuser	with
abusers	a
abusers	and
abusers	behavior
abusers	commonly
abusers	could
abusers	lack
abusers	mortgage
abusers	n
abusers	tactics
abusers	until
abusers	were
abusers	wm
abuses	at
abuses	to
abusive	and
abusive	conduct
abusive	law
abusive	or
abusive	partner
abusive	partners
abusive	relationship
abusive	relationships
abusive	treatment
acad	psychiatry
academics	it
academy	graduates
academy	s
accelerating	developments
accentuated	or
accept	certain
accept	its
accept	that
accept	the
accept	this
accept	without
acceptability	of
acceptable	an
acceptable	anti
acceptable	way
acceptance	of
accepted	axiom
accepted	that
accepting	helper
accepting	that
accepting	the
accepts	as
accepts	that
access	and
access	certain
access	clearinghouse
access	form
access	including
access	preserve
access	privacy
access	restricted
access	to
accessed	and
accessibility	of
accessible	by
accessible	personal
accessible	to
accessible	what
accessing	government
accessing	online
accommodate	modern
accompany	him
accompany	this
accompanying	notes
accompanying	text
accompanying	trespass
accomplices	and
accomplices	when
accomplish	and
accomplish	this
accomplish	without
accomplished	without
accomplishment	of
accordance	with
according	to
accordingly	draws
accordingly	n
accordingly	the
accordingly	to
accordingly	we
accosts	an
account	but
account	by
account	for
account	in
account	of
account	that
account	their
account	there
account	when
accountability	and
accountability	challenges
accountability	for
accountability	in
accountability	should
accountability	the
accountability	to
accountability	upon
accountability	which
accountable	directly
accountable	for
accountable	if
accountable	n
accountant	and
accountants	and
accountants	bankers
accountants	n
accounted	for
accounting	for
accountings	of
accounts	misleadingly
accounts	of
accumulated	wisdom
accumulating	throughout
accuracy	and
accuracy	n
accuracy	of
accurate	and
accurate	assessor
accurate	at
accurate	in
accurate	is
accurate	n
accurate	predictor
accurate	than
accurate	vocabulary
accurately	predict
accurately	predicting
accurately	reflects
accurately	represent
accusation	based
accused	not
accused	of
accused	remains
accused	s
accused	who
accustomed	to
acevedo	u
achieve	social
achieve	success
achieve	the
achieved	around
achieved	using
achieving	the
acknowledge	that
acknowledged	by
acknowledged	that
acknowledgement	that
acknowledges	such
acknowledging	the
acknowledging	there
aclu	org
acquaintance	is
acquainted	with
acquiescence	n
acquire	independence
acquire	the
acquired	by
acquired	facial
acquired	n
acquiring	data
acquisition	how
acquisition	is
acquisition	of
acquisition	the
acquisti	face
acquisti	n
acquisti	privacy
acquisti	ralph
acquittal	and
acreports	iudgo
acrobats	against
acrobats	as
across	a
across	all
across	america
across	city
across	districts
across	exabytes
across	large
across	photos
across	police
across	society
across	the
across	usa
act	and
act	ann
act	ecpa
act	h
act	id
act	if
act	in
act	maybe
act	n
act	of
act	on
act	or
act	provides
act	rule
