	of
a	across
a	all
a	and
a	bachelor
a	ball
a	bank
a	barrier
a	baseball
a	beaudet
a	besides
a	bicycle
a	big
a	black
a	blunt
a	bond
a	boy
a	burglary
a	bustamante
a	byline
a	car
a	career
a	case
a	cause
a	certificate
a	chance
a	child
a	chinese
a	city
a	civil
a	civilian
a	co
a	coalition
a	coding
a	collier
a	combined
a	community
a	competitive
a	complaint
a	compliance
a	concert
a	consul
a	consultation
a	controlled
a	controversial
a	county
a	court
a	crime
a	criminal
a	csi
a	cyber
a	daily
a	dalziel
a	date
a	daucher
a	day
a	deadly
a	decision
a	defendant
a	defense
a	delfino
a	democrat
a	deputies
a	devine
a	difficult
a	direct
a	disney
a	division
a	doctor
a	downtown
a	dozen
a	drake
a	drop
a	drug
a	dui
a	dvd
a	era
a	facebook
a	failed
a	fair
a	faux
a	feb
a	federal
a	fellow
a	felon
a	felony
a	fence
a	few
a	fights
a	fire
a	firearm
a	first
a	five
a	flurry
a	focus
a	forensic
a	form
a	former
a	formerly
a	fortune
a	four
a	fourth
a	freeman
a	freiberg
a	fresno
a	friend
a	front
a	full
a	g
a	gamble
a	gang
a	gessler
a	good
a	grade
a	grand
a	great
a	greater
a	ground
a	group
a	half
a	has
a	hate
a	head
a	hearing
a	heavy
a	helmet
a	homeland
a	homeowner
a	homicide
a	hospital
a	hotel
a	housing
a	houston
a	hunt
a	if
a	in
a	indicted
a	is
a	jewish
a	joint
a	judge
a	jury
a	kaiser
a	kim
a	krinsky
a	lab
a	lack
a	landry
a	large
a	larger
a	law
a	lawyer
a	lead
a	length
a	lifelong
a	lifetime
a	load
a	local
a	long
a	los
a	lot
a	loyal
a	m
a	makeshift
a	malicious
a	man
a	marenberg
a	massive
a	master
a	mattress
a	maximum
a	mess
a	microphone
a	mile
a	military
a	million
a	minimum
a	misdemeanor
a	model
a	monster
a	month
a	monty
a	more
a	movie
a	multi
a	multiyear
a	nationally
a	native
a	neighborhood
a	neighbour
a	new
a	news
a	newspaper
a	nice
a	no
a	normal
a	not
a	number
a	one
a	over
a	packed
a	page
a	panel
a	pansky
a	pardon
a	parked
a	part
a	partial
a	partially
a	particular
a	particularly
a	partnership
a	party
a	passenger
a	patricia
a	percent
a	person
a	perspective
a	pg
a	phone
a	physical
a	plaid
a	plane
a	police
a	porsche
a	possible
a	powerful
a	practice
a	predator
a	preliminary
a	press
a	previous
a	prior
a	prison
a	pro
a	proactive
a	professor
a	public
a	purse
a	putting
a	quarter
a	question
a	racial
a	rambunctious
a	range
a	reality
a	really
a	rear
a	recent
a	record
a	reed
a	registered
a	religious
a	remarkable
a	renowned
a	republican
a	request
a	resident
a	residential
a	result
a	retired
a	retooling
a	risk
a	road
a	rookie
a	s
a	safe
a	said
a	santa
a	schneider
a	schoolboy
a	scrum
a	search
a	second
a	senior
a	sense
a	sentence
a	sentencing
a	series
a	serious
a	seven
a	sexual
a	share
a	sheriff
a	shooting
a	shortage
a	shot
a	similar
a	single
a	sister
a	small
a	smartphone
a	soldier
a	solution
a	son
a	south
a	special
a	split
a	spokesman
a	spokesperson
a	sprained
a	statement
a	statistical
a	stir
a	strategy
a	street
a	strict
a	string
a	stroke
a	strong
a	student
a	students
a	study
a	substantial
a	suburban
a	successful
a	sufficiently
a	super
a	superior
a	supervising
a	surviving
a	suspect
a	swat
a	task
a	teaching
a	team
a	technical
a	technique
a	telephone
a	terrorist
a	third
a	tomasulo
a	torn
a	total
a	trash
a	tree
a	truck
a	tucker
a	tune
a	tv
