of documents 1 of 1
a car and 1 2
a citywide reduction 1 1
a couple of 1 3
a falls section 1 1
a length words 1 1
a list of 1 4
a member of 1 3
a milestone when 1 1
a news conference 4 1
a percent drop 1 3
a percent increase 1 3
a priority he 1 1
a proposed ballot 1 1
a provision that 1 1
a reflection of 1 1
a remarkable achievement 1 1
a result of 1 4
a row to 1 1
a row we 1 1
a sales tax 1 1
a six month 1 3
a slight uptick 1 1
a total of 1 2
according to the 1 3
achievement he said 1 1
across the united 1 2
added a percent 1 1
added los angeles 1 1
added police chief 1 1
added these numbers 1 1
addition to the 1 2
advised put the 1 1
again christina villacorte 1 1
aggravated assault burglary 1 1
aggravated assault offset 1 1
all rights reserved 500 20
allowed to continue 1 1
also attributed some 1 1
also intends to 1 1
also involved in 1 2
also vowed to 1 1
america mayor antonio 1 1
an increase why 1 1
an percent slide 1 1
and aggravated assault 1 1
and are likely 1 1
and auto theft 1 1
and by working 1 1
and carjackings beck 1 1
and dozens of 1 1
and for the 1 1
and he urged 1 1
and homicide this 1 1
and i believe 1 1
and los angeles 2 7
and operation laser 1 1
and out on 1 2
and police chief 1 3
and posted a 1 1
and property crimes 2 1
and s beck 1 1
and to control 1 1
and you ll 1 1
and youth development 1 1
angeles beck also 1 1
angeles by a 1 1
angeles fell for 1 1
angeles had the 1 1
angeles if they 1 1
angeles january tuesday 1 1
angeles newspaper group 1 3
angeles remains the 1 1
angeles since william 1 1
announced i predicted 1 1
announced monday our 1 1
antonio villaraigosa said 1 1
any big city 1 1
are a reflection 1 1
are likely to 1 9
are very difficult 1 2
as a member 1 1
as a result 1 3
as more officers 1 1
as one of 1 3
as property crime 1 1
as well as 3 23
ask new york 1 1
ask the other 1 1
assault burglary and 1 1
assault offset increases 1 1
at least one 2 3
at the observation 1 1
at the school 1 1
at the time 1 10
attention to the 1 4
attributed some of 1 1
auto theft and 1 1
back a proposed 1 1
back to the 1 2
backed by gov 1 1
ballot measure to 1 1
be the first 1 2
be tweaked so 1 1
be will make 1 1
because of it 1 1
beck also attributed 1 1
beck blamed the 1 1
beck however bristled 1 1
beck said he 1 1
beck said the 2 1
beck vowed the 1 1
before statistics showed 1 1
being stolen lock 1 1
believe that has 1 1
big city in 2 5
blamed the uptick 1 1
boost the sales 1 1
bristled at the 1 1
brown included a 1 1
burglaries and carjackings 1 1
burglary and auto 1 1
but added los 1 1
but i m 1 3
but the number 1 1
by a couple 1 1
by gov jerry 1 1
by only percent 1 1
by remaining data 1 1
by working closely 1 1
calling for the 1 1
calls for talking 1 1
can continue to 1 1
can form deep 1 1
can monitor ex 1 1
capita than any 1 1
carjackings beck blamed 1 1
ceasefire which calls 1 1
cellphone thefts in 1 1
certain ex cons 1 1
charlie beck said 2 1
chicago the county 1 1
chief announced monday 1 1
chief charlie beck 2 4
chief of the 1 1
christina villacorte dailynews 1 1
cities in the 1 4
cities that had 1 1
city and its 1 1
city however saw 1 1
city in the 2 5
city of los 4 3
city s residents 1 2
city so they 1 1
citywide reduction in 1 1
closely taken together 1 1
closely tracks people 1 1
closely with the 1 6
com ladnvillacorte load 1 1
com twitter com 1 2
commitment to community 1 1
committed violent crimes 1 1
communities there he 1 1
community policing beck 1 1
conference last year 1 1
cons more closely 1 1
cons on probation 1 1
consequences of continued 1 1
continue growing there 1 1
continue operation ceasefire 1 1
continue police hiring 1 1
continue to lower 1 1
continue to reduce 1 1
continued hiring of 1 1
continued violent crimes 1 1
control the response 1 1
copyright digital first 1 1
copyright medianews group 1 3
country he refused 1 1
county of los 5 1
county sheriff s 2 4
couple of percentage 1 1
crime in l 1 1
crime in the 2 5
crime level in 1 1
crime rate did 1 1
crime rates by 1 1
crime rates don 1 1
crime reversed its 1 1
crime suppression strategies 1 1
crime to realignment 1 1
crime will occur 1 2
crime would increase 1 1
crimes and operation 1 1
crimes and property 2 1
crimes in the 1 3
crimes in was 1 1
crimes increase for 1 1
crimes overall helped 1 1
crimes per capita 1 1
crimes receded percent 1 1
crimes recorded in 1 1
daily news of 1 1
dailynews com twitter 1 1
data driven in 1 1
data shows that 1 1
date january language 4 2
date september language 1 1
decades even as 1 1
decades the city 1 1
decline in the 1 1
declining crime rates 1 1
decreases in robbery 1 1
deep partnerships with 1 1
department of our 1 1
development office he 1 1
did not seem 1 1
digital first media 1 1
do so again 1 1
do that then 1 1
documents pasadena star 1 2
documents the daily 1 1
don t continue 1 1
don t know 1 5
don t lie 1 1
don t you 2 2
down noting the 1 1
downward trend and 1 1
drive the numbers 1 1
driven in its 1 1
drop in gang 1 1
drop in the 1 1
drop in violent 1 1
drop was percent 1 1
during a news 1 1
during the recession 1 1
duty in the 1 1
edition for th 1 1
effect in october 1 1
electronic gadgets from 1 1
ends in june 1 1
england and wales 2 10
english publication type 8 11
even as property 1 1
ex cons more 1 1
ex cons on 1 1
expand predictive policing 1 1
falls section news 1 1
fell for the 1 1
fewer than homicides 1 1
fewest in decades 1 1
fewest violent crimes 1 1
first media all 1 1
first time in 1 1
five years in 1 1
for a total 1 1
for keeping your 1 1
for talking to 1 1
for th year 1 1
for the first 1 4
for the law 1 1
for the most 1 1
for the th 1 1
for the third 1 1
for those who 1 1
form deep partnerships 1 1
from being stolen 1 1
from the year 1 1
gadgets from being 1 1
gang members so 1 1
gang reduction and 1 1
gang related crimes 2 1
gang related homicides 1 1
gov jerry brown 1 1
group inc all 1 3
group inc and 1 3
growing our police 1 1
growing there is 1 1
had an increase 1 1
had asked for 1 1
had the fewest 1 1
has always been 1 1
has occurred he 1 1
hasn t been 1 1
have committed violent 1 1
have percent villaraigosa 1 1
he added a 2 1
he added police 1 1
he added these 1 1
he advised put 1 1
he also intends 1 1
he also vowed 1 1
he hopes the 1 1
he refused to 1 1
he said calling 1 1
he said the 1 3
he said why 1 1
he urged the 1 1
helped drive the 1 1
hide it and 1 1
hiring of police 1 1
hiring villaraigosa said 1 1
hit a milestone 1 1
hit by a 1 1
homicide this is 1 1
homicides he added 1 1
homicides last year 1 1
hopes the incoming 1 1
however bristled at 1 1
however saw property 1 1
i believe that 1 1
i can continue 1 1
i don t 1 9
i predicted property 1 1
i would support 1 1
if the lapd 1 1
if they would 1 1
if we don 1 3
if you do 1 1
in a row 2 2
in addition to 1 7
in cellphone thefts 1 1
in decades even 1 1
in decades the 1 1
in during the 1 1
