of documents 1 of 1
a a pg 299 1
a bad thing 1 2
a big deal 1 1
a big difference 3 1
a big part 1 2
a bigger euphoric 1 1
a bill that 4 1
a blue ribbon 5 1
a byproduct of 4 1
a case of 3 2
a case study 1 2
a case that 1 1
a cellphone video 1 1
a change in 5 2
a charge of 2 1
a child s 1 1
a city s 1 3
a civil rights 2 2
a clear sense 1 1
a combination of 3 6
a community group 4 1
a complex and 1 1
a connection between 1 1
a core value 1 1
a county s 9 1
a couple of 2 2
a court s 1 1
a cousin of 1 1
a crime before 1 1
a crime for 1 2
a crime in 1 1
a crime occurring 1 1
a criminal justice 1 1
a criminal record 2 1
a crowd of 3 1
a culture of 2 2
a daily basis 3 3
a day earlier 1 1
a decade ago 4 3
a decade mayor 1 1
a decline in 1 2
a defendant s 1 2
a demand for 6 1
a deputy sheriff 1 1
a difference in 4 1
a different location 4 1
a discussion of 6 6
a disproportionate toll 1 1
a district attorney 1 1
a division of 1 2
a dozen or 2 1
a facebook page 1 2
a family affair 1 1
a fatal shooting 6 1
a fear of 2 2
a feeling that 1 1
a feet by 1 1
a few days 1 2
a few hours 1 3
a few months 2 2
a few weeks 4 1
a few years 1 2
a finding that 1 1
a five year 4 2
a former l 3 1
a fourth of 1 1
a friend s 2 1
a full time 1 2
a function of 11 5
a gateway drug 1 1
a grant from 9 1
a great deal 5 9
a great degree 1 1
a group of 10 5
a guest speaker 1 1
a half million 3 1
a handful of 6 3
a hearing in 1 1
a high and 1 1
a high crime 1 5
a high level 1 2
a high probability 1 1
a high rate 6 1
a highly complex 3 1
a history of 5 4
a home in 5 2
a host of 3 5
a house where 1 1
a human being 1 3
a judge or 2 1
a jump in 3 1
a kind of 1 3
a lack of 7 9
a large scale 1 1
a larger share 1 1
a last resort 2 1
a later date 6 1
a law enforcement 2 6
a law that 1 1
a lawsuit in 1 1
a lawyer or 1 1
a legal defense 4 1
a legal matter 1 1
a length words 9 1
a letter to 10 2
a levels off 1 1
a lieutenant at 1 1
a likelihood of 2 1
a little bit 4 2
a long list 5 1
a long term 5 1
a long time 2 2
a los angeles 57 1
a lot higher 6 2
a lot of 49 12
a majority of 14 1
a man of 1 2
a man who 27 1
a matter of 1 17
a measure of 1 8
a member of 15 8
a message that 2 1
a message to 6 2
a minimum of 1 1
a mobile app 4 1
a model for 1 7
a model of 1 2
a month to 9 2
a more accurate 1 1
a national discussion 1 1
a national survey 5 1
a new generation 1 1
a new way 1 2
a new york 2 7
a nonprofit that 2 1
a number of 7 25
a pair of 5 1
a part of 10 12
a partnership with 2 5
a path to 3 2
a patrol officer 1 1
a pattern of 2 3
a percent increase 24 2
a person in 2 1
a person of 3 1
a person s 7 5
a person with 1 1
a pg length 310 1
a physical fight 2 1
a piece of 8 1
a plan to 2 1
a plea deal 2 1
a police chief 3 1
a police officer 8 19
a police presence 1 1
a policy of 1 2
a policy that 1 3
a portion of 2 1
a precursor to 2 1
a predictive policing 1 2
a probation officer 1 1
a process known 2 1
a process that 1 2
a product of 6 2
a program designed 2 2
a program that 1 6
a push for 4 2
a range of 4 20
a rate of 6 1
a reason for 2 3
a reason to 1 1
a recent report 1 1
a relatively small 1 3
a relentless focus 1 1
a reminder that 2 1
a report on 2 1
a representative of 1 2
a response to 1 13
a restaurant chain 1 3
a result of 48 13
a result the 2 2
a result they 2 1
a review of 5 4
a right to 1 10
a rise in 7 1
a safe and 4 2
a san bernardino 3 1
a season that 2 1
a section of 3 1
a sense of 3 8
a series of 20 22
a sharp increase 1 1
a sherman commanding 1 1
a sherman full 1 1
a sign of 1 1
a sign that 2 2
a significant amount 2 3
a significant effect 2 1
a significant increase 6 1
a significant number 3 2
a single case 2 2
a small fraction 4 3
a small percentage 3 1
a social media 1 2
a solution for 3 1
a sort of 1 1
a source of 1 2
a speaker at 1 1
a special interest 1 1
a specific provision 1 1
a state law 3 2
a state of 1 4
a stop based 4 1
a string of 7 1
a strong and 2 1
a student at 4 1
a study of 1 9
a suburb of 1 1
a suspect s 1 1
