of 1 of 1
a a 303 9
a and 1 1
a b 2 5
a back 2 1
a bad 14 4
a bail 2 1
a bank 3 2
a bar 1 1
a base 2 1
a better 14 11
a big 21 21
a bigger 1 1
a bill 6 1
a billion 9 1
a bit 4 4
a black 30 10
a blue 7 1
a body 7 4
a book 1 2
a border 1 1
a boy 4 1
a breach 1 1
a breakdown 2 1
a brief 8 3
a broad 1 11
a broader 5 5
a broken 4 2
a building 1 2
a business 3 7
a byproduct 4 1
a caldwell 3 1
a california 7 2
a call 7 3
a campaign 6 2
a candidate 1 3
a case 15 9
a cautionary 1 1
a cellphone 16 1
a certain 4 11
a chain 1 1
a change 7 3
a charge 3 1
a chicago 3 1
a child 25 1
a choice 2 2
a citizen 3 7
a city 23 15
a civil 5 3
a claim 13 2
a class 2 7
a clear 9 11
a co 1 1
a coalition 4 1
a code 8 1
a collaborative 2 1
a collective 1 11
a columnist 1 1
a combination 3 6
a comment 1 1
a commercial 2 1
a commission 9 3
a common 5 10
a community 12 6
a company 1 3
a comparative 1 2
a compassionate 1 1
a complex 1 4
a comprehensive 1 12
a computer 2 12
a concern 5 4
a connection 1 1
a consequence 1 2
a construction 2 1
a controlled 12 1
a controversial 4 2
a conversation 2 1
a conviction 6 1
a cop 2 4
a core 7 4
a cost 2 2
a costly 6 2
a counter 2 1
a county 68 8
a couple 4 2
a court 5 8
a cousin 1 1
a credit 1 2
a crime 56 16
a criminal 24 5
a critical 8 2
a crowd 11 1
a culture 2 2
a customer 2 2
a cycle 1 1
a d 1 4
a daily 3 4
a data 3 12
a database 1 6
a day 42 3
a decade 10 6
a decision 1 9
a decline 1 2
a deep 1 5
a defendant 12 4
a definite 6 1
a definition 4 4
a demand 7 1
a department 9 5
a deputy 15 3
a difference 10 2
a different 15 17
a difficult 1 1
a digital 12 4
a discussion 6 6
a dispatcher 1 1
a disproportionate 1 8
a distinct 7 2
a distinctive 1 6
a distraction 2 1
a district 7 2
a division 2 2
a do 1 1
a dozen 18 1
a driver 7 1
a facebook 4 2
a factor 1 2
a fair 3 3
a fairly 3 2
a false 6 1
a family 17 2
a fatal 7 5
a father 6 1
a fear 3 2
a federal 29 6
a feeling 2 3
a feet 1 1
a fellow 4 1
a felony 9 1
a female 5 1
a few 29 25
a fill 1 1
a final 2 5
a finding 1 3
a fingerprint 3 1
a first 9 4
a five 8 3
a formal 1 1
a former 36 5
a four 4 2
a fourth 10 6
a free 4 2
a fresh 8 1
a friend 20 3
a full 6 11
a function 11 5
a future 1 13
a gas 6 2
a gateway 2 1
a generalization 6 1
a generation 3 3
a giant 1 1
a glock 1 2
a good 13 9
a government 2 11
a grant 9 1
a great 16 16
a greater 2 6
a group 24 18
a growing 1 5
a guest 4 1
a gun 37 6
a half 6 3
a halt 4 1
a handful 6 3
a hard 6 1
a hearing 5 6
a heavy 2 1
a high 24 25
a higher 7 7
a highly 5 4
a historic 1 2
a history 5 4
a hit 2 1
a holistic 2 1
a home 29 2
a homeless 3 1
a homeowner 3 1
a homicide 2 1
a horrifying 1 1
a hospital 15 3
a host 3 5
a hot 1 2
a house 11 2
a huge 8 6
a human 6 12
a january 1 1
a job 7 3
a joint 8 2
a judge 11 3
a judicial 2 4
a jump 4 1
a justice 4 2
a k 2 1
a key 5 11
a kind 1 3
a knife 9 2
a labor 2 2
a lack 7 9
a landlord 2 1
a large 15 15
a larger 9 13
a last 3 1
a later 6 3
a law 8 12
a lawsuit 21 4
a lawyer 9 2
a lead 1 1
a legal 9 24
a legitimate 6 9
a length 9 1
a less 3 3
a lesser 2 2
a letter 14 4
a levels 1 1
a license 9 1
a lieutenant 1 1
a light 5 1
a likelihood 2 1
a limited 1 5
a line 1 2
a link 9 2
a little 16 3
a live 2 1
a local 16 6
a location 3 1
a long 30 13
a longstanding 1 1
a longtime 4 1
a los 57 1
a lot 79 17
a lower 17 1
a m 255 5
a major 2 13
a majority 16 5
a man 154 4
a mandatory 3 4
a map 3 1
a massive 7 5
a master 1 2
a matter 1 18
a mayor 5 1
a measure 3 8
a media 1 3
a member 19 8
a message 13 4
a middle 1 2
a mile 5 2
a million 16 3
a minimum 1 8
a minor 12 2
a misdemeanor 14 1
a misleading 1 1
a missed 4 1
a mistake 1 2
a mobile 5 15
a model 3 13
a moderate 1 1
a modern 2 4
a moment 1 4
a month 25 4
a more 8 50
a much 2 14
a multi 2 4
a murder 10 2
a nation 2 3
a national 16 17
a nationally 1 1
a nearby 11 1
a nearly 14 1
a necessary 3 4
a negative 3 4
a neighborhood 4 15
a new 43 68
a news 41 2
a newspaper 2 1
a no 1 4
a non 3 1
a nonprofit 9 1
a normal 1 1
a now 2 1
a number 8 27
a one 5 1
a pair 5 1
a parent 1 1
a park 6 1
a part 16 12
a partial 1 2
a particular 11 28
a particularly 1 4
a partnership 2 7
a path 3 4
a patrol 1 1
a pattern 2 9
a pedestrian 1 1
a peer 2 4
a percent 52 3
a perfect 4 2
a period 1 4
a person 28 13
a pg 310 1
a physical 2 4
a piece 8 1
a pilot 1 1
a place 6 3
a plan 2 2
a plane 4 1
a plea 8 1
a point 4 4
a police 18 55
a policy 5 16
a political 6 4
a population 2 5
a portion 2 1
a portrait 1 1
a position 2 2
a positive 10 8
a possible 6 3
a post 1 7
a potential 7 11
a power 1 1
a powerful 6 2
a pre 4 2
a precursor 2 1
a predictive 1 3
a preliminary 10 2
a presidential 7 2
a previously 2 1
a primary 2 3
a prior 5 2
a private 2 10
a probation 2 1
a problem 9 19
a process 3 10
a product 6 2
a profound 2 1
a program 9 16
a prominent 1 1
a propensity 2 1
a proposal 4 3
a proposed 1 4
a protected 6 17
a protest 1 1
a public 15 20
a push 5 2
a race 1 5
a racial 6 23
a random 2 3
a range 4 20
a rare 1 1
a rate 7 1
a real 3 4
a really 5 1
a reason 3 5
a reasonable 3 9
a recent 19 19
a recently 2 1
a record 4 2
a reduction 2 4
a regional 24 4
a relatively 5 9
a relentless 1 1
a remarkably 1 1
a reminder 4 1
a report 23 10
a representative 3 5
a reputation 1 2
a request 1 2
a response 2 13
a responsible 1 1
a restaurant 17 3
a result 54 29
a review 7 4
a right 1 11
a rise 7 1
a robbery 7 1
a robust 2 8
a role 2 9
a row 2 3
a rule 1 11
a s 20 1
a safe 17 4
a safer 9 1
a san 19 1
a school 10 1
a search 20 6
a season 2 1
a seattle 1 1
a second 20 9
a section 3 1
a security 15 3
a self 2 4
a senior 8 2
a sense 3 12
a separate 5 4
a serial 4 3
a series 20 22
a serious 4 7
a service 1 6
a sharp 2 5
a sherman 4 2
a shooting 9 5
a short 11 2
a shotgun 6 1
a sidewalk 2 1
a sign 5 3
a significant 25 22
a sikh 1 4
a similar 10 20
a simple 3 6
a single 15 17
a situation 7 4
a six 2 1
a slight 1 1
a small 37 17
a social 2 10
a society 5 3
a solution 3 5
a sort 1 1
a source 2 4
a south 5 1
a southern 3 1
a space 1 1
a speaker 1 1
a special 11 4
a specific 3 11
a staff 4 3
a staggering 5 1
a state 7 21
a statement 93 3
a statewide 1 2
a statutory 2 5
a steep 2 1
a stolen 8 1
a stop 6 12
a street 20 1
a string 7 1
a strong 10 13
a stronger 1 1
a structure 1 3
a student 15 2
a study 4 18
a stunning 2 1
a subsequent 3 3
a substantial 1 13
a suburb 1 1
a successful 1 4
a supervisor 2 2
a surprise 4 1
a survey 4 3
a suspect 22 14
a suspected 3 1
a suspended 6 1
a sustained 2 2
a sworn 1 1
a symbol 1 1
a system 7 14
a targeted 6 4
a task 3 4
a taskforce 4 2
a team 2 3
a teen 9 1
a term 2 3
a terrorist 3 4
a the 4 4
a third 17 6
a thorough 2 3
a threat 14 5
a three 13 4
a time 21 9
a times 2 9
a to 11 3
a tool 4 5
a top 1 7
a topic 1 2
a total 13 3
a town 2 2
a toy 2 1
a track 5 1
a trade 7 2
a tradesman 1 1
a traffic 10 5
a transition 1 1
a trial 6 3
a true 1 1
a trump 2 1
a trust 1 1
a two 5 4
a typical 1 1
a unified 1 2
a uniform 2 1
a union 1 16
a unique 1 3
a university 2 1
a vacuum 2 1
a valid 5 3
a valuable 4 1
a variety 10 19
a vast 1 3
a vehicle 33 2
a verbal 1 1
a very 10 9
a vested 1 1
a vicious 1 1
a victim 11 2
a video 10 4
a virtual 1 4
a vivid 2 1
a voice 2 13
a vote 2 1
a voter 4 1
a wall 2 3
a war 1 5
a warrant 9 3
a washington 1 1
a wave 6 1
a way 17 25
a weapon 4 2
a website 13 1
a week 28 3
a well 3 1
a west 9 1
a white 35 7
a whole 10 9
a wide 12 25
a wider 3 3
a widespread 1 1
a world 4 5
a written 31 1
a year 136 10
a young 6 6
a youth 4 1
abandoned the 1 1
abc news 2 4
abide by 1 1
ability to 22 46
able to 50 45
about a 58 8
about all 1 2
about and 3 1
about crime 22 3
about crimes 1 1
about data 1 2
about eight 1 2
about even 2 1
about force 1 1
about four 1 1
about his 6 1
about how 8 18
about immigration 1 1
about in 5 2
about is 2 1
about it 10 5
about knowing 2 1
about known 2 1
about law 1 4
about million 11 1
about more 3 2
about our 5 3
about p 25 2
about people 16 2
about percent 14 4
about police 11 9
about race 3 1
about said 2 1
about social 1 1
about the 104 122
about their 12 13
about these 3 3
about to 1 6
about trying 1 1
about two 10 1
about what 13 15
about when 1 1
about whether 5 10
above and 5 4
above in 1 2
absent a 2 1
absent from 1 2
abstract in 1 1
abstract meet 1 1
abstract no 3 1
abuse and 10 3
abuse as 1 1
abuse by 3 1
abuse of 2 5
abuse with 1 1
academy of 10 2
acc no 3 2
accept the 3 2
acceptable in 3 2
access at 2 1
access to 31 49
accompanied by 2 2
according to 440 36
account and 2 2
account for 2 14
account of 6 18
account the 2 3
accountability and 4 10
accountability office 2 5
accountability to 1 1
accountable for 1 1
accounting for 10 8
accounts and 5 2
accounts for 1 6
accounts of 6 4
accuracy across 1 1
accuracy in 1 1
accuracy of 2 1
accurate and 1 5
accusations against 2 1
accused in 4 1
accused of 92 19
accustomed to 1 3
achilles heel 1 1
acknowledged that 3 1
acknowledged the 2 1
acknowledging this 1 1
aclu and 6 3
aclu of 6 4
across borders 2 1
across ranks 1 1
across state 6 1
across the 84 32
across two 1 2
act and 2 6
act as 2 4
act in 3 5
act of 15 35
act on 1 2
act or 2 1
act was 2 1
act which 2 1
act with 1 1
acted in 1 1
acting director 1 1
action as 3 1
action at 4 2
action in 10 2
action is 2 1
action plan 1 1
action the 1 3
action to 7 3
action was 4 2
action with 2 1
actions and 2 1
actions are 1 2
actions in 3 2
actions including 2 2
actions of 3 2
actions that 3 5
actions will 3 2
active in 1 2
active or 1 1
activism and 1 1
activist david 2 1
activists have 2 3
activists who 3 2
activities in 1 1
activities of 2 2
activities that 6 1
activity and 3 6
activity by 1 1
activity he 1 1
activity in 4 4
activity is 2 2
actors and 1 1
acts and 2 1
acts may 1 1
acts of 19 5
acts often 2 1
acts such 3 1
actually be 2 2
actually being 3 1
actually resulted 1 1
adapting to 1 1
added a 2 3
added as 2 1
added in 2 1
added that 25 2
added to 4 1
added were 1 1
adding that 14 1
addition there 1 3
addition this 2 1
addition to 24 29
additional police 2 1
additionally the 2 2
address a 6 2
address the 12 8
addressed the 3 2
addresses the 1 3
adequate resources 2 1
adherence to 1 4
adjustments and 2 1
administration and 4 4
administration could 3 1
administration has 7 1
administration is 6 3
administration of 1 1
administration s 8 5
administration that 1 2
administration the 9 3
administration to 8 1
administration would 2 2
administrative investigation 1 1
admission of 3 1
admitted that 1 1
admitted to 11 1
adopted and 4 1
adults to 4 1
advance their 1 1
advanced technology 2 1
advanced you 1 1
advancement project 6 1
advantage of 5 9
advised to 2 1
advocate for 1 5
advocates and 4 3
advocates for 6 1
advocates have 2 1
advocates in 3 1
advocates say 8 1
advocating for 2 5
affair one 1 1
affected by 7 9
affected in 1 3
affected neighborhoods 1 1
affected the 1 1
affects the 3 2
affiliated with 4 5
afford the 1 1
afford to 1 1
affordable housing 2 65
afl cio 2 1
afraid to 1 1
african american 20 84
african americans 34 106
after a 42 12
after an 3 2
after another 9 1
after finding 2 1
after firing 1 1
after getting 2 1
after he 22 2
after his 16 2
after it 6 2
after p 6 1
after police 4 2
after predecessor 1 1
after president 5 2
after reviewing 1 3
after short 1 1
after some 2 1
after taking 1 1
after that 4 4
after the 111 48
after they 8 2
after three 1 2
aftermath of 3 5
again and 6 2
again in 1 1
again it 1 1
again the 5 5
again there 1 1
again with 1 1
against a 10 4
against african 4 1
against and 3 1
against blacks 5 2
against creating 2 1
against each 2 1
against federal 4 2
against her 5 2
against individuals 1 1
against lgbt 2 1
against muslims 17 6
against officers 1 2
against people 3 1
against the 65 27
against their 2 1
against them 9 1
against white 3 1
age of 8 14
age old 1 1
age to 2 1
agencies across 1 2
agencies and 17 11
agencies are 3 11
agencies from 1 4
agencies have 1 11
agencies in 15 4
agencies including 1 2
agencies not 6 1
agencies that 2 7
agencies to 10 15
agencies will 2 16
agencies work 2 1
agency and 2 5
agency in 2 5
agency is 2 9
agency july 2 1
agency llc 3 2
agency may 1 3
agency of 1 3
agency or 1 2
agency s 13 25
agency to 3 12
agency whose 1 1
agent and 2 1
agent s 1 1
agents and 1 1
agents in 16 2
aggravated assault 11 1
aggravated assaults 45 1
aggressive and 2 1
aggressive stance 1 2
ago the 2 1
ago unfortunately 1 1
agree to 2 2
agree with 1 1
agreement that 1 1
agreement to 1 2
agreement with 3 6
ahead of 8 1
aid in 2 3
aid to 4 1
aimed at 7 19
aiming to 1 2
aims to 14 4
air force 6 1
air quality 1 6
air the 3 1
alameda county 2 4
alarm and 1 1
alcohol and 1 1
alert was 10 1
alexander s 3 1
alicia a 3 1
aliens could 3 1
all about 4 1
all and 1 2
all are 2 2
all aspects 1 4
all available 1 3
all black 1 1
all day 2 1
all done 1 1
all federal 2 1
all have 8 2
all i 2 1
all in 1 8
all names 2 1
all of 42 35
all other 7 5
all our 5 1
all over 8 2
all rights 490 17
all sides 1 1
all sorts 1 1
all started 1 1
all strategies 4 2
all the 36 18
all these 4 1
all three 5 3
all your 1 1
allegations are 3 1
allegations of 26 5
alleged a 1 1
alleged in 3 3
alleged incident 6 1
alleged that 6 7
allegedly because 1 1
allegedly carried 1 1
allegedly offered 1 1
allegedly trying 3 1
allegedly walked 1 1
alleges that 11 1
alleging that 3 4
alleging the 1 1
allocation of 2 4
allow federal 3 1
allow him 2 1
allow the 4 8
allow them 2 4
allowed for 3 7
allowed to 12 5
allowing a 2 1
allowing officers 10 2
allowing the 1 5
allows agencies 6 1
allows the 5 4
almost certainly 4 1
almost every 1 3
alone in 1 1
along a 3 3
along the 3 2
along with 23 20
already been 5 3
already in 19 2
also a 6 7
also affects 2 1
also allowed 1 1
also announced 7 1
also are 2 1
also as 1 2
also at 3 1
also be 47 24
also been 12 19
also behind 1 1
also come 1 1
also contributed 2 1
also create 2 1
also created 2 5
also encourage 2 1
also found 18 4
also generate 1 2
also getting 1 1
also given 2 2
also had 1 2
also has 7 11
also have 13 7
also help 1 4
also identify 1 1
also improve 3 1
also in 2 11
also include 2 2
also is 4 7
also joined 3 2
also known 24 7
also made 1 4
also means 3 1
also must 5 1
also noted 1 2
also offered 1 1
also on 3 1
also point 2 1
also recently 2 1
also recognized 2 1
also require 1 1
also required 1 1
also said 34 1
also set 1 1
also spoke 3 4
also taken 3 1
also the 5 5
also to 1 11
also transformed 2 2
also turned 1 1
also understanding 1 1
also used 1 2
also was 12 1
also were 6 1
also will 3 2
alternative to 1 7
alternatives to 1 1
although a 1 5
although not 1 2
although the 10 21
although there 3 4
always be 6 5
always been 9 5
always succeed 1 1
am cautiously 1 1
am gmt 4 1
amendment challenge 2 1
amendments in 1 1
amendments to 2 1
america in 1 1
america s 6 15
american and 2 14
american bar 2 2
american born 4 1
american citizens 8 1
american civil 7 7
american communities 1 10
american community 13 1
american crime 6 2
american man 10 4
american men 4 8
american society 1 6
americans and 1 32
americans are 4 8
americans do 4 2
americans have 1 2
americans in 4 6
americans the 7 5
americans were 2 3
americans who 2 1
among minority 4 1
among other 6 17
among others 1 1
among some 2 2
among the 28 24
among them 8 1
among those 7 3
amount of 13 22
amounts of 4 10
an account 2 4
an accurate 2 4
an act 3 3
an active 4 1
an activist 5 1
an actual 1 1
an additional 8 2
an address 2 1
an adequate 1 1
an administrative 3 3
an african 11 3
an age 1 1
an agent 4 4
an agreement 3 1
an alien 1 3
an alternative 1 19
an analysis 6 11
an annual 7 2
an anonymous 4 3
an answer 1 1
an anti 4 1
an apparent 2 1
an appeal 1 1
an area 4 6
an argument 9 1
an arrest 33 5
an assault 6 1
an atmosphere 1 1
an attack 2 1
an attempt 17 1
an attorney 15 1
an automatic 6 1
an average 4 1
an award 5 2
an earlier 5 3
an early 3 8
an easy 3 2
an editor 1 2
an effort 11 11
an elderly 1 1
an electronic 4 2
an element 1 1
an email 9 1
an emergency 1 2
an emphasis 3 2
an employee 1 4
an end 3 3
an enthusiastic 1 1
an environment 2 3
an era 2 5
an error 1 7
an estimated 6 1
an even 2 5
an event 7 2
an examination 1 1
an excellent 1 3
an exception 1 1
an executive 7 4
an expert 2 2
an extensive 1 6
an extreme 2 1
an ideal 1 2
an illegal 5 1
an image 2 1
an immediate 4 2
an immigration 13 1
an important 10 17
an impoverished 1 1
an improvement 3 1
an incident 1 3
an increase 28 3
an increased 1 1
an increasing 9 3
an independent 6 5
an individual 6 21
an inflated 2 1
an inmate 2 1
an inside 1 1
an integral 5 2
an intense 1 1
an international 2 1
an interview 16 12
an investigation 18 3
