	of	documents
a	al	capone
a	alec	campbell
a	and	david
a	andrew	v
a	anthropologist	who
a	as	well
a	attacking	crime
a	b	cockpit
a	basic	police
a	basic	police
a	basketball	player
a	bayesian	analysis
a	berk	the
a	best	practice
a	best	practice
a	beta	version
a	beta	version
a	better	chance
a	better	word
a	better	word
a	bicyclist	and
a	big	brother
a	big	data
a	big	data
a	big	earthquake
a	big	spike
a	big	surprise
a	bigger	portion
a	bigger	portion
a	bit	of
a	bit	of
a	bit	of
a	blend	of
a	block	face
a	block	identified
a	blog	punditwire
a	blog	sometimes
a	body	of
a	body	of
a	body	of
a	bolder	model
a	book	on
a	boon	for
a	boon	for
a	boon	for
a	bottom	line
a	brief	but
a	briefing	the
a	briefing	the
a	briefing	the
a	broad	debate
a	broad	debate
a	broad	debate
a	broken	street
a	bunch	of
a	burglar	breaks
a	burglarized	residence
a	burglary	and
a	burglary	in
a	burglary	pattern
a	burglary	the
a	butler	creating
a	bystander	hit
a	c	faith
a	c	publication
a	california	firm
a	call	where
a	camera	or
a	camera	or
a	can	do
a	capacity	for
a	captain	which
a	car	and
a	car	and
a	car	associated
a	car	dashboard
a	car	theft
a	car	theft
a	carbon	copy
a	carbon	copy
a	career	library
a	caring	group
a	caring	group
a	case	and
a	case	and
a	case	back
a	case	back
a	case	by
a	case	is
a	case	is
a	case	later
a	case	later
a	case	may
a	case	may
a	case	our
a	case	our
a	causal	model
a	causal	model
a	century	for
a	century	of
a	century	they
a	certain	period
a	certain	result
a	challenge	using
a	champion	and
a	change	in
a	chat	with
a	checklist	approach
a	checklist	of
a	checklist	of
a	checklist	of
a	checklist	of
a	checklist	of
a	chi	analysis
a	chi	can
a	chi	for
a	chi	into
a	chi	to
a	chi	works
a	chi	would
a	chinese	restaurant
a	choice	would
a	citizen	call
a	citizen	croft
a	city	adrift
a	city	consultant
a	city	it
a	city	its
a	city	s
a	city	where
a	city	with
a	city	with
a	city	with
a	citywide	reduction
a	civil	lawsuit
a	civil	lawsuit
a	civil	lawsuit
a	clear	dialogue
a	clear	understanding
a	close	look
a	close	relationship
a	close	relationship
a	closer	look
a	cloud	based
a	cloud	based
a	cloud	based
a	cluster	of
a	coherent	new
a	coherent	strategy
a	colonial	town
a	combination	of
a	commissioner	s
a	commitment	to
a	common	currency
a	common	currency
a	common	currency
a	common	legal
a	common	rubric
a	commonly	used
a	community	news
a	community	news
