	of
a	al
a	alec
a	and
a	andrew
a	anthropologist
a	as
a	attacking
a	b
a	basic
a	basketball
a	bayesian
a	berk
a	best
a	beta
a	better
a	bicyclist
a	big
a	bigger
a	bit
a	blend
a	block
a	blog
a	body
a	bolder
a	book
a	boon
a	bottom
a	brief
a	briefing
a	broad
a	broken
a	bunch
a	burglar
a	burglarized
a	burglary
a	butler
a	bystander
a	c
a	california
a	call
a	camera
a	can
a	capacity
a	captain
a	car
a	carbon
a	career
a	caring
a	case
a	causal
a	century
a	certain
a	challenge
a	champion
a	change
a	chat
a	checklist
a	chi
a	chinese
a	choice
a	citizen
a	city
a	citywide
a	civil
a	clear
a	close
a	closer
a	cloud
a	cluster
a	coherent
a	colonial
a	combination
a	commissioner
a	commitment
a	common
a	commonly
a	community
a	company
a	comparison
a	compassionate
a	complete
a	complex
a	complicated
a	comprehensive
a	compstat
a	computer
a	concealed
a	concern
a	conclusion
a	confederate
a	conference
a	conservative
a	consistent
a	constable
a	constantly
a	consultant
a	consumer
a	contact
a	control
a	controlled
a	controversial
a	cookie
a	cordoned
a	core
a	correlation
a	corridor
a	cost
a	couple
a	court
a	creative
a	crime
a	criminal
a	critical
a	crossroads
a	crucial
a	culprit
a	cultural
a	culture
a	customer
a	daily
a	dallas
a	danger
a	dark
a	data
a	day
a	debate
a	decade
a	decision
a	decline
a	deep
a	definitive
a	degree
a	demand
a	department
a	departure
a	desktop
a	detailed
a	detection
a	detective
a	dialogic
a	difference
a	different
a	difficult
a	digital
a	direct
a	director
a	disaster
a	discretionary
a	discussion
a	disease
a	distinct
a	district
a	division
a	doctoral
a	domestic
a	door
a	double
a	downtown
a	downward
a	dozen
a	driving
a	drop
a	drug
a	dynamic
a	employee
a	evidence
a	facebook
a	fact
a	factor
a	failure
a	fair
a	falls
a	false
a	family
a	fantasy
a	far
a	federal
a	few
a	figure
a	financial
a	first
a	fleeting
a	flexible
a	flood
a	flu
a	football
a	force
a	forecast
a	forensic
a	former
a	formula
a	fourth
a	frantic
a	fraud
a	frequent
a	fully
a	functional
a	fundamental
a	further
a	general
a	generalizability
a	geographic
a	geologist
a	global
a	good
a	google
a	graduate
a	gray
a	great
a	greater
a	greatly
a	groping
a	growing
a	guide
a	gun
a	gunshot
a	gutenberg
a	gym
a	habit
a	half
a	hallmark
a	handed
a	handful
a	handout
a	harbinger
a	hardening
a	hefty
a	high
a	higher
a	hijacking
a	historian
a	hollywood
a	homeless
a	homicide
a	hour
a	house
a	huge
a	hurricane
a	inch
a	judge
a	jury
a	key
a	kind
a	knife
a	known
a	komro
a	lab
a	laboratory
a	lag
a	laid
a	language
a	laptop
a	large
a	largely
a	larger
a	later
a	lateral
a	law
a	lawrencew
a	lecture
a	legal
a	lehrman
a	length
a	lengthy
a	lesser
a	level
a	library
a	list
a	little
a	live
a	local
a	location
a	london
a	long
a	longer
a	longitudinal
a	longtime
a	look
a	loosely
a	lot
a	lytle
a	m
a	mac
a	magnus
a	main
a	major
a	majority
a	man
a	mandate
a	map
a	march
a	massachusetts
a	massive
a	master
a	match
a	mathematical
a	matter
a	meaningful
a	means
a	measure
a	member
a	mentally
a	message
a	method
a	metric
a	microblogging
a	milestone
a	mini
a	missed
a	mission
a	model
a	month
a	more
a	motivation
a	much
a	multiyear
a	munson
a	murder
a	myopic
a	myriad
a	nation
a	national
a	navigation
a	ncaa
a	necessary
a	need
a	net
a	network
a	new
a	newer
a	news
a	non
a	nondispatch
a	nonprofit
a	notable
a	novelist
a	one
a	or
a	part
a	particular
a	particularly
a	password
a	path
a	patrol
a	pattern
a	per
a	percent
a	person
a	personal
a	ph
a	phd
a	phenomenon
a	photo
a	pilot
a	pioneering
a	place
a	plan
a	plot
a	point
a	police
a	policing
a	policy
a	politically
a	politicized
a	pop
a	population
a	position
a	positive
a	possible
a	potential
a	pp
a	practical
a	practice
a	precinct
a	predictable
a	prediction
a	predictive
a	predpol
a	preliminary
a	presentation
a	press
a	pretty
a	previous
a	primary
a	prime
a	priority
a	probabilistic
a	problem
a	process
a	profession
a	professional
a	professor
a	profit
a	projection
a	proposed
a	proprietary
a	prosecutor
a	prospective
a	provision
a	public
a	question
a	quicker
a	r
a	racially
a	radical
a	random
a	randomized
a	range
a	rape
a	rapid
a	rapidly
a	rash
a	raw
a	reasonable
a	rebirth
a	receipt
a	recent
a	reduction
a	reflection
a	regular
a	relatively
a	reliable
a	remarkable
a	remarkably
a	report
a	requirement
a	research
a	residential
a	resource
a	result
a	review
a	revolution
a	revolutionary
a	reward
a	rise
a	risk
a	robbery
a	roller
a	room
a	roth
a	routine
a	row
a	rule
a	run
a	rush
a	sacred
a	safe
a	safer
a	safety
a	sales
a	sample
a	santa
a	scientific
a	scientifically
a	scientist
a	seattle
a	second
a	segment
a	selection
a	self
a	semiliterate
a	senior
a	sense
a	sergeant
a	serial
a	series
a	serious
a	service
a	session
a	setting
a	sex
a	sharper
a	shooting
a	shoplifting
a	short
a	signed
a	significant
a	similar
a	simple
a	single
a	site
a	six
a	slight
a	small
a	snapshot
a	social
a	society
a	software
a	solid
a	solution
a	sort
a	spate
a	spatial
a	special
a	specific
a	spike
a	splash
a	spokesman
a	stabbing
a	standard
a	standardized
a	standardizing
a	standing
a	starting
a	state
a	statement
a	statistical
a	statistically
a	statistics
a	staunch
a	steady
a	storm
a	strategic
a	strategy
a	stream
a	street
a	strict
a	stroll
a	strong
a	stronger
a	student
a	study
a	subset
a	substantial
a	substantive
a	substitute
a	success
a	successful
a	summary
a	summer
a	supercomputer
a	supervising
a	support
a	survey
a	suspect
a	suspected
a	suspicious
a	sword
a	system
a	systematic
a	systems
a	tactical
a	target
a	targeted
a	targeting
a	task
a	team
a	tennis
a	term
a	test
a	theoretical
a	theory
a	thermometer
a	they
a	thief
a	threat
a	three
a	time
a	timely
a	tiny
a	tip
a	tipping
a	tool
a	toolbar
a	top
a	total
a	tourist
a	town
a	track
a	training
a	transformation
a	transition
a	treasure
a	tree
a	trial
a	triangle
a	tweet
a	two
a	type
a	typical
a	u
a	ucla
a	ucsc
a	uk
a	unique
a	university
a	use
a	valid
a	variety
a	vast
a	vellum
a	very
a	viable
a	vice
a	victim
a	video
a	volunteer
a	wanted
a	warrant
a	washington
a	way
a	weapon
a	week
a	weibo
a	weight
a	weighting
a	westside
a	what
a	where
a	whole
a	wide
a	wider
a	wikipedia
a	witness
a	woman
a	word
a	workforce
a	working
a	wyckoff
a	year
a	zone
aaron	j
abandon	at
abandoning	another
abated	with
abates	with
ability	to
able	to
aboriginal	offenders
abound	they
about	a
about	almost
about	americans
about	an
about	another
about	any
about	are
about	arrests
about	being
about	between
about	big
about	charging
about	co
about	committed
about	correlation
about	crime
about	criminal
about	customer
about	dangerous
about	data
about	digging
about	dna
about	domestic
about	drugs
about	each
about	eight
about	everything
about	evidence
about	five
about	flu
about	future
about	h
about	half
about	hard
about	high
about	himself
about	hot
about	how
about	human
about	in
about	legality
about	legitimacy
about	likes
about	lincoln
about	local
about	locations
about	matters
about	me
about	months
about	more
about	new
about	numbers
about	of
about	officers
about	one
about	our
about	percent
about	police
about	pop
about	predicting
about	predictive
about	privacy
about	producing
about	public
about	questions
about	randomized
about	rebuilding
about	reducing
about	reported
about	response
about	sensor
about	serious
about	similar
about	six
about	snooping
about	solvability
about	state
about	statistical
about	targeting
about	testing
about	that
about	the
about	their
about	them
about	these
about	this
about	those
about	three
about	to
about	two
about	us
about	ways
about	what
about	when
about	where
about	whether
about	which
above	a
above	could
above	earth
above	except
above	support
above	that
above	the
abraham	lincoln
abraham	n
absence	of
absent	domestic
absent	offenders
absent	suspect
