	of
a	al
a	alec
a	and
a	andrew
a	anthropologist
a	as
a	attacking
a	b
a	basic
a	basic
a	basketball
a	bayesian
a	berk
a	best
a	best
a	beta
a	beta
a	better
a	better
a	better
a	bicyclist
a	big
a	big
a	big
a	big
a	big
a	big
a	bigger
a	bigger
a	bit
a	bit
a	bit
a	blend
a	block
a	block
a	blog
a	blog
a	body
a	body
a	body
a	bolder
a	book
a	boon
a	boon
a	boon
a	bottom
a	brief
a	briefing
a	briefing
a	briefing
a	broad
a	broad
a	broad
a	broken
a	bunch
a	burglar
a	burglarized
a	burglary
a	burglary
a	burglary
a	burglary
a	butler
a	bystander
a	c
a	c
a	california
a	call
a	camera
a	camera
a	can
a	capacity
a	captain
a	car
a	car
a	car
a	car
a	car
a	car
a	carbon
a	carbon
a	career
a	caring
a	caring
a	case
a	case
a	case
a	case
a	case
a	case
a	case
a	case
a	case
a	case
a	case
a	case
a	case
a	causal
a	causal
a	century
a	century
a	century
a	certain
a	certain
a	challenge
a	champion
a	change
a	chat
a	checklist
a	checklist
a	checklist
a	checklist
a	checklist
a	checklist
a	chi
a	chi
a	chi
a	chi
a	chi
a	chi
a	chi
a	chinese
a	choice
a	citizen
a	citizen
a	city
a	city
a	city
a	city
a	city
a	city
a	city
a	city
a	city
a	citywide
a	civil
a	civil
a	civil
a	clear
a	clear
a	close
a	close
a	close
a	closer
a	cloud
a	cloud
a	cloud
a	cluster
a	coherent
a	coherent
a	colonial
a	combination
a	commissioner
a	commitment
a	common
a	common
a	common
a	common
a	common
a	commonly
a	community
a	community
a	community
a	community
a	community
a	community
a	company
a	company
a	company
a	company
a	company
a	company
a	comparison
a	comparison
a	comparison
a	compassionate
a	complete
a	complex
a	complex
a	complex
a	complicated
a	comprehensive
a	compstat
a	computer
a	computer
a	computer
a	computer
a	computer
a	computer
a	concealed
a	concern
a	conclusion
a	conclusion
a	confederate
a	conference
a	conservative
a	consistent
a	constable
a	constantly
a	consultant
a	consumer
a	contact
a	control
a	control
a	control
a	control
a	control
a	controlled
a	controlled
a	controversial
a	cookie
a	cordoned
a	core
a	correlation
a	correlation
a	corridor
a	cost
a	couple
a	couple
a	couple
a	court
a	creative
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	criminal
a	criminal
a	criminal
a	criminal
a	critical
a	critical
a	critical
a	crossroads
a	crucial
a	crucial
a	culprit
a	cultural
a	culture
a	culture
a	customer
a	daily
a	dallas
a	dallas
a	dallas
a	dallas
a	danger
a	dark
a	data
a	data
a	data
a	day
a	day
a	day
a	day
a	day
a	day
a	day
a	debate
a	decade
a	decade
a	decade
a	decade
a	decade
a	decade
a	decade
a	decision
a	decision
a	decision
a	decline
a	decline
a	deep
a	definitive
a	degree
a	demand
a	department
a	department
a	departure
a	desktop
a	desktop
a	desktop
a	detailed
a	detailed
a	detection
a	detective
a	dialogic
a	difference
a	difference
a	difference
a	different
a	different
a	difficult
a	digital
a	digital
a	digital
a	digital
a	digital
a	digital
a	digital
a	direct
a	direct
a	direct
a	director
a	disaster
a	disaster
a	disaster
a	disaster
a	discretionary
a	discussion
a	discussion
a	discussion
a	disease
a	distinct
a	district
a	district
a	division
a	doctoral
a	domestic
a	door
a	double
a	downtown
a	downtown
a	downward
a	dozen
a	dozen
a	driving
a	drop
a	drop
a	drug
a	dynamic
a	dynamic
a	employee
a	evidence
a	facebook
a	facebook
a	fact
a	factor
a	factor
a	failure
a	fair
a	fair
a	fair
a	falls
a	false
a	family
a	family
a	fantasy
a	far
a	far
a	far
a	far
a	federal
a	federal
a	few
a	few
a	few
a	few
a	few
a	few
a	few
a	few
a	few
a	few
a	few
a	few
a	few
a	few
a	few
a	figure
a	financial
a	first
a	first
a	fleeting
a	fleeting
a	flexible
a	flood
a	flu
a	flu
a	football
a	force
a	forecast
a	forecast
a	forecast
a	forecast
a	forecast
a	forensic
a	forensic
a	former
a	former
a	former
a	former
a	former
a	former
a	former
a	former
a	formula
a	fourth
a	fourth
a	frantic
a	fraud
a	fraud
a	frequent
a	fully
a	functional
a	functional
a	fundamental
a	fundamental
a	fundamental
a	further
a	further
a	general
a	generalizability
a	geographic
a	geographic
a	geologist
a	global
a	global
a	global
a	good
a	good
a	good
a	good
a	good
a	google
a	google
a	google
a	graduate
a	graduate
a	gray
a	great
a	great
a	great
a	great
a	great
a	greater
a	greater
a	greatly
a	groping
a	growing
a	growing
a	guide
a	guide
a	gun
a	gun
a	gun
a	gun
a	gun
a	gun
a	gunshot
a	gunshot
a	gutenberg
a	gym
a	habit
a	habit
a	half
a	half
a	hallmark
a	hallmark
a	handed
a	handed
a	handed
a	handful
a	handful
a	handout
a	harbinger
a	hardening
a	hefty
a	hefty
a	high
a	high
a	high
a	high
a	high
a	high
a	high
a	high
a	high
a	higher
a	higher
a	higher
a	higher
a	hijacking
a	historian
a	hollywood
a	homeless
a	homicide
a	homicide
a	homicide
a	homicide
a	homicide
a	homicide
a	homicide
a	homicide
a	homicide
a	homicide
a	homicide
a	homicide
a	hour
a	house
a	house
a	huge
a	huge
a	hurricane
a	inch
a	judge
a	judge
a	jury
a	jury
a	key
a	key
a	key
a	key
a	key
a	kind
a	kind
a	knife
a	known
a	known
a	komro
a	lab
a	laboratory
a	laboratory
a	laboratory
a	lag
a	laid
a	language
a	language
a	laptop
a	large
a	large
a	large
a	large
a	large
a	largely
a	largely
a	largely
a	larger
a	later
a	later
a	later
a	later
a	lateral
a	law
a	law
a	lawrencew
a	lecture
a	legal
a	lehrman
a	lehrman
a	length
a	lengthy
a	lengthy
a	lengthy
a	lengthy
a	lesser
a	level
a	library
a	library
a	library
a	list
a	list
a	list
a	list
a	little
a	live
a	local
a	local
a	local
a	location
a	london
a	long
a	long
a	long
a	longer
a	longer
a	longitudinal
a	longtime
a	longtime
a	longtime
a	longtime
a	look
a	loosely
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lytle
a	m
a	m
a	mac
a	mac
a	mac
a	magnus
a	magnus
a	main
a	major
a	major
a	major
a	major
a	major
a	major
a	major
a	major
a	major
a	major
a	major
a	major
a	major
a	major
a	majority
a	man
a	man
a	man
a	man
a	man
a	man
a	man
a	mandate
a	map
a	map
a	map
a	map
a	map
a	map
a	map
a	map
a	march
a	march
a	march
a	massachusetts
a	massive
a	master
a	master
a	match
a	match
a	mathematical
a	mathematical
a	matter
a	matter
a	matter
a	meaningful
a	means
a	means
a	measure
a	member
a	member
a	member
a	mentally
a	message
a	message
a	message
a	method
a	method
a	method
a	metric
a	microblogging
a	microblogging
a	milestone
a	mini
a	missed
a	mission
a	mission
a	model
a	model
a	month
a	more
a	more
a	more
a	more
a	more
a	more
a	more
a	more
a	more
a	more
a	more
a	more
a	motivation
a	motivation
a	much
a	much
a	much
a	much
a	much
a	multiyear
a	munson
a	murder
a	murder
a	myopic
a	myriad
a	myriad
a	nation
a	national
a	national
a	national
a	national
a	navigation
a	ncaa
a	necessary
a	need
a	net
a	network
a	network
a	network
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	newer
a	news
a	non
a	non
a	nondispatch
a	nonprofit
