american,police,agencies,1,18,18
of,police,organizations,1,17,17
the,police,organization,1,14,14
community,policing,in,1,10,10
of,the,organization,1,10,10
the,structure,of,1,10,10
analyst,for,the,1,9,9
crime,analyst,for,1,8,8
of,police,in,1,8,8
the,organization,s,1,8,8
community,and,problem,1,7,7
department,s,crime,1,7,7
the,rank,and,1,7,7
stephen,d,mastrofski,2,13,6.5
the,nation,s,2,13,6.5
and,home,burglaries,1,6,6
aspects,of,police,1,6,6
car,and,home,1,6,6
crime,data,from,1,6,6
dc,national,institute,2,12,6
eight,years,of,1,6,6
first,in,the,1,6,6
i,think,the,1,6,6
more,or,less,1,6,6
of,police,work,1,6,6
policing,in,an,1,6,6
the,community,policing,1,6,6
the,nation,to,1,6,6
willis,mastrofski,and,1,6,6
in,community,policing,2,11,5.5
a,host,of,1,5,5
and,social,science,1,5,5
as,the,city,1,5,5
but,rather,to,1,5,5
cambridge,ma,mit,1,5,5
features,of,the,1,5,5
have,argued,that,1,5,5
in,encyclopedia,of,1,5,5
in,the,los,1,5,5
ma,mit,press,1,5,5
of,officers,to,1,5,5
of,state,and,1,5,5
organization,edited,by,1,5,5
police,and,the,1,5,5
police,practice,and,1,5,5
practice,and,research,1,5,5
the,challenges,of,1,5,5
the,new,system,1,5,5
the,program,was,1,5,5
varieties,of,police,1,5,5
with,or,more,1,5,5
state,and,local,3,14,4.666666667
a,laptop,computer,1,4,4
a,neighborhood,so,1,4,4
a,parked,car,1,4,4
about,the,project,1,4,4
after,a,crime,1,4,4
although,there,are,1,4,4
and,a,police,1,4,4
and,he,is,1,4,4
and,how,they,1,4,4
and,local,police,1,4,4
and,problem,oriented,2,8,4
association,of,chiefs,1,4,4
at,p,m,1,4,4
by,maurice,punch,1,4,4
community,policing,era,1,4,4
cruz,santa,cruz,1,4,4
d,mastrofski,and,1,4,4
data,could,help,1,4,4
date,and,location,1,4,4
david,weisburd,and,2,8,4
edited,by,maurice,1,4,4
fear,of,crime,1,4,4
friend,a,crime,1,4,4
from,a,home,1,4,4
goal,is,not,1,4,4
happen,in,the,1,4,4
he,wants,to,1,4,4
in,a,parked,1,4,4
in,control,in,1,4,4
in,the,coming,1,4,4
international,association,of,1,4,4
is,more,crime,1,4,4
it,s,an,1,4,4
justice,http,www,1,4,4
laptop,computer,in,1,4,4
late,twentieth,century,1,4,4
locations,and,times,1,4,4
long,time,periods,1,4,4
maurice,punch,cambridge,1,4,4
might,not,be,1,4,4
national,research,council,1,4,4
