	of	documents
a	bachelor	s
a	back	room
a	bag	of
a	better	batting
a	big	advance
a	big	advance
a	big	honor
a	big	honor
a	burglary	friend
a	car	burglary
a	car	burglary
a	car	burglary
a	car	burglary
a	certain	type
a	certain	type
a	chief	of
a	column	national
a	commander	issuing
a	community	matt
a	computer	analyst
a	computer	program
a	computer	program
a	computer	program
a	contract	city
a	crew	of
a	crime	analyst
a	crime	analyst
a	crime	analyst
a	crime	analyst
a	crime	analyst
a	crime	analyst
a	crime	and
a	crime	and
a	crime	byline
a	crime	dolan
a	crime	fighting
a	crime	fighting
a	crime	in
a	crime	in
a	crime	in
a	crime	in
a	crime	is
a	crime	map
a	crime	s
a	crime	than
a	crime	than
a	crime	unit
a	criminologist	george
a	criminologist	george
a	decrease	in
a	decrease	in
a	deterrent	effect
a	deterrent	effect
a	doctorate	at
a	doctorate	at
a	doctorate	at
a	doctorate	at
a	dot	just
a	downtown	parking
a	downtown	parking
a	dynamic	tool
a	dynamic	tool
a	family	of
a	few	blocks
a	few	minutes
a	few	officers
a	fire	chief
a	focus	on
a	focus	on
a	full	analysis
a	full	analysis
a	full	report
a	fuss	unless
a	fuss	unless
a	given	neighborhood
a	given	neighborhood
a	group	of
a	group	of
a	handful	of
a	heady	mix
a	heady	mix
a	high	correlation
a	high	correlation
a	home	or
a	home	or
a	home	or
a	home	or
a	home	when
a	home	when
a	home	when
a	home	when
a	hurricane	also
a	lake	arrowhead
a	laptop	computer
a	laptop	computer
a	laptop	computer
a	laptop	computer
a	large	reduction
a	large	reduction
a	length	words
a	list	of
a	list	of
a	little	math
a	little	math
a	location	flagged
a	lot	less
a	lot	less
a	lot	more
a	lot	of
a	lot	of
a	lot	of
a	lot	of
a	lot	of
a	map	from
a	map	from
a	map	of
a	matter	of
a	matter	of
a	mile	off
a	more	effective
a	more	effective
a	national	movement
a	national	movement
a	natural	outgrowth
a	natural	outgrowth
a	neighborhood	so
a	neighborhood	so
a	neighborhood	so
a	neighborhood	so
a	new	computer
a	new	focus
a	new	focus
a	new	sheriff
a	new	statistical
a	new	statistical
a	new	statistical
a	new	statistical
a	parked	car
a	parked	car
a	parked	car
a	parked	car
a	patrol	car
a	pattern	emerges
a	percent	decrease
a	person	returns
a	person	returns
a	person	returns
a	person	returns
a	person	sees
a	person	sees
a	person	sees
a	person	sees
a	place	where
a	point	to
a	point	to
a	police	department
a	police	intelligence
a	police	officer
a	police	officer
a	police	officer
a	police	officer
a	prediction	helps
a	predictive	analytics
a	predictive	analytics
a	predictive	element
a	problem	we
a	problem	we
a	professor	at
a	professor	at
a	project	that
a	project	that
a	prolific	burglar
a	quick	thinker
a	rancho	cucamonga
a	rash	of
a	rash	of
a	reality	that
a	reality	that
a	reality	we
a	reality	we
a	robbery	probably
a	santa	clara
a	second	floor
a	sheet	of
a	situation	where
a	situation	where
a	sizable	earthquake
a	sizable	earthquake
a	slim	guy
a	slim	guy
a	stack	of
a	station	already
a	station	with
a	stop	to
a	street	is
a	street	is
a	string	of
a	success	friend
a	success	the
a	team	of
a	team	of
a	team	studying
a	team	studying
a	test	run
a	time	when
a	time	when
a	time	when
a	time	when
a	valley	of
a	valley	of
a	way	that
a	way	that
a	way	that
a	way	that
a	year	old
a	year	old
a	year	old
a	year	old
a	young	spiky
abc	world	news
abc	world	news
ability	to	accumulate
able	to	determine
able	to	determine
about	arrests	but
about	how	his
about	how	his
about	implementing	it
about	implementing	it
about	past	crimes
about	places	and
about	places	and
about	places	and
about	places	and
about	predictive	policing
about	predictive	policing
about	predictive	policing
about	predictive	policing
about	the	content
about	the	content
about	the	predictive
about	the	predictive
about	the	project
about	the	project
about	the	project
about	the	project
about	using	the
about	using	the
about	which	areas
about	which	areas
absolutely	made	this
abstract	the	police
academic	papers	conference
academic	papers	conference
academics	he	determined
academics	he	determined
acc	no	qc
acc	no	qc
acc	no	qc
acc	no	qc
accolade	the	program
accolade	the	program
accolades	than	we
accolades	than	we
accumulate	deep	databases
accurate	as	we
accurate	as	we
accurate	the	program
accurate	the	program
accurately	predicted	the
accustomed	to	it
across	the	city
act	as	the
action	hughes	who
actual	reduction	said
actual	reduction	said
added	each	day
added	each	day
added	new	responsibilities
added	now	if
added	now	if
added	police	presence
added	that	officers
added	to	that
added	we	don
added	we	don
added	we	don
added	we	don
adding	that	the
addition	to	burglaries
adds	a	predictive
adds	before	crime
adds	before	crime
administration	during	newcombe
administrative	lieutenant	mayor
advance	for	policing
advance	for	policing
advanced	software	or
advantage	of	it
advantage	of	it
advantage	of	it
advantage	of	it
after	a	crime
after	a	crime
after	a	crime
after	a	crime
after	all	it
after	all	it
after	an	earthquake
after	an	earthquake
after	crimes	following
after	crimes	following
after	leading	city
after	reading	news
after	reading	news
after	reading	news
after	reading	news
after	six	months
after	six	months
after	the	data
after	the	first
after	the	first
after	they	were
after	they	were
after	two	or
afternoon	in	july
afternoon	in	july
afternoon	swing	shift
aftershock	after	an
aftershock	after	an
aftershock	model	to
aftershock	model	to
aftershocks	and	it
aftershocks	and	it
aftershocks	from	earthquakes
aftershocks	from	earthquakes
aftershocks	will	be
again	which	have
again	which	have
agencies	around	the
agencies	around	the
agencies	around	the
agencies	around	the
agencies	mr	dickson
agencies	mr	dickson
agencies	throughout	the
agencies	throughout	the
agencies	to	implement
agency	in	the
agency	in	the
agency	in	the
agency	in	the
agency	or	agencies
agency	or	agencies
agency	says	it
agency	says	it
aggravated	assaults	the
ahead	of	the
ahead	of	the
aims	to	fight
akin	to	predicting
alcohol	compliance	team
alerts	it	would
alerts	it	would
algorithm	if	the
algorithm	to	predict
algorithms	has	been
algorithms	has	been
algorithms	he	read
algorithms	he	read
algorithms	or	formulas
algorithms	stir	up
algorithms	stir	up
algorithms	to	help
all	been	named
all	been	named
all	good	once
all	it	isn
all	it	isn
all	kinds	of
all	rights	reserved
all	rights	reserved
all	rights	reserved
all	rights	reserved
all	rights	reserved
all	rights	reserved
all	rights	reserved
all	rights	reserved
all	started	for
all	started	for
all	this	number
all	this	number
allen	what	we
allocate	resources	based
allocate	resources	based
along	lake	street
along	to	the
along	with	the
already	familiar	with
already	in	newsstands
already	made	successful
already	on	newsstands
already	paid	off
already	resulted	in
already	seen	a
also	bought	more
also	help	ease
also	help	ease
also	looking	into
also	looking	into
also	might	discuss
also	might	discuss
also	might	discuss
also	might	discuss
alter	the	nature
amelia	huffman	commander
among	officers	had
among	officers	had
among	others	being
among	others	being
among	police	agencies
among	the	top
among	the	top
an	administrative	lieutenant
an	aftershock	after
an	aftershock	after
