	of
a	bachelor
a	back
a	bag
a	better
a	big
a	big
a	big
a	big
a	burglary
a	car
a	car
a	car
a	car
a	certain
a	certain
a	chief
a	column
a	commander
a	community
a	computer
a	computer
a	computer
a	computer
a	contract
a	crew
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	criminologist
a	criminologist
a	decrease
a	decrease
a	deterrent
a	deterrent
a	doctorate
a	doctorate
a	doctorate
a	doctorate
a	dot
a	downtown
a	downtown
a	dynamic
a	dynamic
a	family
a	few
a	few
a	few
a	fire
a	focus
a	focus
a	full
a	full
a	full
a	fuss
a	fuss
a	given
a	given
a	group
a	group
a	handful
a	heady
a	heady
a	high
a	high
a	home
a	home
a	home
a	home
a	home
a	home
a	home
a	home
a	hurricane
a	lake
a	laptop
a	laptop
a	laptop
a	laptop
a	large
a	large
a	length
a	list
a	list
a	little
a	little
a	location
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	lot
a	map
a	map
a	map
a	matter
a	matter
a	mile
a	more
a	more
a	national
a	national
a	natural
a	natural
a	neighborhood
a	neighborhood
a	neighborhood
a	neighborhood
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	new
a	parked
a	parked
a	parked
a	parked
a	patrol
a	pattern
a	percent
a	person
a	person
a	person
a	person
a	person
a	person
a	person
a	person
a	place
a	point
a	point
a	police
a	police
a	police
a	police
a	police
a	police
a	prediction
a	predictive
a	predictive
a	predictive
a	problem
a	problem
a	professor
a	professor
a	project
a	project
a	prolific
a	quick
a	rancho
a	rash
a	rash
a	reality
a	reality
a	reality
a	reality
a	robbery
a	santa
a	second
a	sheet
a	situation
a	situation
a	sizable
a	sizable
a	slim
a	slim
a	stack
a	station
a	station
a	stop
a	street
a	street
a	string
a	success
a	success
a	team
a	team
a	team
a	team
a	test
a	time
a	time
a	time
a	time
a	valley
a	valley
a	way
a	way
a	way
a	way
a	year
a	year
a	year
a	year
a	young
abc	world
abc	world
ability	to
able	to
able	to
about	arrests
about	how
about	how
about	implementing
about	implementing
about	past
about	places
about	places
about	places
about	places
about	predictive
about	predictive
about	predictive
about	predictive
about	the
about	the
about	the
about	the
about	the
about	the
about	the
about	the
about	using
about	using
about	which
about	which
absolutely	made
abstract	the
academic	papers
academic	papers
academics	he
academics	he
acc	no
acc	no
acc	no
acc	no
accolade	the
accolade	the
accolades	than
accolades	than
accumulate	deep
accurate	as
accurate	as
accurate	the
accurate	the
accurately	predicted
accustomed	to
across	the
act	as
action	hughes
actual	reduction
actual	reduction
added	each
added	each
added	new
added	now
added	now
added	police
added	that
added	to
added	we
added	we
added	we
added	we
adding	that
addition	to
adds	a
adds	before
adds	before
administration	during
administrative	lieutenant
advance	for
advance	for
advanced	software
advantage	of
advantage	of
advantage	of
advantage	of
after	a
after	a
after	a
after	a
after	all
after	all
after	an
after	an
after	crimes
after	crimes
after	leading
after	reading
after	reading
after	reading
after	reading
after	six
after	six
after	the
after	the
after	the
after	they
after	they
after	two
afternoon	in
afternoon	in
afternoon	swing
aftershock	after
aftershock	after
aftershock	model
aftershock	model
aftershocks	and
aftershocks	and
aftershocks	from
aftershocks	from
aftershocks	will
again	which
again	which
agencies	around
agencies	around
agencies	around
agencies	around
agencies	mr
agencies	mr
agencies	throughout
agencies	throughout
agencies	to
agency	in
agency	in
agency	in
agency	in
agency	or
agency	or
agency	says
agency	says
aggravated	assaults
ahead	of
ahead	of
aims	to
akin	to
alcohol	compliance
alerts	it
alerts	it
algorithm	if
algorithm	to
algorithms	has
algorithms	has
algorithms	he
algorithms	he
algorithms	or
algorithms	stir
algorithms	stir
algorithms	to
all	been
all	been
all	good
all	it
all	it
all	kinds
all	rights
all	rights
all	rights
all	rights
all	rights
all	rights
all	rights
all	rights
all	started
all	started
all	this
all	this
allen	what
allocate	resources
allocate	resources
along	lake
along	to
along	with
already	familiar
already	in
already	made
already	on
already	paid
already	resulted
already	seen
also	bought
also	help
also	help
also	looking
also	looking
also	might
also	might
also	might
also	might
alter	the
amelia	huffman
among	officers
among	officers
among	others
among	others
among	police
among	the
among	the
an	administrative
an	aftershock
an	aftershock
an	alcohol
an	algorithm
an	anthropologist
an	anthropologist
an	applied
an	applied
an	applied
an	applied
an	area
an	area
an	assistant
an	average
an	earthquake
an	earthquake
an	earthquake
an	earthquake
an	earthquake
an	email
an	email
an	emerging
an	emerging
an	emerging
an	emerging
an	excellent
an	eye
an	impact
an	independent
an	initial
an	initial
an	internal
an	invaluable
an	invaluable
an	officer
an	officer
an	officer
an	officer
an	officer
an	opportunity
an	opportunity
an	opportunity
an	opportunity
an	outstanding
an	percent
an	unusual
an	unusual
analysis	of
analysis	of
analysis	the
analysis	unit
analysis	unit
analyst	compared
analyst	for
analyst	for
analyst	for
analyst	for
analyst	for
analyst	for
analyst	for
analyst	for
analyst	for
analyst	santa
analyst	santa
analyst	the
analyst	the
analyst	the
analysts	at
analysts	don
analysts	hughes
analysts	make
analysts	who
analytics	unit
analytics	unit
analyze	a
analyze	patterns
analyzed	by
analyzed	years
analyzing	and
analyzing	and
analyzing	data
and	a
and	a
and	a
and	a
and	a
and	a
and	aggravated
and	allocate
and	allocate
and	applied
and	applied
and	auto
and	bingo
and	bingo
and	both
and	both
and	burglars
and	burglars
and	burglars
and	burglars
and	car
and	car
and	charts
and	comparing
and	computer
and	crime
and	crime
and	cutting
and	decided
and	decided
and	detecting
and	detecting
and	devices
and	devices
and	duct
and	expanded
and	expect
and	friend
and	friend
and	gang
and	gave
and	gave
and	gave
and	gave
and	has
and	has
and	he
and	he
and	he
and	he
and	he
and	here
and	his
and	holographic
and	holographic
and	home
and	home
and	home
and	home
and	home
and	home
and	how
and	how
and	i
and	in
and	in
and	it
and	it
and	law
and	law
and	lead
and	level
and	lieutenants
and	location
and	location
and	location
and	location
and	location
and	long
and	long
and	long
and	long
and	long
and	long
and	long
and	long
and	looking
and	looking
and	lt
and	lt
and	many
and	martin
and	martin
and	more
and	more
and	more
and	motor
and	motor
and	new
and	newcombe
and	not
and	numerous
and	old
and	old
and	old
and	old
and	on
and	on
and	on
and	on
and	other
and	other
and	other
and	other
and	other
and	other
and	other
and	police
and	police
and	police
and	police
and	polymers
and	polymers
and	pondered
and	pondered
and	provided
and	provided
and	publishing
and	recurrence
and	recurrence
and	recurrence
and	recurrence
and	refine
and	regional
and	regional
and	regional
and	regional
and	reports
and	reports
and	runs
and	santa
and	santa
and	santa
and	santa
and	santa
and	santa
and	santa
and	say
and	shot
and	shot
and	since
and	since
and	sometimes
and	sought
and	sought
and	southwest
and	stolen
and	stolen
and	stolen
and	stolen
and	susan
and	tailor
and	tailor
and	tailor
and	tailor
and	take
and	take
and	take
and	take
and	technology
and	that
and	that
and	that
and	that
and	the
and	the
and	the
and	the
and	the
and	the
and	the
and	the
and	the
and	the
and	the
and	the
and	thefts
and	they
and	they
and	time
and	times
and	times
and	times
and	times
and	times
and	times
and	times
and	times
and	times
and	timing
and	took
and	try
and	try
and	try
and	try
and	two
and	unfortunately
and	unfortunately
and	updated
and	updated
and	use
and	vehicles
and	vehicles
and	vehicles
and	was
and	we
and	we
and	we
and	we
and	we
and	we
and	when
and	when
and	when
and	when
and	where
and	where
and	where
and	where
and	where
and	where
and	will
and	will
and	windows
and	windows
and	wondering
and	wondering
and	you
and	yucaipa
anecdote	that
angeles	and
angeles	and
angeles	and
angeles	and
angeles	and
angeles	and
angeles	and
angeles	and
angeles	and
angeles	are
angeles	based
angeles	captain
angeles	captain
angeles	department
angeles	department
angeles	is
angeles	is
angeles	mohler
angeles	mohler
angeles	police
angeles	police
angeles	police
angeles	police
angeles	times
angeles	times
angeles	times
angeles	times
angeles	to
annually	in
annually	other
annually	other
another	accolade
another	accolade
another	house
another	house
another	house
another	house
anthropologist	jeff
anthropologist	jeff
anthropologist	p
anticipate	crime
anticipate	that
anticipate	that
anticipate	that
anticipate	that
anticipate	when
anticipate	when
anticipated	customers
anticipating	a
any	degradation
any	given
anything	but
anything	but
anything	he
anytime	soon
anytime	soon
apple	s
apple	s
apple	valley
applied	mathematics
applied	mathematics
applied	mathematics
applied	mathematics
applied	statistics
applied	statistics
applied	to
applied	to
appreciation	that
appreciation	that
approach	mohler
approach	mohler
approached	customers
approached	mohler
approached	mohler
approached	mohler
approached	mohler
approaches	we
approaches	we
approximately	feet
approximately	feet
approximately	one
approximately	one
april	has
april	newcombe
are	added
are	also
are	also
are	apple
are	apple
are	asked
are	at
are	at
are	becoming
are	being
are	being
are	being
are	being
are	calibrated
are	calibrated
are	committed
are	committed
are	creatures
are	effective
are	faced
are	faced
are	given
are	given
are	given
are	giving
are	honored
are	honored
are	interested
are	interested
are	less
are	likely
are	likely
are	more
are	more
are	more
are	more
are	more
are	not
are	not
are	not
are	not
are	often
are	on
are	on
are	part
are	particularly
are	poised
are	poised
are	poised
are	poised
are	positive
are	recalibrated
are	recalibrated
are	stolen
are	taken
are	turning
are	under
are	working
area	aftershocks
area	aftershocks
area	friend
area	many
area	that
area	that
area	that
area	to
area	where
area	where
areas	and
areas	and
areas	are
areas	during
areas	during
areas	putting
areas	that
areas	there
areas	to
areas	where
areas	where
areas	where
areas	where
around	for
around	for
around	the
around	the
around	the
around	the
around	the
around	with
around	with
arrest	more
arrest	more
arrest	more
arrest	more
arrest	our
arrested	and
arrested	and
arrested	and
arrested	and
arrested	for
arrested	for
arrests	but
arrests	the
arrests	the
arrests	were
arrests	were
arrived	in
arrived	so
arrowhead	native
as	a
as	a
as	a
as	a
as	accurate
as	accurate
as	an
as	an
as	burglary
as	crimes
as	crimes
as	departments
as	departments
as	deputy
as	deviants
as	deviants
as	deviants
as	deviants
as	esp
as	exotic
as	far
as	for
as	he
as	he
as	homicide
as	hurricanes
as	it
as	likely
as	los
as	many
as	many
as	math
as	math
as	new
as	new
as	one
as	one
as	one
as	one
as	operations
as	opposed
as	part
as	predictive
as	predictive
as	students
as	the
as	the
as	the
as	the
as	the
as	the
as	the
as	the
as	the
as	the
as	the
as	they
as	wal
as	we
as	we
as	we
as	well
as	well
as	well
asked	people
asked	to
assaults	the
assistant	professor
assistant	professor
assistant	professor
assistant	professor
assistant	professor
assistant	professor
assistant	professor
assuming	the
assumption	is
assumption	is
at	a
at	a
at	a
at	a
at	a
at	a
at	a
at	a
at	a
at	customer
at	highest
at	highest
at	it
at	it
at	mcassidy
at	mcassidy
at	no
at	no
at	no
at	no
at	p
at	p
at	p
at	p
at	predicted
at	roll
at	roll
at	roll
at	santa
at	santa
at	santa
at	santa
at	santa
at	santa
at	santa
at	santa
at	the
at	the
at	the
at	the
at	the
at	the
at	the
at	the
at	the
at	the
at	the
at	the
at	the
at	the
at	the
at	these
at	these
at	twitter
at	twitter
at	uc
at	uc
at	ucla
at	ucla
at	ucla
at	ucla
at	wal
at	where
at	www
at	www
attempted	is
attempted	is
attention	from
attention	from
attention	his
attention	his
attracting	increasing
attracting	increasing
attracting	newspaper
attracting	newspaper
aug	after
aug	i
august	language
august	language
august	language
august	sunday
august	tuesday
august	wednesday
auto	theft
auto	theft
auto	thefts
auto	thefts
auto	thefts
available	the
available	the
average	of
average	than
away	many
away	many
away	plain
bachelor	s
back	in
back	room
backs	off
backs	off
backs	off
backs	off
bad	guys
bad	guys
bag	of
baptist	university
barbara	when
barbara	when
based	gangs
based	on
based	on
based	on
based	on
based	on
based	on
based	on
based	on
based	on
based	on
based	on
based	on
based	on
based	on
batting	average
baxter	santa
baxter	santa
baxter	santa
baxter	sbaxter
baxter	sbaxter
be	a
be	a
be	able
be	able
be	all
be	attempted
be	attempted
be	back
be	correlated
be	demonstrated
be	demonstrated
be	evaluated
be	evaluated
be	felt
be	first
be	first
be	for
be	for
be	hit
be	hit
be	honest
be	honest
be	intuitive
be	intuitive
be	intuitive
be	intuitive
be	leveraging
be	leveraging
be	months
be	months
be	only
be	only
be	our
be	our
be	picked
be	recognized
be	recognized
be	remarkable
be	safer
be	safer
be	so
be	so
be	the
be	the
be	the
be	the
be	the
be	to
be	tough
be	trying
be	tweaked
be	tweaked
be	used
be	used
be	used
be	where
beach	he
beach	he
beach	he
beach	he
beach	police
beach	police
beach	police
beach	police
became	the
became	the
because	analysts
because	as
because	he
because	it
because	they
because	they
because	they
because	they
become	more
becomes	more
becoming	more
been	a
been	around
been	around
been	attracting
been	attracting
been	better
been	better
been	directed
been	named
been	named
been	on
been	praised
been	praised
been	projected
been	promoted
been	quite
been	quite
been	statistically
been	to
been	using
been	using
before	crime
before	crime
before	each
before	each
before	each
before	each
before	santa
before	santa
before	the
before	the
before	there
began	searching
began	searching
began	testing
began	testing
began	using
begin	using
begin	using
beginning	for
beginning	for
begins	pointing
begun	in
begun	in
begun	in
behavior	byline
behavior	the
behind	earthquake
behind	earthquake
being	named
being	named
being	recognized
being	recognized
being	slashed
being	slashed
being	the
being	the
being	tried
being	tried
being	tried
being	tried
being	worked
being	worked
belief	that
belief	that
belief	that
belief	that
bernardino	a
bernardino	county
