	of
a	accident
a	and
a	armed
a	armstrong
a	bachelor
a	backpack
a	bad
a	baggie
a	bakery
a	ban
a	bank
a	bar
a	barbecue
a	battering
a	bb
a	bed
a	bedroom
a	bensch
a	better
a	bicycle
a	big
a	bike
a	black
a	bottle
a	bounce
a	boy
a	break
a	brief
a	budget
a	building
a	bullet
a	bunch
a	burglary
a	bus
a	business
a	by
a	call
a	car
a	case
a	certain
a	change
a	check
a	checking
a	chemical
a	chicago
a	child
a	church
a	cigar
a	city
a	claremont
a	clear
a	close
a	co
a	cocaine
a	code
a	coffee
a	coincidence
a	collective
a	collier
a	columnist
a	commercial
a	community
a	commuter
a	compact
a	completed
a	computer
a	concerted
a	confidential
a	confrontation
a	congressional
a	connecticut
a	controversial
a	convicted
a	corner
a	cost
a	county
a	cousin
a	credible
a	crime
a	criminal
a	crowded
a	culprit
a	curse
a	curved
a	damage
a	dangerous
a	dark
a	daucher
a	day
a	deadly
a	decade
a	decision
a	decorated
a	decrease
a	delay
a	deputy
a	description
a	devastating
a	different
a	disease
a	distinguished
a	diverse
a	division
a	dna
a	dodger
a	dodgers
a	dog
a	downtown
a	downward
a	dramatic
a	drop
a	drug
a	drunk
a	dublin
a	factor
a	faculty
a	fairly
a	fall
a	farley
a	fatal
a	feat
a	federal
a	felon
a	felony
a	few
a	fight
a	final
a	firearm
a	five
a	focus
a	former
a	forsyth
a	forum
a	four
a	fourth
a	fraud
a	free
a	freiberg
a	freight
a	friday
a	friend
a	front
a	full
a	gang
a	gangster
a	gas
a	general
a	generator
a	gessler
a	giants
a	girardi
a	girlfriend
a	glance
a	gold
a	good
a	goodly
a	gray
a	great
a	group
a	guest
a	gun
a	gunshot
a	half
a	hammer
a	handgun
a	handyman
a	hangout
a	happy
a	has
a	hate
a	hearing
a	heinous
a	heist
a	high
a	hispanic
a	history
a	hold
a	hollywood
a	home
a	hospital
a	host
a	house
a	human
a	hummer
a	is
a	jehovah
a	jesuit
a	jewelry
a	jewish
a	job
a	joint
a	judge
a	juvenile
a	key
a	kidnapping
a	killing
a	kohl
a	kressel
a	krinsky
a	lack
a	laconic
a	large
a	larger
a	latino
a	law
a	leader
a	legacy
a	legitimate
a	length
a	letter
a	license
a	life
a	live
a	loaded
a	local
a	location
a	long
a	look
a	looming
a	los
a	lot
a	low
a	luxury
a	m
a	major
a	male
a	man
a	maroon
a	mass
a	matter
a	maximum
a	may
a	measure
a	media
a	medical
a	medium
a	meeting
a	member
a	message
a	mexican
a	middle
a	minor
a	misdemeanor
a	mobile
a	model
a	modestly
a	moment
a	monopoly
a	monterey
a	moratorium
a	more
a	mostly
a	mother
a	motivation
a	movement
a	movie
a	much
a	municipality
a	murder
a	murderer
a	muslim
a	narcotics
a	national
a	nearby
a	necklace
a	neighbor
a	neighborhood
a	neubauer
a	new
a	no
a	noire
a	non
a	noose
a	north
a	norwalk
a	note
a	number
a	packed
a	palpitatingly
a	panel
a	pansky
a	park
a	parolee
a	part
a	party
a	pasadena
a	passerby
a	patel
a	paternity
a	patricia
a	peak
a	pellet
a	per
a	percent
a	perpetrator
a	person
a	pertussis
a	pg
a	phoenix
a	photo
a	picnic
a	place
a	plea
a	police
a	possibility
a	pot
a	potential
a	potluck
a	power
a	powerful
a	press
a	prestigious
a	priority
a	process
a	professor
a	proposed
a	prosecutor
a	protester
a	quartet
a	race
a	raid
a	rape
a	rapid
a	rare
a	reason
a	recent
a	record
a	red
a	reduced
a	reduction
a	regional
a	registered
a	regular
a	remorseful
a	replica
a	report
a	research
a	residence
a	resident
a	resounding
a	respected
a	result
a	resurgence
a	reward
a	rifle
a	rodney
a	role
a	routine
a	row
a	run
