	of	documents
a	a	therapeutic
a	an	alternative
a	as	the
a	available	at
a	b	e
a	bad	way
a	badge	may
a	bag	even
a	bag	in
a	bag	outside
a	bar	fight
a	baseball	coach
a	basis	for
a	beat	within
a	behavior	but
a	behavioral	scientist
a	behavioural	scientist
a	better	approach
a	bid	to
a	bigger	one
a	bill	to
a	bit	far
a	bit	odd
a	black	bag
a	blatz	of
a	blind	control
a	bmw	in
a	bold	new
a	bookish	man
a	boost	process
a	box	for
a	box	that
a	bozza	benevolent
a	braga	et
a	breakdown	of
a	brief	detour
a	brief	etymology
a	brief	overview
a	brief	primer
a	brief	time
a	broad	evidence
a	broad	variety
a	broader	context
a	broader	effort
a	broader	framework
a	broader	national
a	broader	order
a	broader	range
a	broader	scale
a	broader	time
a	broken	taillight
a	broken	windows
a	brown	attache
a	bulge	in
a	bureau	of
a	burglar	acquires
a	burglar	entered
a	burglar	is
a	burglar	on
a	burglar	profile
a	burglary	in
a	burglary	is
a	burglary	occurs
a	burglary	problem
a	burglary	properties
a	burgled	property
a	business	baskin
a	by	foot
a	c	d
a	cage	for
a	caliber	pistol
a	california	statute
a	capable	guardian
a	car	a
a	car	and
a	car	in
a	car	n
a	car	sitting
a	car	theft
a	car	with
a	caravan	observed
a	carceral	response
a	carceral	sentence
a	careful	approach
a	careful	evaluation
a	careful	reflective
a	case	before
a	case	by
a	case	for
a	case	is
a	case	study
a	case	that
a	casual	acquaintance
a	casual	observer
a	catastrophe	motivated
a	catholic	as
a	cell	at
a	central	part
a	central	role
a	century	ago
a	century	of
a	certain	action
a	certain	area
a	certain	block
a	certain	crime
a	certain	degree
a	certain	distance
a	certain	geographic
a	certain	level
a	certain	measure
a	certain	period
a	certain	respect
a	certain	time
a	certain	uncontested
a	certificate	and
a	challenge	for
a	chance	on
a	charles	joe
a	child	in
a	children	s
a	choice	and
a	choice	between
a	christopher	beam
a	church	basement
a	city	in
a	city	or
a	city	s
a	civilian	investigation
a	clarke	jr
a	clarke	school
a	class	of
a	clear	indication
a	clearinghouse	for
a	client	is
a	client	s
a	client	struggling
a	clinical	trial
a	close	case
a	close	temporal
a	closed	circuit
a	closer	and
a	cognitive	reframing
a	coin	the
a	colgan	let
a	collaboration	and
a	collaborative	approach
a	collaborative	team
a	collectivist	frame
a	com	puter
a	combination	of
a	combined	measure
a	comment	on
a	common	benchmark
a	common	theme
a	communicable	disease
a	community	combat
a	community	could
a	community	improvement
a	community	is
a	community	must
a	community	n
a	community	plagued
a	community	prosecution
a	community	prosecutor
a	community	s
a	community	that
a	community	then
a	community	there
a	community	they
a	community	this
a	company	called
a	comparative	academic
a	comparative	sociology
a	comparative	study
a	comparison	of
a	competing	contradictory
a	complete	resolution
a	complete	revolution
a	complete	shift
a	complex	algorithm
a	complex	computer
a	complex	undertaking
a	composite	map
a	composite	risk
a	compound	of
a	comprehensive	solution
a	computer	algorithm
a	computer	calculation
a	computer	can
a	computer	database
a	computer	ibm
a	computer	program
a	computer	programme
a	computer	screen
a	concealed	weapon
a	conception	of
a	concern	judicial
a	concern	might
a	concern	that
a	concern	with
a	concerted	effort
a	conclusion	that
a	condition	of
a	conditional	discharge
a	conduit	between
a	confrontation	with
a	conscious	effort
a	consequence	increased
a	consequence	large
a	consequence	of
a	consequence	this
a	consequence	without
a	considerable	risk
a	consideration	that
a	consistent	finding
a	consolidation	plan
a	constitutional	matter
a	constitutional	stop
a	contagion	like
a	contagious	virus
a	contest	between
a	contested	hearing
a	contextual	factor
a	continuing	menace
a	continuous	dynamic
a	continuum	of
a	contrary	conclusion
a	controlled	experiment
a	conventional	court
a	conventional	criminal
a	conversation	about
a	coordinated	conceptual
a	coordinated	reaction
a	copy	of
a	core	of
a	corner	with
a	corroborative	observation
a	cost	to
a	counterfactual	approach
a	counterweight	to
a	county	jails
a	countywide	effort
a	countywide	initiative
a	couple	of
a	court	analyze
a	court	analyzing
a	court	and
a	court	configured
a	court	evaluate
a	court	may
a	court	might
a	court	must
a	court	operating
a	court	ordered
a	court	problem
a	court	proceeding
a	court	s
a	court	to
a	courtroom	context
a	courtroom	full
a	crawl	as
a	creative	and
a	creative	work
a	crime	a
a	crime	analyst
a	crime	and
a	crime	as
a	crime	because
a	crime	by
a	crime	event
a	crime	happening
a	crime	if
a	crime	in
a	crime	incident
a	crime	is
a	crime	it
a	crime	most
a	crime	n
a	crime	no
a	crime	occurs
a	crime	or
a	crime	prevention
a	crime	reductive
a	crime	should
a	crime	such
a	crime	suppression
a	crime	that
a	crime	the
a	crime	while
a	crime	will
a	criminal	and
a	criminal	justice
a	criminal	law
a	criminal	offense
a	criminal	or
a	criminal	sanction
a	criminal	sentence
a	criminally	accused
a	criminally	punitive
a	critical	component
a	critical	element
a	critical	part
a	critical	question
a	critical	role
a	critical	theoretical
a	critique	of
a	cross	national
a	crucial	part
a	cultural	shift
a	culture	of
a	cure	all
a	curfew	and
a	cut	of
a	d	d
a	d	pa
a	daily	activity
a	daily	basis
a	damn	good
a	data	driven
a	database	and
a	database	that
a	daunting	figure
a	deal	with
a	deal	y
a	decade	of
a	decarceration	agenda
a	decarceration	approach
a	decarceration	focused
a	decarceration	mission
a	decarceration	model
a	decarceration	strategy
a	decrease	in
a	deeply	embedded
a	defendant	client
a	defendant	decides
a	defendant	enabling
a	defendant	in
a	defendant	introduced
a	defendant	is
a	defendant	opts
a	defendant	reveals
a	defendant	s
a	defendant	will
a	defendant	would
a	deferred	prosecution
a	deliberately	criminal
a	delimited	geographic
a	demand	for
a	democratic	approach
a	demonstrated	history
a	denominator	problem
a	describing	the
a	description	in
a	desirable	outcome
a	desire	to
a	determinate	person
a	determination	of
a	determined	numerical
a	determinist	frame
a	determinist	interpretation
a	deterrent	and
a	deterrent	theory
a	devastating	toll
a	devolution	in
a	dialogue	between
a	difference	between
a	different	account
a	different	approach
a	different	framing
a	different	judicial
a	different	locality
a	different	not
a	different	paradigm
a	different	reliability
a	different	way
a	differently	framed
a	direct	effect
a	direct	emotional
a	direct	test
a	direct	way
a	disadvantaged	neighborhood
a	disconnect	in
a	discriminatory	fashion
a	discriminatory	manner
a	discussion	of
a	dismissal	of
a	disorderly	neighborhood
a	disposition	that
a	disproportionate	amount
a	disproportionate	effect
a	disproportionate	number
a	disproportionately	harsh
a	distinct	theoretical
a	diversion	plan
a	diversion	program
a	diversionary	approach
a	diversionary	court
a	diversionary	decarceration
a	diversionary	minimalist
a	diversionary	regime
a	diversionary	sentence
a	diversionary	sentencing
a	diversionary	social
a	dizziness	in
a	domestic	burglary
a	dominant	mechanism
a	dominant	trend
a	dosage	based
a	double	blind
a	downtown	chicago
a	downward	spiral
a	dramatic	drop
a	dramatic	impact
a	drizin	beth
a	drop	in
a	drug	addict
a	drug	buy
a	drug	courier
a	drug	court
a	drug	deal
a	drug	house
a	drug	induced
a	drug	offense
a	drug	sale
a	drug	screen
a	drug	treatment
a	dynamic	interaction
a	employment	rate
a	evidence	based
a	excessive	legalism
a	experiment	will
a	fact	that
a	factor	within
a	fair	probability
a	fair	summary
a	fairly	detailed
a	fake	name
a	family	drug
a	far	greater
a	far	less
a	fascinating	history
a	fashion	show
a	feature	of
a	federal	sentencing
a	federal	system
a	fee	to
a	felony	is
a	felony	punishable
a	felony	where
a	felony	will
a	few	hours
a	few	increased
a	few	months
a	few	real
a	few	relatively
a	few	shoppers
a	few	to
a	few	years
a	fifteen	year
a	fifth	of
a	filling	station
a	final	benefit
a	final	example
a	final	lap
a	final	matter
a	final	related
a	finding	of
a	fine	a
a	finite	number
a	finite	place
a	firearm	and
a	firm	that
a	first	offense
a	fit	with
a	five	city
a	five	percent
a	flag	theory
a	focus	on
a	focused	expertise
a	forecast	based
a	form	of
a	former	neighborhood
a	forum	where
a	foundational	basis
a	fourteen	year
a	fourth	amendment
a	frame	is
a	framework	for
a	framework	that
a	framing	of
a	ft	x
a	full	consideration
a	full	review
a	function	of
a	further	advantage
a	further	burglary
a	further	limitation
a	further	peril
a	further	set
a	further	test
a	furtive	gesture
a	future	crime
a	future	saturday
a	garden	to
a	general	consensus
a	general	criminal
a	general	feeling
a	general	suspicion
a	generalized	high
a	generalized	sense
a	generic	and
a	generic	term
a	geographic	area
a	geographic	box
a	gis	geographic
a	given	area
a	given	case
a	given	delimited
a	given	geography
a	given	offense
a	glance	correctional
a	glance	percent
a	glance	predpol
a	glance	state
a	glass	of
a	goal	of
a	goal	that
a	goal	to
a	good	idea
a	good	indicator
a	good	job
a	good	lawyer
a	good	portion
a	good	reason
a	good	thing
a	government	service
a	grain	of
a	grant	competition
a	grant	for
a	grave	and
a	grave	threat
a	great	deal
a	great	film
a	greater	extent
a	greater	seriousness
a	greenfeld	bureau
a	grid	that
a	grocery	and
a	ground	on
a	group	of
a	group	that
a	group	trait
a	growing	class
a	growing	consensus
a	growing	dependence
a	growing	number
a	guardian	a
a	guardian	n
a	guilty	plea
a	gun	and
a	gun	from
a	gun	n
a	gun	was
a	guy	with
a	half	years
a	hammer	sees
a	hand	to
a	handful	of
a	harris	factors
a	harris	particularized
a	harris	the
a	healing	force
a	heartbeat	if
a	heightened	level
a	heightened	pattern
a	heightened	risk
a	hi	tech
a	high	chance
a	high	crime
a	high	enough
a	high	error
a	high	likelihood
a	high	narcotics
a	high	school
a	high	tech
a	high	theft
a	high	volume
a	higher	level
a	higher	percentage
a	highly	responsive
a	hip	hop
a	history	of
a	hodgepodge	of
a	hoffman	a
a	home	break
a	home	here
a	home	or
a	homeless	shelter
a	horrible	crime
a	hot	spot
a	house	for
a	house	has
a	house	is
a	house	or
a	house	under
a	http	online
a	huge	amount
a	human	informant
a	humiliating	ditty
a	hunch	and
a	increase	is
a	j	l
a	jail	or
a	job	n
a	judge	a
a	judge	already
a	judge	becomes
a	judge	comport
a	judge	or
a	judge	prosecutor
a	judge	s
a	judge	that
a	judgment	about
a	judicial	monitoring
a	judicially	created
a	jurisdiction	and
a	jurisdiction	could
a	justifiable	caution
a	kantian	retributive
a	key	point
a	kind	of
a	kind	sometimes
a	known	and
a	known	drug
a	known	informant
a	known	source
a	lack	in
a	lack	of
a	lapd	officer
a	large	degree
a	large	duffle
a	large	number
a	large	scale
a	large	violation
a	largely	judicially
a	largely	undifferentiated
a	larger	concern
a	last	resort
a	late	response
a	law	enforcement
a	law	professor
a	leader	in
a	leader	the
a	legal	order
a	legal	perspective
a	legalist	court
a	legitimate	alternative
a	length	words
a	lengthier	federal
a	less	adversarial
a	less	defined
a	less	predominant
a	less	significant
a	lesser	degree
a	lesser	known
a	letter	n
a	lexisnexis	supp
a	licence	for
a	lien	against
a	life	of
a	life	sentence
a	life	stage
a	life	that
a	light	colored
a	likelihood	create
a	likelihood	is
a	likelihood	of
a	likely	prediction
a	limitation	on
a	limited	number
a	limited	role
a	limiting	restriction
a	link	between
a	list	of
a	literacy	program
a	ll	else
a	loan	for
a	local	criminal
a	local	forum
a	local	park
a	local	prosecutor
a	locality	his
a	locality	s
a	location	associated
a	location	for
a	location	is
a	location	most
a	location	of
a	location	the
a	location	where
a	logistical	impediment
a	long	history
a	long	line
a	long	standing
a	longbow	as
a	longitudinal	analysis
a	los	angeles
a	loss	of
a	lot	i
a	lot	of
a	low	degree
a	low	income
a	low	level
a	lower	criminal
a	loyola	marymount
a	m	driving
a	m	to
a	macro	level
a	magic	black
a	magistrate	judge
a	majority	of
a	makes	available
a	malleable	reasonable
a	man	and
a	man	breaking
a	man	carrying
a	man	holding
a	man	loitering
a	man	of
a	man	on
a	man	with
a	manifestation	in
a	manner	akin
a	manner	distinct
a	manner	that
a	map	and
a	map	style
a	map	that
a	map	to
a	matched	group
a	math	professor
a	mathematical	model
a	mathematical	recipe
a	matrix	program
a	matter	of
a	matter	on
a	matter	over
a	matter	to
a	maximum	security
a	mayor	antonio
a	meaningful	and
a	meaningful	risk
a	means	to
a	mediating	presence
a	meeting	between
a	member	of
a	menacing	pit
a	mental	health
a	mental	illness
a	mental	structure
a	mere	hunch
a	mere	reheating
a	micro	area
a	micro	high
a	microphone	and
a	mike	matthews
a	mile	from
a	million	citizens
a	million	city
a	minimum	of
a	minute	i
a	misdemeanor	he
a	misdemeanor	n
a	misdemeanor	see
a	missed	curfew
a	mistake	to
a	mixture	of
a	mobile	app
a	model	for
a	model	from
a	model	not
a	model	of
a	model	penal
a	model	that
a	moderate	risk
a	modified	response
a	moneyed	minority
a	month	for
a	month	period
a	moralistic	framing
a	morally	acceptable
a	more	active
a	more	complex
a	more	creative
a	more	effective
a	more	general
a	more	in
a	more	individualized
a	more	jurisprudentially
a	more	lenient
a	more	scientific
a	more	serious
a	more	sociologically
a	more	subtle
a	motion	to
a	motivated	offender
a	move	by
a	move	that
a	move	to
a	much	heralded
a	much	of
a	multi	database
a	multi	layered
a	multilevel	study
a	multivariate	method
a	municipal	code
a	mutual	goal
a	n	capers
a	n	i
a	n	id
a	n	john
a	n	leslie
a	n	rubin
a	n	see
a	nail	so
a	narcotic	drug
a	narcotics	crime
a	narcotics	unit
a	narrow	time
a	narrowly	tailored
a	national	discussion
a	national	interoperable
a	national	overview
a	national	range
a	national	sentencing
a	national	trend
a	natural	course
a	natural	decay
a	natural	experiment
a	near	repeat
a	need	for
a	neighborhood	or
a	neighborhood	random
a	neighborhood	rot
a	neighborhood	so
a	neighborhood	where
a	neighboring	county
a	neighbourhood	officers
a	neo	realist
a	neo	rehabilitative
a	neo	retributionist
a	net	widening
a	neutral	and
a	never	ending
a	new	architecture
a	new	concept
a	new	conceptualization
a	new	criminal
a	new	institutional
a	new	kind
a	new	look
a	new	mass
a	new	model
a	new	paradigm
a	new	protocol
a	new	reliance
a	new	tool
a	new	violent
a	new	way
a	new	york
a	newark	new
a	newer	philosophy
a	news	conference
a	nexus	between
a	nexus	of
a	noisy	kickback
a	non	adversarial
a	non	carceral
a	non	specific
a	non	technical
a	normal	criminal
a	normative	and
a	notable	feature
a	notorious	drug
a	number	of
a	numerical	probability
a	one	bedroom
a	one	page
a	onesize	fits
a	p	fine
a	packet	of
a	paid	overtime
a	paradigm	shift
a	parallel	diversionary
a	parallel	situation
a	park	named
a	parked	car
a	parking	garage
a	part	of
a	partial	strategy
a	partial	view
a	participant	in
a	particular	apartment
a	particular	area
a	particular	bar
a	particular	block
a	particular	brown
a	particular	bus
a	particular	case
a	particular	city
a	particular	crime
a	particular	day
a	particular	downtown
a	particular	home
a	particular	house
a	particular	individual
a	particular	informant
a	particular	locality
a	particular	location
a	particular	neighborhood
a	particular	parking
a	particular	person
a	particular	place
a	particular	problem
a	particular	set
a	particular	suspect
a	particular	text
a	particular	therapeutic
a	particular	time
a	particular	type
a	particular	victim
a	particularized	and
a	particularized	area
a	particularly	valuable
a	past	crime
a	patrol	map
a	patrol	officer
a	patrol	unit
a	pattern	of
a	pattern	that
a	pay	day
a	payday	when
a	peculiar	instance
a	peculiar	strategy
a	penalty	default
a	per	cent
a	percent	chance
a	percent	drop
a	percent	increase
a	percent	reduction
a	perception	of
a	perfect	storm
a	period	of
a	permanent	criminal
a	persistent	crisis
a	person	a
a	person	based
a	person	but
a	person	for
a	person	is
a	person	just
a	person	not
a	person	of
a	person	s
a	person	sharing
a	person	who
a	person	with
a	perspective	that
a	pervasive	reform
a	philip	k
a	philosophy	that
a	pilot	ongoing
a	pilot	program
a	pilot	project
a	pilot	study
a	pioneering	technique
a	place	based
a	place	does
a	place	in
a	place	of
a	place	s
a	place	where
a	plaid	shirt
a	plastic	vial
a	plea	being
a	plea	following
a	plea	is
a	plus	factor
a	police	captain
a	police	dep
a	police	department
a	police	foot
a	police	force
a	police	informant
a	police	officer
a	police	patrol
a	police	presence
a	police	report
a	police	stop
a	policy	is
a	policy	of
a	policy	shift
a	politicization	of
a	pool	of
a	poorly	attended
a	popular	political
a	population	of
a	population	on
a	population	or
a	position	increasingly
a	position	that
a	position	where
a	positive	development
a	positive	force
a	possibly	much
a	post	conviction
a	post	world
a	potential	life
a	potential	offender
a	potential	opportunity
a	potential	vehicle
a	potentially	lengthy
a	potentially	transposable
a	power	imbalance
a	powerful	body
a	practical	matter
a	practical	nontechnical
a	practice	see
a	pre	agreed
a	pre	crime
a	precursory	crime
a	predecessor	to
a	predetermined	revocation
a	predicted	area
a	predicted	block
a	predicted	computer
a	predicted	high
a	prediction	based
a	prediction	model
a	prediction	of
a	prediction	that
a	predictive	element
a	predictive	factor
a	predictive	judgment
a	predictive	model
a	predictive	policing
a	predictive	profile
a	predictive	tip
a	preferable	substitute
a	preferred	location
a	preferred	solution
a	prentky	forensic
a	presumed	therapeutic
a	pretrial	pre
a	previously	bargained
a	previously	stable
a	primary	caregiver
a	prison	sentence
a	proactive	one
a	probability	based
a	probability	is
a	probability	of
a	probation	or
a	probation	supervision
a	probationary	sentence
a	problem	in
a	problem	oftentimes
a	problem	oriented
a	problem	solving
a	problem	to
a	proceduralist	objection
a	process	explored
a	process	of
a	product	of
a	profile	but
a	profile	of
a	profile	or
a	profile	standing
a	profiled	crime
a	profound	hurt
a	profusion	of
a	program	based
a	program	in
a	program	tracking
a	program	with
a	programme	with
a	proliferation	of
a	property	based
a	property	crime
a	proponent	of
a	proposal	for
a	proposal	in
a	proposed	framework
a	proposed	merger
a	prosecutor	y
a	prosecutorial	agenda
a	provocative	article
a	proxy	for
a	psychiatric	expert
a	psychiatric	hospital
a	psychotic	manic
a	public	defender
a	public	health
a	punch	j
a	punitive	approach
a	pure	decarceration
a	pure	form
a	pure	law
a	purely	probabilistic
a	purely	therapeutic
a	quantitative	review
a	quantity	of
a	quantum	of
a	quarter	of
a	quasi	experimental
a	quick	decay
a	quiet	revolution
a	r	kleiman
a	radical	new
a	ram	in
a	random	occurrence
a	randomised	control
a	range	of
a	rash	of
a	rate	more
a	rate	six
a	rational	sentencing
a	reactive	approach
a	real	concern
a	reality	by
a	reallocation	of
a	rear	door
a	reasonable	black
a	reasonable	decision
a	reasonable	factor
a	reasonable	inference
a	reasonable	officer
a	reasonable	probability
a	reasonable	stop
a	reasonable	suspicion
a	reasonableness	requirement
a	recently	committed
a	recession	on
a	recession	police
a	recidivism	rate
a	reconsideration	of
a	record	of
a	recovery	court
a	reduction	in
a	reduction	of
a	refiguring	harsh
a	regime	of
a	regional	police
a	regular	basis
a	rehabilitation	component
a	rehabilitative	approach
a	rehabilitative	sentencing
a	rehabilitative	theory
a	related	argument
a	related	risk
a	relative	term
a	relatively	brief
a	relatively	low
a	relatively	new
a	relatively	short
a	relevant	factor
a	relevant	if
a	reliable	and
a	reliable	informant
a	reliable	tip
a	reliance	on
a	repackaging	of
a	repeat	burglary
a	replication	and
a	report	he
a	report	of
a	report	on
a	report	or
a	report	that
a	research	project
a	research	team
a	residential	burglary
a	residential	neighborhood
a	resource	and
