	of
a	a
a	an
a	as
a	available
a	b
a	bad
a	badge
a	bag
a	bar
a	baseball
a	basis
a	beat
a	behavior
a	behavioral
a	behavioural
a	better
a	bid
a	bigger
a	bill
a	bit
a	black
a	blatz
a	blind
a	bmw
a	bold
a	bookish
a	boost
a	box
a	bozza
a	braga
a	breakdown
a	brief
a	broad
a	broader
a	broken
a	brown
a	bulge
a	bureau
a	burglar
a	burglary
a	burgled
a	business
a	by
a	c
a	cage
a	caliber
a	california
a	capable
a	car
a	caravan
a	carceral
a	careful
a	case
a	casual
a	catastrophe
a	catholic
a	cell
a	central
a	century
a	certain
a	certificate
a	challenge
a	chance
a	charles
a	child
a	children
a	choice
a	christopher
a	church
a	city
a	civilian
a	clarke
a	class
a	clear
a	clearinghouse
a	client
a	clinical
a	close
a	closed
a	closer
a	cognitive
a	coin
a	colgan
a	collaboration
a	collaborative
a	collectivist
a	com
a	combination
a	combined
a	comment
a	common
a	communicable
a	community
a	company
a	comparative
a	comparison
a	competing
a	complete
a	complex
a	composite
a	compound
a	comprehensive
a	computer
a	concealed
a	conception
a	concern
a	concerted
a	conclusion
a	condition
a	conditional
a	conduit
a	confrontation
a	conscious
a	consequence
a	considerable
a	consideration
a	consistent
a	consolidation
a	constitutional
a	contagion
a	contagious
a	contest
a	contested
a	contextual
a	continuing
a	continuous
a	continuum
a	contrary
a	controlled
a	conventional
a	conversation
a	coordinated
a	copy
a	core
a	corner
a	corroborative
a	cost
a	counterfactual
a	counterweight
a	county
a	countywide
a	couple
a	court
a	courtroom
a	crawl
a	creative
a	crime
a	criminal
a	criminally
a	critical
a	critique
a	cross
a	crucial
a	cultural
a	culture
a	cure
a	curfew
a	cut
a	d
a	daily
a	damn
a	data
a	database
a	daunting
a	deal
a	decade
a	decarceration
a	decrease
a	deeply
a	defendant
a	deferred
a	deliberately
a	delimited
a	demand
a	democratic
a	demonstrated
a	denominator
a	describing
a	description
a	desirable
a	desire
a	determinate
a	determination
a	determined
a	determinist
a	deterrent
a	devastating
a	devolution
a	dialogue
a	difference
a	different
a	differently
a	direct
a	disadvantaged
a	disconnect
a	discriminatory
a	discussion
a	dismissal
a	disorderly
a	disposition
a	disproportionate
a	disproportionately
a	distinct
a	diversion
a	diversionary
a	dizziness
a	domestic
a	dominant
a	dosage
a	double
a	downtown
a	downward
a	dramatic
a	drizin
a	drop
a	drug
a	dynamic
a	employment
a	evidence
a	excessive
a	experiment
a	fact
a	factor
a	fair
a	fairly
a	fake
a	family
a	far
a	fascinating
a	fashion
a	feature
a	federal
a	fee
a	felony
a	few
a	fifteen
a	fifth
a	filling
a	final
a	finding
a	fine
a	finite
a	firearm
a	firm
a	first
a	fit
a	five
a	flag
a	focus
a	focused
a	forecast
a	form
a	former
