	of
a	a
a	an
a	bachelor
a	bad
a	baldwin
a	ballot
a	banco
a	bar
a	bargain
a	battery
a	better
a	big
a	bill
a	bit
a	black
a	blog
a	blue
a	boat
a	body
a	bomb
a	break
a	brightly
a	british
a	broken
a	business
a	bystander
a	cabernet
a	california
a	call
a	camera
a	cameraman
a	candlelight
a	car
a	career
a	cash
a	catalyst
a	celebrity
a	cell
a	century
a	chance
a	change
a	charge
a	charter
a	check
a	checkout
a	child
a	citation
a	citizen
a	city
a	claim
a	clampdown
a	cliff
a	clinic
a	cloth
a	collection
a	column
a	commercial
a	commission
a	committee
a	common
a	commonality
a	community
a	company
a	complaint
a	complicated
a	concessionaire
a	conditional
a	confidential
a	conservative
a	constant
a	contributing
a	control
a	controlled
a	cop
a	county
a	couple
a	court
a	crime
a	criminal
a	criminologist
a	daily
a	dangerous
a	day
a	dead
a	deadly
a	decade
a	decades
a	decision
a	declaration
a	deep
a	defrauded
a	difference
a	different
a	difficult
a	diligent
a	division
a	dog
a	domestic
a	don
a	dozen
a	dramatic
a	dressing
a	dying
a	e
a	fact
a	failed
a	family
a	fax
a	federal
a	fellow
a	felon
a	felony
a	few
a	fight
a	file
a	film
a	firearm
a	fist
a	five
a	flight
a	flock
a	flourish
a	ford
a	forklift
a	former
a	free
a	freedman
a	friend
a	fugitive
a	full
a	gang
a	gangland
a	geisha
a	glendora
a	goatee
a	good
a	goth
a	grand
a	great
a	green
a	grenade
a	grind
a	group
a	growing
a	gun
a	gunman
a	hand
a	handgun
a	hankering
a	haphazard
a	headstone
a	hearing
a	heart
a	heckuva
a	hefty
a	high
a	higher
a	highly
a	highway
a	homicide
a	hospitalization
a	host
a	hub
a	huge
a	hunch
a	hurricane
a	impact
a	in
a	investigation
a	isn
a	it
a	jaunty
a	jazz
a	jet
a	job
a	judge
a	jumping
a	jury
a	key
a	kidnap
a	kings
a	knife
a	known
a	labor
a	lamborghini
a	large
a	larger
a	law
a	lawsuit
a	lawyer
a	leader
a	length
a	lenient
a	letter
a	lie
a	life
a	limited
a	line
a	liquor
a	list
a	little
a	living
a	loaded
a	loan
a	local
a	long
a	los
a	lot
a	m
a	main
a	major
a	makeshift
a	male
a	man
a	manhattan
a	market
a	marriage
a	math
a	matter
a	maximum
a	may
a	meal
a	meeting
a	mel
a	melee
a	member
a	merry
a	message
a	metro
a	million
a	minimum
a	minor
a	mirage
a	mission
a	mix
a	mixed
a	mobile
a	model
a	monrovia
a	month
a	more
a	multi
a	multiagency
a	muslim
a	mystery
a	name
a	narcotics
a	national
a	nbc
a	nearby
a	nearly
a	new
a	news
a	newscast
a	niche
a	nine
a	ninth
a	nonprofit
a	note
a	number
a	one
a	page
a	painted
a	paperless
a	parolee
a	part
a	patch
a	pattern
