	of
a	a
a	an
a	bachelor
a	bad
a	baldwin
a	ballot
a	banco
a	bar
a	bargain
a	battery
a	better
a	better
a	better
a	big
a	big
a	bill
a	bill
a	bill
a	bit
a	black
a	black
a	black
a	blog
a	blue
a	boat
a	body
a	body
a	bomb
a	break
a	break
a	brightly
a	british
a	broken
a	business
a	bystander
a	cabernet
a	cabernet
a	california
a	call
a	call
a	camera
a	camera
a	cameraman
a	candlelight
a	candlelight
a	car
a	car
a	car
a	car
a	car
a	car
a	career
a	cash
a	catalyst
a	celebrity
a	celebrity
a	cell
a	cell
a	cell
a	cell
a	cell
a	century
a	chance
a	change
a	charge
a	charter
a	check
a	checkout
a	child
a	child
a	citation
a	citizen
a	city
a	city
a	city
a	city
a	city
a	city
a	claim
a	clampdown
a	cliff
a	clinic
a	clinic
a	cloth
a	collection
a	column
a	column
a	commercial
a	commission
a	committee
a	committee
a	common
a	common
a	commonality
a	community
a	company
a	complaint
a	complicated
a	concessionaire
a	conditional
a	confidential
a	conservative
a	conservative
a	constant
a	constant
a	contributing
a	control
a	controlled
a	cop
a	cop
a	county
a	county
a	couple
a	court
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	crime
a	criminal
a	criminal
a	criminal
a	criminal
a	criminal
a	criminal
a	criminal
a	criminologist
a	daily
a	daily
a	dangerous
a	dangerous
a	day
a	day
a	dead
a	deadly
a	deadly
a	decade
a	decade
a	decades
a	decision
a	declaration
a	deep
a	defrauded
a	difference
a	different
a	difficult
a	diligent
a	division
a	division
a	division
a	division
a	division
a	division
a	division
a	division
a	division
a	dog
a	dog
a	domestic
a	don
a	dozen
a	dozen
a	dozen
a	dozen
a	dramatic
a	dressing
a	dying
a	e
a	fact
a	failed
a	family
a	family
a	fax
a	fax
a	federal
a	fellow
a	fellow
a	felon
a	felony
a	few
a	few
a	few
a	few
a	few
a	fight
a	file
a	film
a	film
a	firearm
a	fist
a	five
a	five
a	flight
a	flock
a	flourish
a	ford
a	forklift
a	former
a	free
a	free
a	freedman
a	freedman
a	friend
a	friend
a	friend
a	fugitive
a	fugitive
a	fugitive
a	full
a	gang
a	gangland
a	geisha
a	glendora
a	glendora
a	goatee
a	good
a	good
a	good
a	goth
a	grand
a	grand
a	grand
a	grand
a	grand
a	grand
a	great
a	green
a	grenade
a	grind
a	grind
a	group
a	growing
a	gun
a	gun
a	gunman
a	hand
a	handgun
a	hankering
a	haphazard
a	headstone
a	hearing
a	heart
a	heckuva
a	hefty
a	high
a	higher
a	highly
a	highly
a	highway
a	homicide
a	hospitalization
a	host
a	hub
a	huge
a	huge
a	hunch
a	hurricane
a	impact
a	in
a	in
a	investigation
a	isn
a	it
a	jaunty
a	jazz
a	jet
