of 1 of 1
a an 1 1
a and 1 5
a as 2 1
a bag 3 1
a basis 3 1
a behavioral 1 1
a better 18 4
a big 12 4
a bit 5 1
a body 3 1
a book 4 1
a braga 3 7
a broad 7 1
a broader 8 1
a burglary 10 1
a car 22 4
a careful 4 1
a case 34 3
a central 5 2
a certain 25 2
a city 17 2
a clear 3 1
a close 6 1
a cluster 3 1
a column 1 1
a combination 6 1
a commitment 1 1
a common 9 2
a community 26 8
a comparative 4 2
a complicated 2 1
a computer 31 4
a concern 5 1
a consequence 12 2
a contract 1 1
a core 4 1
a couple 5 3
a court 28 1
a crime 116 23
a critical 12 2
a cross 1 1
a cultural 2 1
a culture 14 1
a daily 4 2
a day 33 1
a decade 11 4
a decline 3 1
a decrease 1 2
a deep 1 1
a deeply 1 1
a degree 2 1
a department 3 2
a desire 3 3
a detailed 2 1
a deterrent 3 2
a difference 4 2
a different 19 1
a distinct 3 2
a division 2 1
a downtown 3 2
a dramatic 5 1
a dynamic 3 2
a factor 6 1
a family 6 1
a feature 1 1
a federal 11 1
a few 34 16
a fire 1 1
a five 4 1
a focus 3 3
a form 5 2
a forward 1 1
a free 2 1
a full 5 4
a fully 2 1
a generation 1 1
a given 8 8
a good 27 2
a grassroots 1 1
a great 25 4
a group 9 5
a growing 11 7
a hand 2 1
a handful 6 1
a high 60 7
a higher 9 2
a highly 4 7
a home 10 8
a host 1 5
a hunch 1 1
a hurricane 1 2
a j 2 1
a jurisdiction 3 1
a key 10 1
a known 13 1
a lack 8 2
a laptop 1 4
a large 14 7
a largely 5 1
a larger 2 3
a law 9 1
a legal 8 1
a length 2 2
a less 8 1
a level 6 1
a link 1 1
a list 8 2
a little 2 2
a location 12 1
a long 21 4
a longitudinal 4 1
a lot 48 10
a major 20 5
a man 18 1
a map 15 3
a massive 2 1
a matter 13 2
a means 6 3
a mere 4 4
a method 3 1
a micro 3 1
a mile 1 1
a million 3 1
a model 13 4
a month 3 1
a more 38 15
a movement 1 1
a much 10 6
a narrow 1 1
a nation 1 1
a national 10 10
a natural 5 2
a need 3 1
a neighborhood 6 6
a net 2 2
a network 5 1
a new 83 12
a normative 1 1
a notable 2 1
a number 17 10
a p 2 4
a parked 2 4
a part 6 1
a particular 77 1
a path 3 3
a patrol 4 1
a pattern 6 3
a percent 26 2
a period 2 1
a persistent 1 1
a person 66 8
