of 1 of 1
a a 30 2
a and 2 1
a anthropologist 1 1
a b 15 4
a bad 7 1
a badge 2 1
a balance 4 1
a bank 8 2
a bar 1 1
a basic 7 3
a basis 8 3
a basketball 1 1
a bayesian 2 1
a bb 1 2
a beat 1 1
a beating 2 1
a beautiful 1 1
a behavioral 1 1
a belief 5 1
a berk 6 1
a better 23 18
a bicyclist 1 1
a big 38 12
a bigger 3 3
a bill 1 1
a billion 2 2
a bit 14 5
a black 18 2
a blind 3 2
a block 1 3
a blog 2 2
a body 5 3
a book 12 4
a bookstore 1 1
a boon 2 3
a boost 4 3
a box 3 3
a braga 12 3
a break 1 1
a breakdown 4 1
a brief 19 9
a broad 26 7
a broader 8 8
a broken 9 6
a brown 3 1
a budget 2 11
a bunch 3 1
a burden 2 1
a bureau 2 1
a burglar 4 6
a burglary 3 10
a bus 1 3
a business 21 3
a by 2 2
a bystander 2 1
a c 2 3
a cal 2 1
a caliber 1 2
a california 4 2
a call 20 3
a camera 1 2
a can 1 1
a candidate 4 11
a car 8 22
a carceral 4 3
a career 6 1
a careful 3 4
a carefully 1 1
a case 31 34
a catalyst 2 1
a causal 3 3
a cause 2 4
a cautionary 1 1
a cell 6 1
a central 23 5
a century 10 6
a certain 48 25
a certificate 1 1
a challenge 11 2
a champion 2 1
a chance 18 2
a change 7 2
a chat 2 1
a check 3 1
a child 17 2
a chinese 1 1
a choice 5 6
a church 4 2
a citizen 15 4
a city 41 17
a citywide 3 1
a civil 6 7
a civilian 6 2
a claim 5 1
a clarke 5 2
a class 19 2
a classic 2 1
a clear 23 3
a clearinghouse 2 1
a close 4 6
a closed 2 1
a closer 4 2
a cloud 5 4
a code 2 1
a cognitive 3 2
a coherent 1 2
a coin 1 1
a cole 3 1
a colgan 1 1
a collaborative 2 3
a collective 11 1
a column 1 1
a combination 17 6
a comment 1 1
a commitment 6 1
a common 16 9
a communicable 1 1
a community 49 26
a company 11 9
a comparative 3 4
a comparison 9 5
a compassionate 1 1
a compelling 6 1
a complaint 2 2
a complete 7 4
a complex 12 7
