of documents 1 of 1
a balance between 3 1
a bank of 1 1
a basis for 7 3
a bayesian analysis 1 1
a belief that 3 1
a better relationship 1 1
a better understanding 4 1
a bicyclist and 1 1
a big data 25 5
a bit of 3 3
a blind eye 2 1
a body of 3 3
a book on 4 1
a braga et 5 2
a breakdown of 1 1
a brief history 3 1
a brief overview 2 1
a brief primer 1 1
a broad array 1 1
a broader range 1 1
a broader scale 1 1
a broken windows 4 4
a brown attache 1 1
a budget of 2 11
a bunch of 3 1
a bureau of 2 1
a burglary in 1 3
a bus stop 1 1
a cal mun 2 1
a call to 3 1
a car a 1 1
a case by 5 2
a case for 2 1
a case in 2 4
a case involving 2 1
a case of 2 1
a case study 7 6
a case that 2 2
a catalyst for 1 1
a cautionary tale 1 1
a central role 4 2
a century ago 2 1
a century of 2 2
a certain area 1 1
a certain crime 1 1
a certain degree 1 1
a certain distance 3 1
a certain level 4 1
a certain outcome 2 1
a certain period 3 3
a certain point 1 1
a certain type 1 1
a change in 3 2
a chinese restaurant 1 1
a choice between 1 1
a citizen s 2 1
a city as 1 1
a city block 1 1
a city or 1 1
a city s 4 2
a city where 1 1
a city with 1 4
a clarke school 2 1
a class and 1 1
a class of 2 1
a clearinghouse for 2 1
a close case 1 1
a close relationship 1 2
a closed circuit 1 1
a closer look 3 1
a cloud based 5 4
a colgan let 1 1
a combination of 17 6
a commitment to 6 1
a communicable disease 1 1
a community is 1 1
a community n 2 1
a community s 2 2
a company called 1 2
a company that 1 1
a company to 1 3
a comparison group 1 3
a comparison of 2 2
a complex algorithm 1 1
a complex computer 2 1
a complex task 1 1
a computer algorithm 3 9
a computer analysis 1 2
a computer can 1 1
a computer database 2 1
a computer program 9 4
a computer screen 5 1
a computer to 1 1
a concern that 4 1
a concern with 1 1
a concerted effort 5 1
a conclusion that 2 1
a condition of 3 2
a consequence of 1 3
a constitutional matter 2 2
a constitutional right 4 1
a contextual factor 1 1
a continuous dynamic 1 1
a control group 1 5
a controversial police 2 1
a conviction for 2 1
a conviction n 4 1
a copy of 3 1
a correlation between 4 2
a cost benefit 1 1
a cost to 1 2
a counterweight to 1 1
a couple of 8 5
a court may 1 3
a court might 1 2
a court must 1 2
a court order 6 4
a court s 1 1
a court to 3 1
a court were 1 1
a creative police 1 1
a crime and 2 3
a crime at 3 1
a crime but 1 11
a crime by 2 1
a crime disorder 1 1
a crime event 2 4
a crime forecasting 1 1
a crime happening 1 2
a crime has 3 1
a crime in 4 4
a crime is 8 3
a crime it 7 2
a crime n 12 9
a crime occurring 1 1
a crime of 1 2
a crime or 3 5
a crime prediction 1 1
a crime prevention 1 2
a crime scene 1 3
a crime should 1 1
a crime such 1 1
a crime that 2 5
a crime the 4 1
a crime to 2 2
a crime was 1 1
a crime will 3 3
a criminal act 4 2
a criminal case 3 2
a criminal conviction 9 1
a criminal investigation 9 1
a criminal justice 1 2
a criminal matter 2 1
a criminal prosecution 1 1
a criminal to 3 1
a critical mass 1 1
a critical part 2 2
a critical role 4 2
a critique of 9 3
a cross national 2 1
a crystal ball 3 1
a cultural shift 1 1
a culture of 5 2
a cure all 1 1
a d conn 1 1
a d d 1 2
a d md 1 1
a d n 4 3
a d pa 6 3
a daily basis 4 3
a data driven 2 4
a database and 1 1
a database is 2 1
a database of 9 2
a database that 1 2
a dataset n 1 1
a day and 1 1
a day the 3 1
a decade after 1 1
a decade ago 5 2
a decade later 1 1
a decade of 2 1
a decade or 1 1
a decision about 1 3
a decline in 4 3
a decrease in 2 1
a defendant can 1 1
a defendant is 2 1
a defendant s 5 4
a defendant will 1 1
a definition of 5 1
a degree of 9 1
a demand for 2 3
a departure from 2 1
a deprivation of 1 1
a describing the 2 1
a desire to 3 3
a determinate person 1 1
a determination of 1 1
a device that 1 2
a difference in 2 1
a different case 2 1
a different location 1 1
a different way 1 2
a digit with 1 1
a direct test 1 1
a discriminatory fashion 1 1
a discussion about 1 2
a discussion of 12 4
a disproportionate amount 1 2
a disproportionate effect 1 1
a disproportionate number 6 1
a distinction between 1 3
a distortion of 1 1
a district attorney 1 2
a diversion from 1 1
a division of 6 1
a dna profile 4 1
a dna sample 2 5
a domestic violence 2 17
a driver s 3 1
a drizin beth 1 1
a drop in 1 4
a drug addict 1 1
a drug courier 2 10
a e e 1 1
a evidence based 1 2
a facial image 1 1
a factor in 13 3
a factor of 2 2
a failure of 1 2
a fair and 4 2
a fair probability 3 4
a family or 1 1
a far greater 4 2
a far more 4 1
a fear that 1 1
a feature of 2 1
a federal constitutional 1 1
a federal grant 1 1
a fee to 2 1
a feet by 1 1
a few days 2 2
a few hours 3 1
a few minutes 3 1
a few months 2 1
a few more 1 1
a few weeks 2 1
a few years 4 10
a fifteen year 3 1
a fifty four 1 1
a finding of 6 8
a finite place 1 1
a firearm and 1 2
a five city 2 2
a five percent 1 2
a focus on 12 3
a force multiplier 6 1
a form of 22 5
a former baltimore 2 1
a former marine 1 11
a formulation of 1 1
a forum where 2 1
a founder of 1 1
a fourteen year 2 2
a fourth amendment 16 16
a framework for 9 3
a free society 1 1
a fresh perspective 1 11
a full blown 1 1
a full consideration 1 1
a function of 14 3
a fundamental problem 1 3
a further set 1 1
a future crime 4 2
a general feeling 1 1
a general rule 1 1
a general suspicion 1 1
a general theory 3 1
a generation ago 2 1
a geographic area 1 1
a given area 3 1
a given case 2 1
a goal of 1 1
a goal that 1 1
a good deal 2 1
a good decision 1 1
a good example 2 2
a good faith 2 1
a good reason 2 1
a good thing 1 1
a google map 3 3
a government agency 3 1
a government agent 1 1
a government of 1 1
a governmental investigative 1 1
a gps tracking 1 1
a great deal 14 19
a great example 1 1
a grid over 1 1
a group of 9 5
a growing number 5 4
a guide to 3 2
a guilty plea 1 1
a gun and 1 1
a gun at 1 1
a gun from 1 1
a gun n 1 2
a half dozen 1 1
a half years 2 1
a hand to 2 2
a handful of 9 6
a harris factors 3 1
a harris particularized 1 1
a harris the 1 1
a heat list 6 1
a heightened level 1 1
a heightened risk 3 1
a high chance 2 1
a high crime 33 34
a high degree 6 2
a high error 1 1
a high level 5 1
a high likelihood 1 2
a high propensity 6 1
a high risk 4 1
a high school 4 1
a high stakes 1 1
a high tech 3 3
a high volume 4 1
a higher crime 1 2
a higher level 2 2
a history of 15 2
a hollywood blockbuster 3 1
a home break 1 1
a home in 3 1
a home was 1 2
a host of 13 1
a hunch and 2 1
a hypothesis which 1 1
a j l 1 1
a joint venture 1 1
a judge and 2 2
a judge or 5 1
a judge s 2 1
a judge that 1 1
a judgment that 1 1
a jurisdiction and 1 1
a key driver 1 1
a key to 1 1
a kind of 9 6
a known drug 1 2
a known informant 1 5
a laboratory to 2 3
a lack of 17 7
a large and 1 1
a large number 3 2
a large proportion 1 1
a large scale 2 1
a last resort 2 3
a later interview 1 1
a law degree 1 1
a law enforcement 23 5
a law professor 1 2
a legal perspective 2 1
a legal remedy 2 1
a legitimate alternative 1 1
a legitimate purpose 1 1
a length words 4 2
a less demanding 3 3
a lesser extent 2 1
a level of 6 3
a likelihood of 3 2
a limitation on 1 1
a limitation upon 1 1
a limited number 5 1
a line between 2 1
a line of 3 2
a link between 3 1
a list of 10 8
a litany of 1 1
a live crab 1 1
a local level 2 1
a location associated 2 1
a location in 1 3
a location is 2 1
a location s 1 1
a location where 1 1
a logan policing 2 1
a long history 5 1
a long period 1 1
a long standing 2 1
a long time 3 1
a long way 5 2
a longitudinal analysis 2 3
a look at 4 2
a los angeles 1 4
a lot like 4 2
a lot more 1 12
a lot of 31 29
a low crime 1 1
a low income 1 2
a low level 2 1
a lower standard 1 1
a m and 1 1
a m on 2 1
a magistrate to 1 1
a major role 1 1
a majority of 2 8
a man of 4 1
a man s 2 1
a man who 3 1
a manner that 6 5
a map of 3 4
a map that 2 3
a massive scale 3 1
a master s 3 12
a mathematical equation 1 1
a mathematical model 3 1
a matter of 34 10
a meaningful and 1 1
a means of 7 5
a means to 5 1
a measure of 14 1
a mechanism for 5 2
a member of 12 4
a mere hunch 1 1
a method of 4 2
a minimal level 3 1
a minimum level 1 1
a minimum of 2 3
a misdemeanor n 2 1
a mistake to 2 1
a mix of 2 1
a mixture of 3 1
a mobile app 1 1
a model for 12 1
a model is 2 1
a model of 6 1
a model that 3 4
a moment of 4 1
a month for 2 1
a month to 3 1
a more accurate 2 1
a more complete 2 1
a more complex 1 2
a more effective 1 1
a more focused 1 1
a more general 6 2
a more individualized 1 1
a more nuanced 2 1
a more predictive 1 2
a more rigorous 1 1
a more serious 2 1
a more sophisticated 4 1
a more visible 1 1
a move that 3 1
a move to 2 1
a much greater 1 1
a much lower 1 1
a mug shot 1 1
a multi disciplinary 1 1
a multi faceted 1 1
a multilevel study 1 1
a myriad of 5 2
a n david 3 1
a n id 11 5
a n see 39 3
a name for 1 1
a national discussion 1 1
a national survey 1 1
a natural experiment 3 1
a near repeat 1 4
a neat set 4 1
a need to 3 1
a neighbor s 2 1
a neighborhood where 1 1
a network of 7 1
a never ending 1 1
a new concept 2 1
a new crime 2 1
a new framework 1 1
a new identity 1 1
a new job 2 1
a new kind 3 2
a new look 3 1
a new model 1 1
a new policing 1 1
a new professional 1 1
a new way 2 6
a new york 9 6
a news conference 1 2
a next generation 5 1
a nexus between 1 2
a number of 75 17
a one size 1 1
a paradigm shift 2 2
a parole violation 1 1
a part of 23 6
a particular area 5 7
a particular block 1 7
a particular bus 1 1
a particular class 6 1
a particular crime 4 5
a particular individual 4 4
a particular locality 1 1
a particular location 2 7
a particular neighborhood 3 1
a particular person 10 1
a particular place 3 2
a particular problem 1 1
a particular set 1 2
a particular suspect 4 1
a particular time 2 6
a particular type 3 4
a particularized and 4 6
a particularly difficult 1 1
a past crime 1 1
a path to 2 1
a patrol officer 3 1
a pattern of 6 3
a percent chance 1 3
a percent drop 2 6
a percent increase 4 4
a perception of 2 3
a period of 14 1
a person and 2 1
a person based 2 1
a person for 1 2
a person has 4 1
a person in 1 1
a person is 12 4
a person knowingly 1 3
a person of 5 2
a person s 48 29
a person who 6 4
a person with 3 3
a ph d 3 1
a photograph of 4 1
a pilot program 2 1
a place based 2 1
a place where 1 4
a plaid shirt 2 1
a plan for 1 2
a plan to 2 1
a platform for 1 1
a platform to 1 1
a plethora of 1 1
a plus factor 2 1
a point of 5 2
a police agency 1 4
a police captain 1 1
a police car 2 2
a police chief 1 1
a police dep 6 1
a police department 11 8
a police force 6 3
a police officer 74 27
a police presence 2 2
a police stop 1 4
a policy of 3 3
a policy shift 1 1
a policy to 1 2
a pool of 2 1
a poor job 1 1
a population of 5 3
a position to 3 2
a positive force 1 1
a positive relationship 4 1
a post world 3 1
a potential criminal 3 3
a powerful tool 5 1
a practical matter 9 1
a practical nontechnical 2 1
a prediction of 2 1
a predictive analytics 1 1
a predictive judgment 2 4
a predictive model 2 2
a predictive policing 10 17
a prentky forensic 1 1
a prima facie 6 2
a primary role 1 1
a prime example 1 1
a prison sentence 1 1
a prison term 1 1
a privacy right 2 1
a private contractor 1 11
a probabilistic determination 1 1
a probable cause 2 1
a problem because 1 2
a problem in 2 2
a problem oriented 1 3
a problem solving 1 5
a problem that 2 1
a problem to 1 1
a process for 1 1
a process of 4 3
a product of 3 4
a professor at 3 2
a profile of 1 5
a program in 1 1
a program that 7 1
a program tracking 1 1
a proponent of 2 1
a proposal for 2 1
a proposed merger 1 1
a protective pat 1 1
a protective patdown 1 1
a proxy for 8 2
a public health 5 2
a public right 1 1
a publication type 1 1
a punch j 2 1
a purpose other 1 1
a quarter century 1 1
a quarter of 6 5
a quasi experimental 1 1
a question that 1 1
a quiet revolution 1 1
a random sample 4 1
a randomized controlled 1 5
a randomized field 1 2
a range of 29 27
a rape victim 1 1
a rate of 2 1
a reactive approach 1 1
a real concern 2 1
a real world 2 1
a reasonable articulable 1 1
a reasonable black 1 1
a reasonable doubt 1 2
a reasonable expectation 2 8
a reasonable officer 2 1
a reasonable particularized 2 1
a reasonable person 5 1
a reasonable suspicion 16 6
a recession police 3 2
a reconsideration of 1 1
a record of 8 1
a reduction in 5 3
a reflection of 1 1
a regular basis 1 2
a relatively brief 1 1
a relatively low 2 1
a relatively short 1 1
a relevant factor 5 1
a reliable and 1 1
a reliance on 2 2
a repackaging of 1 1
a reply to 3 1
a report of 2 1
a report on 8 2
a report that 4 1
a requirement for 1 1
a requirement that 1 1
a requirement to 1 1
a resource to 1 1
a response to 19 2
a restraining order 1 18
a result it 1 1
a result many 5 1
a result of 44 8
a result the 15 5
a result we 1 1
a review of 12 16
a revisionist view 1 1
a revolution in 2 1
a revolution that 5 3
a right to 19 13
a rise in 1 1
a risk assessment 3 3
a risk of 2 2
a role in 13 2
a rush to 1 1
a scenario where 1 1
a search for 5 2
a search n 1 6
a search occurs 1 1
a search or 2 1
a search under 2 2
a search warrant 12 2
a second and 1 1
a section pg 1 1
a see also 12 1
a segment of 1 2
a self fulfilling 3 2
a senior officer 1 3
a sense of 10 7
a series of 36 13
a serious intrusion 2 1
a set of 20 3
a settlement of 1 1
a sex offender 4 1
a sex offense 2 1
a sheriff s 1 1
a shift in 9 2
a shifting criminal 1 2
a shorthand label 3 1
a showing considerably 2 3
a showing of 3 3
a sign of 2 1
a significant amount 7 1
a significant decrease 1 1
a significant drop 2 3
a significant factor 5 1
a significant number 2 4
a significant portion 1 1
a similar plan 1 1
a similar program 2 1
a similar set 1 1
a similar way 3 1
a sincere balance 1 1
a single criminal 3 1
a single year 2 3
a six month 3 5
a small data 14 1
a small fraction 3 2
a small minority 2 1
a small number 2 6
a small percentage 2 1
a snapshot of 3 1
a social media 2 1
a social network 2 2
a social worker 1 3
a software package 1 2
a software program 2 2
a solution to 6 1
a sort of 1 1
a source of 4 1
a space for 1 1
a specific and 1 1
a specific area 1 4
a specific crime 3 1
a specific individual 2 1
a specific location 2 3
a specific person 4 1
a specific place 1 1
a specific time 1 2
a spiral of 1 1
a spokesman for 2 1
a square mile 1 1
a st century 1 1
a staggering amount 1 1
a starting point 3 2
a state and 1 2
a state law 2 1
a statement of 1 1
a statistical likelihood 1 1
a statistical tool 1 1
a statistically significant 2 2
a step in 1 1
a stop and 8 1
a stop based 7 3
a stop in 3 1
a stop is 4 1
a stop n 3 4
a stop the 1 2
a stop when 1 1
a strategy to 1 3
a street fellowship 1 2
a string of 2 1
a strong and 2 2
a strong incentive 1 1
a stronger case 1 1
a student in 2 1
a study by 3 1
a study in 6 1
a study of 15 10
a study that 12 1
a subject of 1 2
a subset of 6 1
a substantial amount 1 1
a substantial impact 1 2
a substantial number 1 1
a substitute for 2 1
a supplement to 1 1
a survey of 4 2
a suspect a 2 2
a suspect but 2 2
a suspect by 2 1
a suspect has 1 2
a suspect is 6 4
a suspect n 2 1
a suspect s 15 2
a suspect to 3 2
a suspect yale 2 1
a suspicion that 1 1
a suspicious person 4 2
a symposium on 2 1
a symptom of 1 1
a system based 1 1
a system of 12 1
a system that 8 2
a systematic review 1 9
a systems engineer 1 3
a tale of 4 1
a target of 1 1
a taxonomy of 3 1
a team of 10 6
a temporary investigative 1 1
a terrorist watch 2 1
a terry stop 26 12
a test of 3 2
a test using 1 1
a the limits 1 1
a theory based 3 2
a theory of 16 7
a theory to 1 1
a thief walked 1 1
a third example 1 1
a third party 5 7
a threat to 4 3
a three day 1 1
a three year 6 2
a time and 1 2
a time n 2 1
a time of 7 2
a time when 10 2
a times aug 4 2
a times jan 4 2
a times july 5 1
a times nov 6 3
a times oct 2 2
a times sept 1 1
a tiny patch 1 1
a tip be 1 1
a tool for 7 2
a total of 10 3
a totality of 5 5
a two step 1 1
a two year 1 1
a type of 4 5
a uf form 3 1
a unique identifier 1 1
a use of 2 1
a user s 2 1
a valid governmental 1 1
a value that 1 1
a variety of 38 35
a vast array 1 1
a vehicle for 1 1
a very good 2 1
a very high 2 2
a very large 1 1
a very limited 1 1
a veteran of 2 1
a vice president 1 5
a vicious circle 1 1
a victim in 1 1
a victim of 5 6
a video camera 1 1
a violation of 6 6
a vital role 1 1
a voice in 6 1
a warrant for 5 1
a warrant id 1 1
a warrant n 3 3
a warrant requirement 2 1
a warrant to 2 1
a warrantless search 3 1
a washington post 3 1
a wave of 1 3
a way for 2 3
a way of 6 7
a way that 21 8
a way to 27 8
a wealth of 7 4
a well functioning 1 1
a west n 2 1
