of documents 1 of 1
a bachelor s 4 1
a basis for 7 1
a better understanding 4 1
a body of 3 1
a broad range 4 1
a case by 5 2
a case study 7 1
a certain type 1 2
a column national 1 1
a combination of 17 1
a commitment to 6 1
a community policing 6 4
a community s 2 1
a comparative analysis 2 1
a computer program 9 3
a consequence of 1 1
a couple of 8 3
a court to 3 1
a crime and 2 2
a crime fighting 1 2
a crime in 4 4
a crime is 8 1
a crime prevention 1 1
a cultural shift 1 1
a culture of 5 1
a daily news 1 1
a decade to 2 1
a decline in 4 1
a decrease in 2 2
a degree of 9 1
a department s 4 1
a desire to 3 2
a difference in 2 1
a different race 2 1
a division of 6 1
a factor of 2 1
a family of 1 1
a few minutes 3 1
a few people 1 1
a few years 4 5
a focus on 12 3
a form of 22 2
a forward looking 1 1
a free society 1 1
a generation or 1 1
a given neighborhood 2 2
a given time 1 1
a good example 2 1
a great deal 14 4
a group of 9 2
a growing body 2 2
a hand in 1 1
a handful of 9 1
a hands off 1 1
a high correlation 1 2
a high degree 6 3
a high rate 3 1
a high school 4 1
a host of 13 5
a key element 1 1
a lack of 17 2
a large number 3 3
a law enforcement 23 1
a lawsuit to 1 1
a length words 4 2
a level of 6 1
a link between 3 1
a list of 10 2
a long history 5 1
a long list 2 1
a long term 3 1
a long time 3 1
a longitudinal analysis 2 1
a lot more 1 2
a lot of 31 6
a man in 4 1
a map of 3 1
a matter of 34 2
a means of 7 2
a means to 5 1
a meta analysis 2 1
a micro place 1 1
a minority view 1 1
a model for 12 1
a model of 6 1
a monolithic occupational 1 1
a more complex 1 1
a more effective 1 2
a more recent 4 1
a more visible 1 1
a much broader 4 1
a much greater 1 1
a much higher 2 2
a much more 12 1
a national movement 1 2
a national study 1 1
a national survey 1 1
a need to 3 1
a neighborhood is 3 1
a network of 7 1
a new computer 2 1
a new era 2 2
a new focus 2 2
a number of 75 10
a part of 23 1
a path forward 2 1
a path to 2 1
a patrol car 2 1
a period of 14 1
a place where 1 1
a police agency 1 1
a police department 11 3
a police intelligence 1 1
a police officer 74 4
a police organization 1 2
a post world 3 1
a predictive analytics 1 2
a problem oriented 1 1
a professor at 3 2
a range of 29 2
