	of	documents
a	a	a
a	a	bf
a	a	brief
a	a	child
a	a	collection
a	a	ef
a	a	federal
a	a	return
a	a	u
a	a	west
a	ae	c
a	allen	et
a	am	bar
a	and	accompanying
a	anthropologist	jeffrey
a	anti	globalization
a	antkowiak	saving
a	ar	n
a	archbold	the
a	area	in
a	areheart	the
a	article	in
a	associated	press
a	b	a
a	b	cf
a	b	discussing
a	b	n
a	b	reporting
a	b	story
a	baby	step
a	backdoor	into
a	backdrop	in
a	backdrop	to
a	background	check
a	backpack	has
a	bad	idea
a	bail	application
a	balance	between
a	baltimore	sun
a	ban	on
a	bandanna	the
a	bank	and
a	bank	of
a	bank	on
a	bank	statement
a	barbershop	in
a	base	level
a	base	rate
a	baseline	and
a	baseline	of
a	basic	challenge
a	basis	for
a	basis	to
a	bayesian	analysis
a	bayesian	calculation
a	bb	b
a	bbs	to
a	beating	and
a	beautiful	film
a	bedrock	requirement
a	beige	metal
a	being	although
a	belief	in
a	belief	that
a	believer	if
a	below	b
a	bench	at
a	benefit	in
a	benefit	rather
a	berk	justin
a	berk	susan
a	berry	gordon
a	better	driver
a	better	idea
a	better	job
a	better	more
a	better	position
a	better	understanding
a	better	world
a	bf	fa
a	bias	any
a	bias	that
a	bias	toward
a	biased	sample
a	bicyclist	and
a	big	data
a	big	difference
a	big	problem
a	bigger	challenge
a	bigger	problem
a	billion	per
a	binary	value
a	biological	sample
a	birthmark	to
a	bit	as
a	bit	later
a	bit	like
a	bit	more
a	bit	of
a	bit	on
a	bit	shy
a	bitch	then
a	bitch	you
a	black	box
a	black	community
a	black	defendant
a	black	lives
a	black	pocket
a	blind	side
a	blinding	million
a	blistering	pace
a	blog	about
a	blog	html
a	blot	on
a	blunt	sorting
a	body	worn
a	book	club
a	book	exploring
a	book	on
a	book	published
a	book	travel
a	boon	to
a	booth	at
a	bot	that
a	box	near
a	box	of
a	box	the
a	boxer	or
a	brac	their
a	braga	et
a	braga	pulling
a	brand	new
a	brawl	brandishing
a	break	on
a	breakdown	in
a	breakdown	of
a	breakthrough	moment
a	breakthrough	which
a	brief	description
a	brief	discussion
a	brief	history
a	brief	introduction
a	brief	orientation
a	brief	overview
a	brief	search
a	broad	data
a	broad	definition
a	broad	gang
a	broad	increase
a	broad	mandate
a	broad	principle
a	broad	review
a	broader	set
a	broken	police
a	broken	road
a	broken	window
a	broken	windows
a	brooklyn	cop
a	bruise	on
a	bsolutely	no
a	building	sitting
a	bullet	in
a	bullet	nearly
a	bullet	pierced
a	bullet	wound
a	bunch	of
a	burden	of
a	burden	shifting
a	bureau	of
a	bureaucratic	structure
a	burglar	before
a	burglar	s
a	burglary	at
a	burglary	in
a	bus	stop
a	business	benefit
a	business	data
a	business	justification
a	business	n
a	business	necessity
a	business	perspective
a	business	practice
a	business	to
a	busy	intersection
a	but	it
a	buzzword	it
a	by	contrast
a	bystander	not
a	bystander	s
a	byte	out
a	cal	mun
a	calculus	of
a	caliber	not
a	california	nonprofit
a	call	came
a	call	for
a	call	in
a	call	ins
a	call	n
a	call	that
a	call	to
a	camera	s
a	can	of
a	candidate	s
a	candlelight	vigil
a	cap	on
a	car	of
a	car	on
a	car	to
a	car	too
a	car	trunk
a	career	and
a	career	pbp
a	career	transition
a	career	with
a	carefully	structured
a	carpet	which
a	cascade	of
a	case	about
a	case	by
a	case	for
a	case	in
a	case	might
a	case	specific
a	case	study
a	case	that
a	case	there
a	case	they
a	catch	all
a	category	which
a	causal	connection
a	cause	c
a	cause	for
a	cell	phone
a	cellphone	to
a	cellphone	video
a	central	feature
a	central	location
a	central	nervous
a	central	processor
a	central	requirement
a	central	role
a	centralized	automated
a	centralized	solution
a	century	ago
a	century	consider
a	century	n
a	century	of
a	century	while
a	certain	amount
a	certain	anonymity
a	certain	area
a	certain	building
a	certain	crime
a	certain	degree
a	certain	distance
a	certain	fact
a	certain	group
a	certain	house
a	certain	kind
a	certain	level
a	certain	location
a	certain	minimum
a	certain	number
a	certain	outcome
a	certain	period
a	certain	pocket
a	certain	point
a	certain	suspect
a	certain	way
a	challenge	in
a	challenge	we
a	challenged	employment
a	challenging	scenario
a	champion	for
a	chance	for
a	chance	of
a	chance	that
a	chance	to
a	change	far
a	change	i
a	change	in
a	change	not
a	changed	organization
a	changing	law
a	charge	and
a	chase	it
a	chat	we
a	chdw	n
a	check	on
a	chicago	police
a	chicken	and
a	child	and
a	child	because
a	child	less
a	child	s
a	child	were
a	choice	at
a	choice	between
a	choice	take
a	chokehold	and
a	chronic	organizational
a	chronological	fact
a	chunk	of
a	church	across
a	church	after
a	church	at
a	church	flyer
a	circuit	split
a	circumscribed	period
a	citation	after
a	citation	in
a	citation	or
a	citizen	focused
a	citizen	gets
a	citizen	if
a	citizen	is
a	citizen	options
a	citizen	s
a	city	and
a	city	as
a	city	block
a	city	council
a	city	n
a	city	of
a	city	s
a	city	the
a	city	where
a	city	without
a	citywide	debate
a	civil	action
a	civil	liberties
a	civil	rights
a	civilian	body
a	civilian	commentators
a	civilian	police
a	claim	and
a	claim	is
a	claim	or
a	clarke	information
a	clarke	school
a	class	a
a	class	action
a	class	as
a	class	b
a	class	imbalance
a	class	of
a	classical	musician
a	classification	task
a	classificatory	model
a	classifier	discriminates
a	classmate	s
a	classroom	without
a	classroomlike	space
a	clean	criminal
a	clear	act
a	clear	advantage
a	clear	and
a	clear	example
a	clear	legal
a	clear	long
a	clear	path
a	clear	pattern
a	clear	solution
a	clearer	picture
a	clerical	error
a	climate	of
a	clique	of
a	clockwise	direction
a	close	reading
a	close	relationship
a	closely	divided
a	closer	examination
a	closer	look
a	cloud	based
a	club	they
a	cmt	b
a	cnty	cal
a	co	author
a	co	defendant
a	co	worker
a	code	of
a	coercive	institution
a	cognitive	bias
a	cognitive	cycle
a	cognitive	frame
a	cohort	of
a	cold	case
a	cole	suspect
a	collection	of
a	college	degree
a	collision	between
a	colossal	stage
a	coma	and
a	combat	area
a	combination	of
a	coming	generation
a	comma	separated
a	command	staff
a	command	to
a	commercial	business
a	commercial	district
a	commercial	establishment
a	commitment	to
a	common	ground
a	common	problem
a	common	tactic
a	common	trope
a	commonsense	approach
a	communicable	disease
a	communications	and
a	community	a
a	community	and
a	community	engage
a	community	forum
a	community	has
a	community	in
a	community	liaison
a	community	n
a	community	need
a	community	partner
a	community	policing
a	community	s
a	community	sentiment
a	community	to
a	community	wide
a	company	called
a	company	developing
a	company	like
a	company	maintains
a	company	no
a	company	performs
a	company	testimonial
a	company	to
a	comparative	assessment
a	comparison	group
a	comparison	of
a	comparison	to
a	compelling	state
a	competitive	advantage
a	complaint	by
a	complaint	easier
a	complete	analysis
a	complete	copy
a	complete	life
a	complete	list
a	complete	rerendering
a	completed	crime
a	complex	computer
a	complex	history
a	complex	multi
a	complex	task
a	complicated	mix
a	comprehensive	analysis
a	comprehensive	and
a	comprehensive	examination
a	comprehensive	meta
a	compromise	after
a	compromise	between
a	computable	problem
a	computer	algorithm
a	computer	analysis
a	computer	and
a	computer	at
a	computer	can
a	computer	database
a	computer	doesn
a	computer	indeed
a	computer	is
a	computer	mark
a	computer	mouse
a	computer	phone
a	computer	program
a	computer	pursuant
a	computer	s
a	computer	screen
a	computer	surveillance
a	computer	to
a	computer	warning
a	computer	was
a	computerized	database
a	concept	that
a	concept	we
a	concept	whose
a	concern	current
a	concern	for
a	concern	in
a	concern	that
a	concerted	effort
a	conclusion	that
a	condition	of
a	conduit	to
a	confounder	exploring
a	confrontation	between
a	confused	tangle
a	confusing	and
a	congressional	judgment
a	congressional	report
a	congressional	research
a	connection	to
a	conscience	they
a	conscious	choice
a	consensus	regarding
a	consent	decree
a	consequence	but
a	consequence	considerable
a	consistent	picture
a	consistent	prepost
a	constant	cloud
a	constellation	of
a	constitutional	case
a	constitutional	decision
a	constitutional	democracy
a	constitutional	nor
a	constitutional	violation
a	constitutionally	permissible
a	constitutive	element
a	construct	should
a	constructed	system
a	consultant	with
a	contact	point
a	contagion	that
a	contemporary	perspective
a	contentious	debate
a	contestable	designation
a	contestable	point
a	context	more
a	contingent	category
a	continued	absence
a	continued	taste
a	continuous	variable
a	contract	killer
a	contracting	company
a	contracting	minor
a	contraction	is
a	control	construct
a	control	theory
a	controversial	police
a	controversial	policing
a	convenient	location
a	conversation	but
a	convicted	defendant
a	conviction	and
a	conviction	even
a	conviction	for
a	conviction	is
a	conviction	n
a	conviction	nor
a	conviction	of
a	conviction	or
a	conviction	see
a	cooperative	transition
a	coordinated	fashion
a	coordinator	with
a	cop	crime
a	cop	who
a	copy	of
a	copy	to
a	core	concept
a	core	part
a	correlated	attribute
a	correlation	between
a	cost	content
a	cost	however
a	cost	to
a	counseling	or
a	counterattack	n
a	counterpunch	against
a	county	is
a	county	supervisor
a	couple	dozen
a	couple	of
a	course	that
a	court	at
a	court	does
a	court	interprets
a	court	may
a	court	must
a	court	n
a	court	needs
a	court	or
a	court	order
a	court	this
a	court	to
a	court	when
a	court	will
a	coverup	for
a	cowboy	someone
a	crane	rethinking
a	crazy	idea
a	creative	solution
a	credit	risk
a	crew	from
a	crime	analytics
a	crime	and
a	crime	are
a	crime	at
a	crime	before
a	crime	better
a	crime	british
a	crime	but
a	crime	control
a	crime	disorder
a	crime	during
a	crime	epidemic
a	crime	for
a	crime	forecasting
a	crime	has
a	crime	id
a	crime	illinois
a	crime	is
a	crime	it
a	crime	more
a	crime	n
a	crime	ohio
a	crime	prediction
a	crime	prevention
a	crime	publication
a	crime	scene
a	crime	such
a	crime	that
a	crime	the
a	crime	they
a	crime	to
a	crime	will
a	criminal	but
a	criminal	case
a	criminal	conviction
a	criminal	court
a	criminal	dossier
a	criminal	gang
a	criminal	history
a	criminal	investigation
a	criminal	label
a	criminal	matter
a	criminal	proceeding
a	criminal	process
a	criminal	profiler
a	criminal	record
a	criminal	to
a	crisis	of
a	crisis	oliver
a	crisis	the
a	criterion	that
a	critic	of
a	critic	s
a	critical	analysis
a	critical	one
a	critical	part
a	critical	perspective
a	critical	point
a	critical	role
a	critical	time
a	criticisms	of
a	critique	of
a	croson	co
a	cross	city
a	cross	national
a	crowd	the
a	cruel	twist
a	crystal	ball
a	cting	a
a	ctions	having
a	culture	of
a	culture	that
a	curious	and
a	current	observation
a	current	record
a	custom	has
a	custom	notification
a	custom	or
a	customer	as
a	cycle	of
a	cycle	repeatedly
a	d	a
a	d	del
a	d	ed
a	d	faceprint
a	d	n
a	d	pa
a	d	pri
a	d	printed
a	d	r
a	d	u
a	d	virtual
a	daily	news
a	damning	record
a	danger	to
a	dangerous	new
a	dangerous	other
a	dangerous	situation
a	dangerous	suspect
a	dangerous	weapon
a	dark	dystopian
a	dark	satire
a	darkly	futuristic
a	data	analyst
a	data	and
a	data	disparity
a	data	driven
a	data	management
a	data	miner
a	data	mining
a	data	problem
a	data	scientist
a	data	to
a	database	because
a	database	but
a	database	is
a	database	may
a	database	of
a	database	search
a	database	so
a	database	that
a	database	this
a	databasing	harms
a	dataset	before
a	dataset	can
a	dataset	n
a	dataset	with
a	dating	service
a	dating	website
a	daubert	hearing
a	day	and
a	day	days
a	day	the
a	de	facto
a	de	minimis
a	debate	is
a	debriefing	we
a	debt	or
a	dec	http
a	decade	after
a	decade	ago
a	decade	at
a	decade	daniels
a	decade	in
a	decade	later
a	decade	n
a	decade	of
a	decade	or
a	decade	to
a	decades	long
a	decision	based
a	decision	by
a	decision	largely
a	decision	maker
a	decision	making
a	decision	n
a	decision	procedure
a	decision	process
a	declaration	of
a	decline	in
a	decline	n
a	decline	of
a	declining	return
a	decrease	abraham
a	decrease	from
a	decrease	in
a	decrease	roughly
a	dedicated	analyst
a	deeper	quantitative
a	deeply	entrenched
a	defendant	away
a	defendant	established
a	defendant	has
a	defendant	is
a	defendant	s
a	defendant	who
a	defendant	will
a	defense	to
a	defined	leader
a	defining	feature
a	defining	the
a	definition	of
a	definitive	dichotomous
a	degree	but
a	degree	functionally
a	degree	of
a	delicate	balance
a	delinquency	adjudication
a	delinquent	as
a	democracy	n
a	democracy	paul
a	democratic	institution
a	democratic	society
a	demonstrable	intent
a	dense	warren
a	denton	american
a	denver	trauma
a	department	achieve
a	department	he
a	department	may
a	department	of
a	department	reeling
a	department	s
a	department	that
a	department	whose
a	department	wide
a	departure	from
a	deposit	id
a	depressing	place
a	deprivation	of
a	deprived	area
