	of
a	a
a	ae
a	allen
a	am
a	and
a	anthropologist
a	anti
a	antkowiak
a	ar
a	archbold
a	area
a	areheart
a	article
a	associated
a	b
a	baby
a	backdoor
a	backdrop
a	background
a	backpack
a	bad
a	bail
a	balance
a	baltimore
a	ban
a	bandanna
a	bank
a	barbershop
a	base
a	baseline
a	basic
a	basis
a	bayesian
a	bb
a	bbs
a	beating
a	beautiful
a	bedrock
a	beige
a	being
a	belief
a	believer
a	below
a	bench
a	benefit
a	berk
a	berry
a	better
a	bf
a	bias
a	biased
a	bicyclist
a	big
a	bigger
a	billion
a	binary
a	biological
a	birthmark
a	bit
a	bitch
a	black
a	blind
a	blinding
a	blistering
a	blog
a	blot
a	blunt
a	body
a	book
a	boon
a	booth
a	bot
a	box
a	boxer
a	brac
a	braga
a	brand
a	brawl
a	break
a	breakdown
a	breakthrough
a	brief
a	broad
a	broader
a	broken
a	brooklyn
a	bruise
a	bsolutely
a	building
a	bullet
a	bunch
a	burden
a	bureau
a	bureaucratic
a	burglar
a	burglary
a	bus
a	business
a	busy
a	but
a	buzzword
a	by
a	bystander
a	byte
a	cal
a	calculus
a	caliber
a	california
a	call
a	camera
a	can
a	candidate
a	candlelight
a	cap
a	car
a	career
a	carefully
a	carpet
a	cascade
a	case
a	catch
a	category
a	causal
a	cause
a	cell
a	cellphone
a	central
a	centralized
a	century
a	certain
a	challenge
a	challenged
a	challenging
a	champion
a	chance
a	change
a	changed
a	changing
a	charge
a	chase
a	chat
a	chdw
a	check
a	chicago
a	chicken
a	child
a	choice
a	chokehold
a	chronic
a	chronological
a	chunk
a	church
a	circuit
a	circumscribed
a	citation
a	citizen
a	city
a	citywide
a	civil
a	civilian
a	claim
a	clarke
a	class
a	classical
a	classification
a	classificatory
a	classifier
a	classmate
a	classroom
a	classroomlike
a	clean
a	clear
a	clearer
a	clerical
a	climate
a	clique
a	clockwise
a	close
a	closely
a	closer
a	cloud
a	club
a	cmt
a	cnty
a	co
a	code
a	coercive
a	cognitive
a	cohort
a	cold
a	cole
a	collection
a	college
a	collision
a	colossal
a	coma
a	combat
a	combination
a	coming
a	comma
a	command
a	commercial
a	commitment
a	common
a	commonsense
a	communicable
a	communications
a	community
a	company
a	comparative
a	comparison
a	compelling
a	competitive
a	complaint
a	complete
a	completed
a	complex
a	complicated
a	comprehensive
a	compromise
a	computable
a	computer
a	computerized
a	concept
a	concern
a	concerted
a	conclusion
a	condition
a	conduit
a	confounder
a	confrontation
a	confused
a	confusing
a	congressional
a	connection
a	conscience
a	conscious
a	consensus
a	consent
a	consequence
a	consistent
a	constant
a	constellation
a	constitutional
a	constitutionally
a	constitutive
a	construct
a	constructed
a	consultant
a	contact
a	contagion
a	contemporary
a	contentious
a	contestable
a	context
a	contingent
a	continued
a	continuous
a	contract
a	contracting
a	contraction
a	control
a	controversial
a	convenient
a	conversation
a	convicted
a	conviction
a	cooperative
a	coordinated
a	coordinator
a	cop
a	copy
a	core
a	correlated
a	correlation
a	cost
a	counseling
a	counterattack
a	counterpunch
a	county
a	couple
a	course
a	court
a	coverup
a	cowboy
a	crane
a	crazy
a	creative
a	credit
a	crew
a	crime
a	criminal
a	crisis
a	criterion
a	critic
a	critical
a	criticisms
a	critique
a	croson
a	cross
a	crowd
a	cruel
a	crystal
a	cting
a	ctions
a	culture
a	curious
a	current
a	custom
a	customer
a	cycle
a	d
a	daily
a	damning
a	danger
a	dangerous
a	dark
a	darkly
a	data
a	database
a	databasing
a	dataset
a	dating
a	daubert
a	day
a	de
a	debate
a	debriefing
a	debt
a	dec
a	decade
a	decades
a	decision
a	declaration
a	decline
a	declining
a	decrease
a	dedicated
a	deeper
a	deeply
a	defendant
a	defense
a	defined
a	defining
a	definition
a	definitive
a	degree
a	delicate
a	delinquency
a	delinquent
a	democracy
a	democratic
a	demonstrable
a	dense
a	denton
a	denver
a	department
a	departure
a	deposit
a	depressing
a	deprivation
a	deprived
a	describing
a	description
a	descriptive
a	design
a	designated
a	desirable
a	desire
a	desperate
a	destabilizing
a	detailed
a	detained
a	detecting
a	detention
a	determination
a	deterrence
a	developmental
a	developmentally
a	deviant
a	device
