more,likely,to,1,39,39
of,law,enforcement,1,35,35
law,enforcement,to,1,33,33
to,law,enforcement,1,29,29
a,police,officer,1,28,28
the,federal,government,1,28,28
www,fbi,gov,1,25,25
in,the,community,1,20,20
state,and,local,1,20,20
in,order,to,1,18,18
the,white,house,1,18,18
policing,in,the,1,16,16
the,amount,of,1,16,16
the,suspect,s,1,16,16
in,new,york,1,15,15
l,a,times,1,15,15
law,enforcement,agencies,4,57,14.25
http,www,nytimes,1,14,14
the,use,of,2,28,14
www,nytimes,com,1,14,14
new,york,police,1,13,13
of,homeland,security,1,13,13
federal,state,and,1,12,12
on,law,enforcement,1,12,12
the,nypd,s,1,12,12
there,is,a,1,12,12
and,local,law,1,11,11
law,enforcement,officials,1,11,11
police,and,the,1,11,11
the,department,of,1,11,11
with,the,police,1,11,11
at,the,time,1,10,10
in,other,words,1,10,10
it,is,a,1,10,10
nytimes,com,us,1,10,10
because,they,are,1,9,9
in,the,united,3,27,9
law,enforcement,is,1,9,9
the,united,states,7,59,8.428571429
department,of,homeland,1,8,8
law,enforcement,in,1,8,8
the,absence,of,1,8,8
to,be,a,1,8,8
to,have,a,1,8,8
to,participate,in,1,8,8
by,the,police,1,7,7
in,community,policing,1,7,7
of,the,state,1,7,7
part,of,a,1,7,7
the,university,of,1,7,7
the,u,s,4,27,6.75
the,same,time,2,13,6.5
be,able,to,3,19,6.333333333
chicago,police,department,1,6,6
in,the,case,1,6,6
of,the,crime,1,6,6
of,the,public,1,6,6
of,the,united,1,6,6
over,the,past,1,6,6
part,of,the,2,12,6
that,there,is,1,6,6
the,chicago,police,1,6,6
the,fbi,and,1,6,6
the,police,department,1,6,6
to,be,in,1,6,6
to,the,fbi,1,6,6
u,s,attorney,1,6,6
was,involved,in,1,6,6
york,police,department,1,6,6
in,the,same,2,11,5.5
as,well,as,4,21,5.25
the,new,york,4,21,5.25
can,be,a,1,5,5
can,be,made,1,5,5
involved,in,a,1,5,5
of,a,crime,1,5,5
of,thousands,of,1,5,5
police,department,is,1,5,5
police,department,s,1,5,5
review,of,the,1,5,5
that,it,is,1,5,5
the,muslim,community,1,5,5
the,nature,of,1,5,5
there,are,more,1,5,5
this,is,not,1,5,5
the,fbi,s,6,28,4.666666667
local,law,enforcement,5,23,4.6
in,law,enforcement,3,13,4.333333333
a,combination,of,1,4,4
a,result,of,2,8,4
a,third,of,1,4,4
a,traffic,stop,1,4,4
and,they,are,1,4,4
are,fearful,that,1,4,4
are,in,the,1,4,4
around,the,country,2,8,4
as,one,of,1,4,4
at,a,time,1,4,4
crimes,in,the,1,4,4
he,was,also,1,4,4
in,the,wake,1,4,4
is,focused,on,1,4,4
it,is,also,1,4,4
law,enforcement,a,1,4,4
law,enforcement,community,1,4,4
of,more,than,1,4,4
of,the,most,1,4,4
quality,of,life,1,4,4
the,community,and,1,4,4
the,law,enforcement,1,4,4
the,religious,and,1,4,4
the,wake,of,1,4,4
to,the,national,1,4,4
to,the,public,2,8,4
violence,in,the,1,4,4
with,respect,to,1,4,4
with,the,community,1,4,4
a,series,of,2,7,3.5
with,the,state,2,7,3.5
more,than,a,3,10,3.333333333
a,network,of,1,3,3
a,number,of,3,9,3
and,strategies,to,1,3,3
angeles,unified,school,1,3,3
are,looking,for,1,3,3
are,more,than,1,3,3
as,a,result,9,27,3
attacks,in,the,1,3,3
because,he,was,1,3,3
brian,day,section,1,3,3
byline,brian,day,1,3,3
day,section,news,1,3,3
department,he,said,1,3,3
departments,across,the,1,3,3
did,not,know,1,3,3
down,to,the,1,3,3
during,the,s,1,3,3
for,the,same,1,3,3
has,a,high,1,3,3
has,come,to,1,3,3
he,hopes,to,1,3,3
he,said,it,1,3,3
important,to,the,1,3,3
in,a,police,1,3,3
in,connection,with,1,3,3
in,part,because,1,3,3
in,response,to,2,6,3
in,san,bernardino,1,3,3
in,tel,aviv,1,3,3
in,the,area,2,6,3
in,the,neighborhood,1,3,3
in,the,next,1,3,3
in,the,process,1,3,3
in,the,world,1,3,3
is,a,good,1,3,3
it,is,the,1,3,3
it,would,be,1,3,3
less,than,miles,1,3,3
los,angeles,unified,1,3,3
much,of,it,1,3,3
of,life,the,1,3,3
of,which,have,1,3,3
on,community,policing,1,3,3
people,who,are,1,3,3
police,departments,across,1,3,3
public,s,trust,2,6,3
question,of,how,1,3,3
religious,and,cultural,1,3,3
response,to,the,2,6,3
safety,and,security,1,3,3
said,he,hopes,1,3,3
said,the,mayor,1,3,3
said,there,s,1,3,3
showed,that,the,1,3,3
tens,of,thousands,1,3,3
that,lead,to,1,3,3
that,leads,to,1,3,3
the,fbi,can,1,3,3
the,last,decade,1,3,3
the,need,to,1,3,3
the,office,of,1,3,3
the,police,have,1,3,3
the,police,in,1,3,3
the,result,of,1,3,3
the,san,francisco,1,3,3
the,state,s,3,9,3
there,s,a,1,3,3
they,are,the,1,3,3
to,continue,to,1,3,3
to,get,the,1,3,3
to,say,that,1,3,3
to,the,police,1,3,3
to,work,with,1,3,3
unified,school,district,1,3,3
way,of,life,1,3,3
with,the,fbi,1,3,3
with,the,local,1,3,3
working,with,the,1,3,3
years,of,age,1,3,3
across,the,country,4,11,2.75
the,number,of,8,21,2.625
and,the,community,2,5,2.5
by,the,fbi,2,5,2.5
in,the,u,2,5,2.5
information,about,the,4,10,2.5
new,york,times,2,5,2.5
on,the,street,6,15,2.5
the,end,of,2,5,2.5
department,of,justice,3,7,2.333333333
as,part,of,5,11,2.2
one,of,the,5,11,2.2
a,chance,to,2,4,2
a,criminal,case,1,2,2
a,gun,on,1,2,2
a,person,who,1,2,2
a,violent,crime,1,2,2
a,warrant,for,1,2,2
about,whether,the,1,2,2
along,with,the,1,2,2
and,share,information,1,2,2
and,that,he,1,2,2
appear,to,have,1,2,2
are,responsible,for,1,2,2
as,a,crime,1,2,2
as,to,what,1,2,2
between,and,the,1,2,2
called,for,an,1,2,2
committing,a,crime,1,2,2
contributing,to,the,1,2,2
crime,hot,spots,1,2,2
crime,in,the,2,4,2
crime,prevention,and,1,2,2
did,not,have,1,2,2
director,of,the,2,4,2
everyone,in,the,1,2,2
family,and,friends,1,2,2
fled,on,foot,1,2,2
focused,on,the,1,2,2
for,low,level,1,2,2
for,those,who,1,2,2
homeland,security,the,1,2,2
if,they,were,1,2,2
impact,on,law,1,2,2
in,addition,the,1,2,2
in,the,last,2,4,2
in,the,state,1,2,2
in,the,west,1,2,2
in,united,states,1,2,2
information,is,available,1,2,2
is,important,to,1,2,2
law,enforcement,authorities,1,2,2
led,to,a,2,4,2
more,difficult,to,1,2,2
much,of,the,1,2,2
news,california,april,1,2,2
non,violent,offenses,1,2,2
of,interest,in,1,2,2
of,people,who,1,2,2
of,the,fbi,3,6,2
of,the,internet,1,2,2
of,the,police,2,4,2
of,which,were,1,2,2
on,par,with,1,2,2
partnership,with,the,1,2,2
police,and,to,1,2,2
police,department,in,1,2,2
questions,about,how,1,2,2
rather,than,a,1,2,2
result,in,a,1,2,2
role,in,the,3,6,2
said,they,were,1,2,2
san,francisco,fbi,1,2,2
she,would,be,1,2,2
take,advantage,of,1,2,2
take,place,in,1,2,2
take,the,lead,1,2,2
that,could,have,1,2,2
that,he,did,1,2,2
the,beginning,of,1,2,2
the,case,was,1,2,2
the,early,s,1,2,2
the,fbi,had,1,2,2
the,fbi,the,1,2,2
the,intersection,of,1,2,2
the,lead,in,1,2,2
the,police,can,1,2,2
the,problems,that,1,2,2
the,process,of,1,2,2
the,state,in,1,2,2
the,state,to,1,2,2
the,suspect,and,1,2,2
their,use,of,1,2,2
there,is,little,1,2,2
these,are,the,1,2,2
they,were,not,1,2,2
this,kind,of,1,2,2
to,commit,crimes,2,4,2
to,connect,the,2,4,2
to,court,records,1,2,2
to,establish,a,2,4,2
to,provide,a,1,2,2
to,reveal,the,1,2,2
to,the,president,1,2,2
