of documents 1 of 1
a cell phone 1 1
a chance to 2 4
a column national 1 1
a combination of 1 4
a community based 1 1
a county sheriff 2 2
a criminal case 1 2
a crisis of 1 1
a direct result 1 1
a domestic violence 1 1
a federal criminal 1 1
a group of 1 1
a gun on 1 2
a high rate 1 1
a lot of 3 5
a man in 1 1
a myriad of 1 1
a network of 1 3
a number of 3 9
a percent drop 7 1
a person of 1 1
a person who 1 2
a plan to 2 1
a police officer 1 28
a result of 2 8
a search warrant 1 1
a series of 2 7
a sheriff s 2 1
a significant role 3 1
a spike in 2 1
a spokesman for 3 1
a third of 1 4
a tip from 1 1
a traffic stop 1 4
a vehicle and 1 1
a violent crime 1 2
a warrant for 1 2
a warrant was 2 1
a well known 1 1
a year old 2 3
about crime and 1 1
about of the 1 1
about whether the 1 2
according to a 3 3
according to court 2 1
according to the 8 12
accused him of 1 1
across the country 4 11
across the nation 2 3
addition to the 1 1
after a warrant 2 1
agencies as well 1 1
agent in charge 1 1
all rights reserved 497 8
along with the 1 2
an analysis of 1 1
an elderly woman 1 1
an estimated million 1 1
an increase in 4 1
and a child 1 1
and a new 2 1
and created a 2 1
and gang activity 1 1
and if the 1 1
and it s 3 1
and local law 1 11
and los angeles 14 8
and non violent 1 1
and particularly the 2 1
and pictures of 1 1
and property crimes 5 1
and security of 1 1
and share information 1 2
and strategies to 1 3
and that he 1 2
and that this 1 1
and the city 2 1
and the community 2 5
and the department 1 1
and the los 1 1
and the state 2 2
and they are 1 4
angeles county sheriff 16 2
angeles field office 1 1
angeles newspaper group 11 3
angeles police department 18 5
angeles unified school 1 3
any member of 1 1
anyone who has 1 1
anywhere in the 1 1
appear to have 1 2
approach to policing 1 1
april language english 5 3
are committed by 1 1
are fearful that 1 4
are in the 1 4
are linked to 1 1
are looking for 1 3
are more than 1 3
are no longer 3 3
are of the 1 1
are responsible for 1 2
are seeking the 1 1
are the people 1 1
argued for a 1 1
around the country 2 8
around the world 2 2
arrest and prosecution 2 3
arrest did not 1 1
arrested on suspicion 2 1
as a crime 1 2
as a result 9 27
as a victim 1 1
as los angeles 3 1
as one of 1 4
as part of 5 11
as responsible for 1 1
as to what 1 2
as well as 4 21
assigned to the 3 1
at a community 1 1
at a time 1 4
at bay in 2 1
at p m 2 1
at the beginning 1 1
at the time 1 10
at the university 1 1
attacks in the 1 3
august language english 3 1
back to the 3 1
based approach to 1 1
be a good 1 1
be able to 3 19
be made to 1 1
because he was 1 3
because they are 1 9
before conducting a 1 1
beginning of the 1 1
benefits in the 1 1
between and the 1 2
brian day section 1 3
by at least 1 1
by local law 1 1
by the department 2 2
by the fbi 2 5
by the police 1 7
byline brian day 1 3
called for an 1 2
can be a 1 5
can be found 1 1
can be made 1 5
can contribute to 1 1
can do to 1 1
can learn from 1 1
can t get 1 1
certain crimes and 1 1
change in law 1 1
chicago police department 1 6
cities across the 1 1
cocaine heroin and 3 1
