of documents 1 of 1
a car and 1 4
a couple of 1 2
a fact that 1 1
a length words 1 1
a list of 1 2
a member of 1 1
a news conference 4 1
a number of 2 7
a percent drop 1 3
a percent increase 1 1
a result of 1 1
a slight uptick 1 1
a total of 1 1
according to the 1 3
account of the 1 2
across the united 1 2
addition to the 1 1
after the initial 1 1
all of us 1 1
all rights reserved 500 12
and for the 1 1
and how it 1 2
and los angeles 2 3
and that he 1 2
and the problem 1 1
and were able 1 1
angeles los angeles 1 1
angeles police say 1 2
are likely to 1 7
as a result 1 4
as property crime 1 1
as well as 3 23
at a news 1 1
at least one 2 2
at the time 1 2
attention to the 1 4
auto theft and 1 4
back to the 1 5
believed to have 1 1
charlie beck said 2 1
chief charlie beck 2 2
chief of the 1 1
commitment to community 1 1
compared with percent 1 1
compared with the 1 2
county district attorney 1 2
county sheriff s 2 3
crime in the 2 6
crime rates by 1 1
crime will occur 1 7
crimes in the 1 1
criminal activity in 1 5
date january language 4 4
date september language 1 2
decline in the 1 1
declining crime rates 1 1
deputy district attorney 1 1
difficult to predict 1 1
don t know 1 2
don t you 2 1
down to the 1 1
drop in violent 1 1
english publication type 8 8
for a total 1 1
for many the 1 1
for the city 1 2
for the first 1 3
for the law 1 1
for the most 1 2
for those who 1 1
from the year 1 1
he said the 1 2
high schools and 1 1
home of the 1 1
i don t 1 4
in addition to 1 5
in los angeles 7 4
in the case 1 4
in the city 4 6
in the country 2 4
in the early 1 2
in the past 1 6
in the process 1 1
in the s 1 7
in the same 1 1
in the united 1 22
it and i 1 1
it can be 1 1
it may be 1 4
january language english 4 4
language english publication 8 8
likely to do 1 1
load date january 4 4
load date september 1 2
los angeles byline 1 1
los angeles los 1 1
los angeles police 4 13
los angeles suburb 1 1
mayor antonio villaraigosa 1 1
member of the 1 1
members of the 1 3
more than the 1 1
most of the 1 5
name a few 1 1
new york and 1 3
news length words 1 3
not in the 1 1
number of cases 1 1
of at least 1 5
of documents copyright 491 3
of documents the 4 4
of gang activity 1 1
of los angeles 1011 4
of police officers 1 1
of some of 1 2
of the city 2 7
of the criminal 1 14
of the increase 1 1
of the lapd 2 2
of the most 1 6
of the state 2 1
of violent crimes 2 2
on hand to 1 1
on to the 1 1
one of the 3 18
out of a 1 2
out of the 1 7
part i crimes 1 1
parts of the 1 2
percent compared with 1 1
percent drop in 2 3
pg a length 1 1
pg length words 3 5
police chief charlie 2 1
police do not 1 1
police said the 1 3
police say the 1 1
predict where crime 1 1
predictive policing which 1 1
presence in the 1 1
property crimes in 1 2
publication type newspaper 7 15
reported to be 1 1
reserved of documents 7 11
result of a 1 1
rights reserved of 7 11
s and s 1 2
s department for 1 2
section news pg 1 4
september language english 1 2
serves as a 1 3
she said the 1 4
sheriff s department 2 4
sheriff s office 1 3
so they can 1 3
some of the 2 23
that is a 1 1
the city and 1 1
the city of 4 15
the city s 2 5
the consequences of 1 4
the county of 1 2
the criminal activity 1 1
the dangers of 1 2
the early s 2 1
the first time 2 2
the increase in 1 4
the los angeles 7 11
the middle of 1 2
the most serious 1 2
the number of 3 26
the person who 1 1
the police and 1 4
the problem of 1 9
the public s 1 1
the public to 1 1
the s and 1 2
the same area 2 1
the same period 1 1
the sheriff s 2 2
the suspect who 1 1
the types of 1 4
the united states 2 36
the year before 1 1
their hard work 1 1
there is no 1 12
there was a 2 5
this is the 1 1
those who have 2 2
to be in 2 1
to boost the 1 1
to community policing 1 19
to control the 1 2
to do so 1 3
to fight for 1 1
to live in 1 1
to make sure 1 2
to make the 1 1
to name a 1 1
to predict where 1 6
to reduce crime 1 2
to the associated 1 1
to the community 1 6
to the current 1 3
type newspaper copyright 7 6
united states a 1 2
violent crime in 2 1
violent crimes and 3 1
was not in 1 1
was on the 1 1
way of the 2 1
we didn t 1 1
we don t 1 8
well as more 1 2
were able to 1 5
when officers are 1 2
where crime will 1 2
who have been 1 1
who have committed 1 1
will occur and 1 3
with a high 1 2
with a multi 1 1
with los angeles 1 1
with the same 1 2
working closely with 1 1
would be the 1 1
would continue to 1 1
would like to 1 1
years in the 1 1
